question, target
Nếu một con hổ sạch sẽ, thì con hổ có màu xanh lá cây.
Nếu một con hổ tròn, thì con hổ nóng.
Sự thật:
Con hổ là xấu và tốt.
Những điều sau đây có thể được xác định về con hổ:”, Con hổ đáng sợ.
“Nếu một con thỏ mạnh mẽ, thì con thỏ rất đẹp.
Nếu một con thỏ xấu, thì thỏ sạch sẽ.
Nếu một con thỏ đỏ và thông minh, thì thỏ hạnh phúc.
Nếu một con thỏ có màu xanh, thì thỏ mềm.
Nếu một con thỏ nóng hoặc tím, thì thỏ lạnh.
Sự thật:
Con thỏ mềm mại và buồn bã.
Những điều sau đây có thể được xác định về con thỏ:”, Không có gì.
“Nếu một con hươu cao cổ thông minh và tròn trịa, thì hươu cao cổ rất lớn.
Nếu một con hươu cao cổ sạch sẽ, thì hươu cao cổ là tốt.
Nếu một con hươu cao cổ hạnh phúc hoặc màu tím, thì hươu cao cổ có màu đỏ.
Nếu một con hươu cao cổ mạnh, thì hươu cao cổ chậm.
Nếu một con hươu cao cổ nhàm chán, thì hươu cao cổ là xấu.
Sự thật:
Hươu cao cổ sạch sẽ và thông minh.
Những điều sau đây có thể được xác định về hươu cao cổ:”, Hươu cao cổ tốt.
“Nếu một con hà mã lạnh lùng hoặc đáng sợ, thì hà mã rất đẹp.
Nếu một con hà mã to hoặc mềm, thì hà mã thật nhàm chán.
Nếu một con hà mã hạnh phúc, thì hà mã là xấu.
Nếu một con hà mã có màu xanh lá cây, thì hà mã yếu.
Nếu một con hà mã có màu xanh, thì hà mã rất nhanh.
Sự thật:
Hà mã hạnh phúc và lớn.
Những điều sau đây có thể được xác định về hà mã:”, Hà mã nhàm chán và xấu.
“Nếu một con gấu có màu tím, thì con gấu là tốt.
Nếu một con gấu buồn hoặc mềm, thì con gấu sạch sẽ.
Nếu một con gấu có màu xanh lá cây, thì con gấu là nhàm chán.
Nếu một con gấu tròn và nhanh, thì con gấu thật đáng sợ.
Nếu một con gấu đẹp, thì con gấu chậm.
Sự thật:
Con gấu còn trẻ và mềm.
Những điều sau đây có thể được xác định về con gấu:”, Con gấu sạch sẽ.
“Nếu một cây anh túc nhỏ hoặc lớn, thì cây anh túc nóng.
Nếu một cây anh túc tròn hoặc hạnh phúc, thì cây anh túc chậm.
Nếu một cây anh túc đã cũ và nhàm chán, thì cây anh túc buồn.
Nếu một cây anh túc đáng sợ hoặc xấu, thì cây anh túc mềm.
Nếu một cây anh túc còn trẻ và đẹp, thì cây anh túc là tốt.
Sự thật:
Cây anh túc nhanh và nhỏ.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc nóng.
“Nếu Carol nóng, thì Carol còn trẻ.
Nếu Carol yếu và nhanh, thì Carol có màu tím.
Nếu Carol già hoặc chậm, thì Carol có màu đỏ.
Nếu Carol mềm, thì Carol có màu xanh.
Nếu Carol tròn hay xinh đẹp, thì Carol rất thông minh.
Sự thật:
Carol có màu xanh và già.
Những điều sau đây có thể được xác định về Carol:”, Carol có màu đỏ.
“Nếu Carol mạnh mẽ và buồn bã, thì Carol thật nhàm chán.
Nếu Carol xinh đẹp hay sạch sẽ, thì Carol thật đáng sợ.
Nếu Carol nhỏ hoặc tròn, thì Carol mềm.
Nếu Carol hạnh phúc hay nhanh nhẹn, thì Carol yếu đuối.
Nếu Carol to lớn và thông minh, thì Carol đã già.
Sự thật:
Carol buồn và tròn trịa.
Những điều sau đây có thể được xác định về Carol:”, Carol mềm mại.
“Nếu Bob có màu xanh và tốt, thì Bob rất mạnh mẽ.
Nếu Bob hạnh phúc, thì Bob đã già.
Nếu Bob chậm, thì Bob tròn.
Nếu Bob nhanh, thì Bob thật nhàm chán.
Nếu Bob mềm mại hay xinh đẹp, thì Bob lớn.
Sự thật:
Bob chậm chạp và xinh đẹp.
Những điều sau đây có thể được xác định về Bob:”, Bob tròn và to.
“Nếu Dan hạnh phúc hay già, thì Dan là tốt.
Nếu Dan buồn và trẻ, thì Dan mềm yếu.
Nếu Dan yếu đuối hoặc nhàm chán, thì Dan mạnh mẽ.
Nếu Dan thông minh, thì Dan chậm chạp.
Nếu Dan sạch sẽ, thì Dan tròn.
Sự thật:
Dan nhỏ và già.
Những điều sau đây có thể được xác định về Dan:”, Dan là tốt.
“Nếu Alice nhanh nhẹn hay nhàm chán, thì Alice nhỏ bé.
Nếu Alice tốt hay buồn, thì Alice rất đẹp.
Nếu Alice to và yếu, thì Alice nóng bỏng.
Nếu Alice xấu, thì Alice có màu đỏ.
Nếu Alice thông minh và đáng sợ, thì Alice lạnh lùng.
Sự thật:
Alice xấu và già.
Những điều sau đây có thể được xác định về Alice:”, Alice có màu đỏ.
“Nếu Alice nhỏ bé, thì Alice thật xinh đẹp.
Nếu Alice đỏ và nhàm chán, thì Alice mạnh mẽ.
Nếu Alice tốt, thì Alice thông minh.
Nếu Alice mềm mại và xanh lam, thì Alice chậm.
Nếu Alice tròn trịa hay buồn, thì Alice nóng bỏng.
Sự thật:
Alice nhỏ bé và chậm chạp.
Những điều sau đây có thể được xác định về Alice:”, Alice rất đẹp.
“Nếu Bob hạnh phúc, thì Bob sẽ chậm chạp.
Nếu Bob nhỏ và tròn, thì Bob là tốt.
Nếu Bob xấu, thì Bob là người thông minh.
Nếu Bob có màu đỏ, thì Bob thật đáng sợ.
Nếu Bob nhàm chán hoặc mạnh mẽ, thì Bob rất nhanh.
Sự thật:
Bob buồn tẻ và già nua.
Những điều sau đây có thể được xác định về Bob:”, Bob nhanh nhẹn.
“Nếu Erin xinh đẹp hay thông minh, thì Erin hạnh phúc.
Nếu Erin nóng bỏng hoặc đáng sợ, thì Erin có màu xanh lá cây.
Nếu Erin tròn, thì Erin lạnh.
Nếu Erin xấu hoặc tím, thì Erin đã già.
Nếu Erin mạnh mẽ hoặc đỏ, thì Erin thật nhàm chán.
Sự thật:
Erin chậm và đỏ.
Những điều sau đây có thể được xác định về Erin:”, Erin thật nhàm chán.
“Nếu Carol nhanh, thì Carol thật xinh đẹp.
Nếu Carol chậm chạp, thì Carol thông minh.
Nếu Carol có màu tím và lạnh, thì Carol buồn.
Nếu Carol mạnh mẽ và yếu đuối, thì Carol hạnh phúc.
Nếu Carol sạch sẽ, thì Carol lớn.
Sự thật:
Carol có màu tím và sạch sẽ.
Những điều sau đây có thể được xác định về Carol:”, Carol rất lớn.
“Nếu một con chuột có màu tím hoặc mềm, thì chuột nóng.
Nếu một con chuột thông minh, thì con chuột đã cũ.
Nếu một con chuột đáng sợ và đỏ, thì con chuột mạnh mẽ.
Nếu chuột chậm và sạch, thì chuột tròn.
Nếu một con chuột lớn hoặc màu xanh lá cây, thì con chuột rất đẹp.
Sự thật:
Chuột mềm và lạnh.
Những điều sau đây có thể được xác định về chuột:”, Chuột nóng.
“Nếu một con mèo nhanh, thì con mèo yếu.
Nếu một con mèo sạch sẽ, thì con mèo là xấu.
Nếu một con mèo đáng sợ và hạnh phúc, thì con mèo mạnh mẽ.
Nếu một con mèo màu đỏ, thì con mèo tròn.
Nếu một con mèo nóng, thì con mèo mềm.
Sự thật:
Con mèo yếu và đỏ.
Những điều sau đây có thể được xác định về con mèo:”, Con mèo tròn.
“Nếu một con gấu trúc có màu xanh và đẹp, thì gấu trúc đã già.
Nếu một con gấu trúc nhàm chán, thì gấu trúc thật đáng sợ.
Nếu một con gấu trúc có màu đỏ hoặc tím, thì gấu trúc là thông minh.
Nếu một con gấu trúc tròn và nóng, thì gấu trúc đang hạnh phúc.
Nếu một con gấu trúc mềm hoặc buồn, thì gấu trúc rất mạnh.
Sự thật:
Gấu trúc hạnh phúc và tròn trịa.
Những điều sau đây có thể được xác định về gấu trúc:”, Không có gì.
“Nếu một cây anh túc còn trẻ, thì cây anh túc sạch sẽ.
Nếu một cây anh túc nhàm chán, thì cây anh túc có màu tím.
Nếu một cây anh túc có màu đỏ, thì cây anh túc là xấu.
Nếu một cây anh túc thông minh và yếu đuối, thì cây anh túc đã già.
Nếu một cây anh túc nhanh và nóng, thì cây anh túc nhỏ.
Sự thật:
Cây anh túc rất đẹp và đáng sợ.
Những điều sau đây có thể được xác định về cây anh túc:”, Không có gì.
“Nếu một cái cây khỏe và già, thì cây đó có màu đỏ.
Nếu một cây nóng hoặc đẹp, thì cây thông minh.
Nếu một cây nhỏ và chậm, thì cây sẽ nhàm chán.
Nếu một cây tốt và mềm, thì cây hạnh phúc.
Nếu cây có màu tím hoặc tròn thì cây còn non.
Sự thật:
Cây sạch và đẹp.
Những điều sau đây có thể được xác định về cây:”, Cây thông minh.
“Nếu một cái cây già và sạch sẽ, thì cái cây đó thật nhàm chán.
Nếu một cái cây đẹp, thì cây có màu xanh.
Nếu một cái cây xấu, thì cây lạnh.
Nếu một cây tốt, thì cây có màu tím.
Nếu một cây yếu, thì cây lớn.
Sự thật:
Cây tốt và yếu.
Những điều sau đây có thể được xác định về cây:”, Cây có màu tím và to.
“Nếu Carol còn trẻ và lạnh, thì Carol nóng.
Nếu Carol buồn hoặc sạch sẽ, thì Carol có màu tím.
Nếu Carol chậm chạp hoặc thông minh, thì Carol thật đáng sợ.
Nếu Carol nhỏ bé và hạnh phúc, thì Carol là xấu.
Nếu Carol xinh đẹp và tròn trịa, thì Carol mềm mại.
Sự thật:
Carol buồn và xanh.
Những điều sau đây có thể được xác định về Carol:”, Carol có màu tím.
“Nếu Erin buồn và đỏ, thì Erin còn trẻ.
Nếu Erin thông minh và sạch sẽ, thì Erin chậm chạp.
Nếu Erin nhanh và yếu, thì Erin nhỏ bé.
Nếu Erin nhàm chán và tím, thì Erin nóng bỏng.
Nếu Erin có màu xanh lá cây, thì Erin lớn.
Sự thật:
Erin xanh và tốt.
Những điều sau đây có thể được xác định về Erin:”, Erin rất lớn.
“Nếu một con voi đáng sợ hoặc hạnh phúc, thì con voi có màu tím.
Nếu một con voi nhàm chán và trẻ trung, thì con voi có màu xanh.
Nếu một con voi già, thì con voi là xấu.
Nếu một con voi có màu đỏ, thì con voi là đẹp.
Nếu một con voi lớn, thì con voi có màu xanh lá cây.
Sự thật:
Con voi đáng sợ và trẻ trung.
Những điều sau đây có thể được xác định về con voi:”, Con voi có màu tím.
“Nếu Bob lạnh lùng, thì Bob mạnh mẽ.
Nếu Bob là màu xanh, thì Bob yếu.
Nếu Bob đáng sợ và nhanh nhẹn, thì Bob là tốt.
Nếu Bob nhỏ và màu xanh lá cây, thì Bob lớn.
Nếu Bob nóng, thì Bob có màu tím.
Sự thật:
Bob nóng và buồn.
Những điều sau đây có thể được xác định về Bob:”, Bob có màu tím.
“Nếu một con sư tử còn trẻ, thì sư tử rất đẹp.
Nếu một con sư tử tròn, thì sư tử có màu xanh.
Nếu một con sư tử già hoặc tím, thì sư tử là nhàm chán.
Nếu một con sư tử mạnh mẽ và to lớn, thì sư tử chậm chạp.
Nếu một con sư tử buồn và mềm mại, thì sư tử là tốt.
Sự thật:
Sư tử to và xanh.
Những điều sau đây có thể được xác định về sư tử:”, Không có gì.
“Nếu một con mèo tròn, thì con mèo lạnh.
Nếu một con mèo có màu xanh, thì con mèo nhỏ.
Nếu một con mèo thông minh và xinh đẹp, thì con mèo còn trẻ.
Nếu một con mèo hạnh phúc hoặc sạch sẽ, thì con mèo nóng.
Nếu một con mèo đáng sợ hoặc tốt, thì con mèo lớn.
Sự thật:
Con mèo có màu xanh và tròn.
Những điều sau đây có thể được xác định về con mèo:”, Con mèo lạnh và nhỏ.
“Nếu một cây anh túc lạnh hoặc non, thì cây anh túc có màu xanh lá cây.
Nếu một cây anh túc có màu tím và yếu, thì cây anh túc rất thông minh.
Nếu một cây anh túc sạch, thì cây anh túc rất mạnh.
Nếu một cây anh túc mềm và nóng, thì cây anh túc chậm.
Nếu một cây anh túc nhàm chán hoặc hạnh phúc, thì cây anh túc có màu xanh.
Sự thật:
Cây anh túc lạnh và buồn.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc có màu xanh lá cây.
“Nếu một bông hoa hướng dương nhỏ và tròn, thì hoa hướng dương đã già.
Nếu một bông hoa hướng dương là đáng sợ, thì hoa hướng dương là xấu.
Nếu một bông hoa hướng dương có màu tím và nhanh, thì hoa hướng dương là thông minh.
Nếu một bông hoa hướng dương còn non hoặc sạch, thì hoa hướng dương có màu xanh lá cây.
Nếu một bông hoa hướng dương to hoặc đẹp, thì hoa hướng dương có màu xanh lam.
Sự thật:
Hoa hướng dương thông minh và yếu đuối.
Những điều sau đây có thể được xác định về hoa hướng dương:”, Không có gì.
“Nếu một con hà mã lạnh, thì hà mã là tốt.
Nếu một con hà mã có màu đỏ, thì hà mã có màu xanh.
Nếu một con hà mã tròn, thì hà mã yếu.
Nếu một con hà mã còn trẻ và hạnh phúc, thì hà mã sạch sẽ.
Nếu một con hà mã nhanh và mềm, thì hà mã là thông minh.
Sự thật:
Hà mã lạnh và mềm.
Những điều sau đây có thể được xác định về hà mã:”, Hà mã tốt.
“Nếu bồ công anh lạnh, thì bồ công anh thật đáng sợ.
Nếu bồ công anh già và nóng, thì bồ công anh sạch sẽ.
Nếu bồ công anh chậm, thì bồ công anh là tốt.
Nếu một cây bồ công anh mềm, thì bồ công anh hạnh phúc.
Nếu một cây bồ công anh có màu đỏ, thì bồ công anh lớn.
Sự thật:
Bồ công anh nóng và chậm.
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh là tốt.
“Nếu Erin lớn và nhỏ, thì Erin thật tệ.
Nếu Erin sạch sẽ hay buồn bã, thì Erin có màu xanh lá cây.
Nếu Erin thông minh, thì Erin là tốt.
Nếu Erin đáng sợ, thì Erin có màu xanh.
Nếu Erin chậm, thì Erin nóng.
Sự thật:
Erin thông minh và mềm mại.
Những điều sau đây có thể được xác định về Erin:”, Erin là tốt.
“Nếu một con hổ có hình tròn hoặc màu xanh lá cây, thì con hổ còn trẻ.
Nếu một con hổ buồn và sạch sẽ, thì con hổ thật đáng sợ.
Nếu một con hổ xấu và nhanh, thì con hổ rất mạnh.
Nếu một con hổ hạnh phúc và chậm chạp, thì con hổ lạnh.
Nếu một con hổ nóng hoặc tốt, thì con hổ có màu xanh.
Sự thật:
Con hổ rất đẹp và màu xanh lá cây.
Những điều sau đây có thể được xác định về con hổ:”, Con hổ còn nhỏ.
“Nếu một bông hồng đáng sợ, thì hoa hồng yếu ớt.
Nếu một bông hồng thông minh hoặc lạnh, thì hoa hồng tròn.
Nếu một bông hồng già và mạnh mẽ, thì hoa hồng là xấu.
Nếu một bông hồng có màu xanh lá cây, thì hoa hồng có màu tím.
Nếu một bông hồng sạch hoặc tốt, thì hoa hồng lớn.
Sự thật:
Hoa hồng nhanh và nhỏ.
Những điều sau đây có thể được xác định về hoa hồng:”, Không có gì.
“Nếu Dan yếu hay trẻ, thì Dan mạnh mẽ.
Nếu Dan lạnh, thì Dan tròn.
Nếu Dan nóng và xấu, thì Dan rất đẹp.
Nếu Dan tốt, thì Dan hạnh phúc.
Nếu Dan sạch sẽ, thì Dan là màu xanh.
Sự thật:
Dan có màu tím và trẻ.
Những điều sau đây có thể được xác định về Dan:”, Dan mạnh mẽ.
“Nếu một con hươu cao cổ nhỏ, thì hươu cao cổ tròn.
Nếu một con hươu cao cổ còn trẻ, thì hươu cao cổ là tốt.
Nếu một con hươu cao cổ hạnh phúc, thì hươu cao cổ có màu xanh lá cây.
Nếu một con hươu cao cổ đáng sợ, thì hươu cao cổ sạch sẽ.
Nếu một con hươu cao cổ đẹp và nóng bỏng, thì hươu cao cổ rất nhanh.
Sự thật:
Con hươu cao cổ còn trẻ và buồn.
Những điều sau đây có thể được xác định về hươu cao cổ:”, Hươu cao cổ tốt.
“Nếu một cây bồ công anh đẹp và buồn, thì bồ công anh rất vui.
Nếu một cây bồ công anh xấu và nhỏ, thì bồ công anh chậm.
Nếu bồ công anh nóng hoặc mềm, thì bồ công anh có màu xanh lá cây.
Nếu bồ công anh lạnh hoặc thông minh, thì bồ công anh là tốt.
Nếu một cây bồ công anh có màu đỏ, thì bồ công anh thật đáng sợ.
Sự thật:
Bồ công anh mềm và to.
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh có màu xanh lá cây.
“Nếu Bob hạnh phúc hay nhanh nhẹn, thì Bob có màu đỏ.
Nếu Bob đẹp, thì Bob là màu xanh.
Nếu Bob buồn và lạnh lùng, thì Bob là xấu.
Nếu Bob đáng sợ hay già, thì Bob nhỏ bé.
Nếu Bob chậm hoặc mềm, thì Bob còn trẻ.
Sự thật:
Bob mềm mại và đỏ.
Những điều sau đây có thể được xác định về Bob:”, Bob còn trẻ.
“Nếu một con bò mềm, thì con bò là tốt.
Nếu một con bò tròn hoặc trẻ, thì con bò sạch sẽ.
Nếu một con bò nhanh, thì con bò chậm.
Nếu một con bò có màu tím hoặc hạnh phúc, thì con bò rất đẹp.
Nếu một con bò khỏe, thì con bò có màu xanh.
Sự thật:
Con bò yếu đuối và hạnh phúc.
Những điều sau đây có thể được xác định về con bò:”, Con bò đẹp.
“Nếu một bông hoa hướng dương yếu và có màu xanh, thì hoa hướng dương buồn.
Nếu một bông hoa hướng dương mềm và xanh, thì hoa hướng dương nhỏ.
Nếu một bông hoa hướng dương nóng, thì hoa hướng dương có màu đỏ.
Nếu một bông hoa hướng dương sạch, thì hướng dương chậm.
Nếu một bông hoa hướng dương nhàm chán, thì hoa hướng dương tròn.
Sự thật:
Hoa hướng dương có màu xanh và nhàm chán.
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hoa hướng dương tròn.
“Nếu một cây bồ công anh đẹp và hạnh phúc, thì bồ công anh còn trẻ.
Nếu một cây bồ công anh xấu hoặc lớn, thì bồ công anh buồn.
Nếu bồ công anh mềm hoặc đáng sợ, thì bồ công anh sạch sẽ.
Nếu bồ công anh lạnh hoặc mạnh, thì bồ công anh có màu xanh.
Nếu một cây bồ công anh yếu, thì bồ công anh nhỏ.
Sự thật:
Bồ công anh có màu đỏ và đẹp.
Những điều sau đây có thể được xác định về bồ công anh:”, Không có gì.
“Nếu một cây anh túc xấu hoặc hạnh phúc, thì cây anh túc sạch sẽ.
Nếu một cây anh túc mạnh mẽ và có màu xanh, thì cây anh túc lạnh.
Nếu một cây anh túc nóng, thì cây anh túc còn trẻ.
Nếu một cây anh túc là tốt, thì cây anh túc là đáng sợ.
Nếu một cây anh túc có màu đỏ hoặc tròn, thì cây anh túc lớn.
Sự thật:
Cây anh túc mềm và tròn.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc lớn.
“Nếu một cây bồ công anh thông minh và nhỏ bé, thì bồ công anh là tốt.
Nếu một cây bồ công anh sạch sẽ, thì bồ công anh lớn.
Nếu một cây bồ công anh đáng sợ, thì bồ công anh buồn.
Nếu một cây bồ công anh nhàm chán và mạnh mẽ, thì bồ công anh tròn.
Nếu bồ công anh nhanh, thì bồ công anh còn non.
Sự thật:
Bồ công anh nhanh và đỏ.
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh còn non.
“Nếu Dan có màu xanh hoặc xanh lá cây, thì Dan là người thông minh.
Nếu Dan nhàm chán, thì Dan mềm.
Nếu Dan buồn và yếu đuối, thì Dan lớn.
Nếu Dan già hay đẹp, thì Dan là xấu.
Nếu Dan tròn, thì Dan nhanh.
Sự thật:
Dan yếu đuối và xinh đẹp.
Những điều sau đây có thể được xác định về Dan:”, Dan là xấu.
“Nếu một cây bồ công anh thông minh và nóng bỏng, thì bồ công anh đã già.
Nếu một cây bồ công anh có màu xanh và lạnh, thì bồ công anh hạnh phúc.
Nếu một cây bồ công anh có màu đỏ và tím, thì bồ công anh thật đáng sợ.
Nếu một cây bồ công anh tốt hay nhỏ, thì bồ công anh còn non.
Nếu một cây bồ công anh mềm, thì bồ công anh lớn.
Sự thật:
Bồ công anh còn trẻ và hạnh phúc.
Những điều sau đây có thể được xác định về bồ công anh:”, Không có gì.
“Nếu một con voi yếu và nhanh, thì con voi chậm chạp.
Nếu một con voi còn nhỏ, thì con voi mạnh mẽ.
Nếu một con voi đáng sợ, thì con voi nhỏ.
Nếu một con voi sạch sẽ, thì con voi có màu xanh lá cây.
Nếu một con voi nhàm chán hoặc thông minh, thì con voi là hạnh phúc.
Sự thật:
Con voi đáng sợ và yếu đuối.
Những điều sau đây có thể được xác định về con voi:”, Con voi nhỏ.
“Nếu một cây anh túc còn trẻ và khỏe, thì cây anh túc yếu.
Nếu một cây anh túc nhanh, thì cây anh túc có màu xanh.
Nếu một cây anh túc nhàm chán và buồn bã, thì cây anh túc chậm.
Nếu một cây anh túc tốt hoặc nóng, thì cây anh túc lớn.
Nếu một cây anh túc đẹp hoặc đáng sợ, thì cây anh túc có màu tím.
Sự thật:
Cây anh túc thông minh và tốt.
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc lớn.
“Nếu một con mèo tròn hoặc tốt, thì con mèo có màu tím.
Nếu một con mèo đẹp hoặc màu xanh lá cây, thì con mèo rất nhanh.
Nếu một con mèo yếu hoặc mạnh, thì con mèo lớn.
Nếu một con mèo có màu xanh hoặc trẻ, thì con mèo lạnh.
Nếu một con mèo nóng hoặc đáng sợ, thì con mèo sạch sẽ.
Sự thật:
Con mèo đáng sợ và hạnh phúc.
Những điều sau đây có thể được xác định về con mèo:”, Con mèo sạch sẽ.
“Nếu Carol chậm và già, thì Carol thật tệ.
Nếu Carol tròn và màu xanh lá cây, thì Carol có màu đỏ.
Nếu Carol yếu, thì Carol rất nhanh.
Nếu Carol đẹp, thì Carol có màu tím.
Nếu Carol thông minh, thì Carol thật nhàm chán.
Sự thật:
Carol nhanh và sạch sẽ.
Những điều sau đây có thể được xác định về Carol:”, Không có gì.
“Nếu một bông hồng thông minh, thì hoa hồng buồn.
Nếu một bông hồng sạch sẽ, thì hoa hồng hạnh phúc.
Nếu một bông hồng đáng sợ hoặc nóng, thì hoa hồng lớn.
Nếu một bông hồng mạnh mẽ và tốt, thì hoa hồng có màu đỏ.
Nếu một bông hồng lạnh hoặc tròn, thì hoa hồng nhỏ.
Sự thật:
Hoa hồng xấu và nóng.
Những điều sau đây có thể được xác định về hoa hồng:”, Hoa hồng lớn.
“Nếu một con nhím xấu và đẹp, thì con nhím rất nóng.
Nếu một con nhím có màu xanh và đỏ, thì con nhím yếu.
Nếu một con nhím hạnh phúc, thì con nhím buồn.
Nếu một con nhím còn nhỏ hoặc lớn, thì con nhím chậm.
Nếu một con nhím lạnh, thì con nhím tròn.
Sự thật:
Con nhím nhàm chán và hạnh phúc.
Những điều sau đây có thể được xác định về con nhím:”, Con nhím buồn.
“Nếu Dan hạnh phúc, thì Dan là màu xanh lá cây.
Nếu Dan nhàm chán, thì Dan thật đẹp.
Nếu Dan lạnh, thì Dan đã già.
Nếu Dan mềm, thì Dan lớn.
Nếu Dan thông minh hoặc màu tím, thì Dan nóng.
Sự thật:
Dan tròn và nhỏ.
Những điều sau đây có thể được xác định về Dan:”, Không có gì.
“Nếu một con sóc nóng hoặc xấu, thì con sóc có màu đỏ.
Nếu một con sóc sạch hoặc nhỏ, thì con sóc lớn.
Nếu một con sóc hạnh phúc, thì con sóc rất nhanh.
Nếu một con sóc mềm, thì con sóc có màu tím.
Nếu một con sóc có màu xanh lá cây hoặc lạnh, thì con sóc yếu.
Sự thật:
Con sóc sạch sẽ và hạnh phúc.
Những điều sau đây có thể được xác định về con sóc:”, Con sóc to và nhanh.
“Nếu một con mèo xấu và nhỏ, thì con mèo rất đẹp.
Nếu một con mèo nhàm chán hoặc mềm mại, thì con mèo mạnh mẽ.
Nếu một con mèo sạch sẽ hoặc đáng sợ, thì con mèo nóng.
Nếu một con mèo tròn và buồn, thì con mèo đang hạnh phúc.
Nếu một con mèo có màu tím, thì con mèo có màu xanh.
Sự thật:
Con mèo sạch sẽ và nhỏ.
Những điều sau đây có thể được xác định về con mèo:”, Con mèo nóng.
“Nếu một con hươu cao cổ đáng sợ hoặc nhanh nhẹn, thì hươu cao cổ lạnh.
Nếu một con hươu cao cổ đẹp và hạnh phúc, thì hươu cao cổ sạch sẽ.
Nếu một con hươu cao cổ thông minh, thì hươu cao cổ là tốt.
Nếu một con hươu cao cổ mềm và to, thì hươu cao cổ là xấu.
Nếu một con hươu cao cổ nóng, thì hươu cao cổ chậm.
Sự thật:
Con hươu cao cổ buồn và đáng sợ.
Những điều sau đây có thể được xác định về hươu cao cổ:”, Hươu cao cổ lạnh.
“Nếu một con sư tử mạnh mẽ hay to lớn, thì sư tử buồn.
Nếu một con sư tử có màu xanh và hạnh phúc, thì sư tử sạch sẽ.
Nếu một con sư tử nhỏ và yếu, thì sư tử nóng.
Nếu một con sư tử có màu đỏ, thì sư tử là xấu.
Nếu một con sư tử nhanh và trẻ, thì sư tử lạnh.
Sự thật:
Con sư tử có màu đỏ và trẻ.
Những điều sau đây có thể được xác định về sư tử:”, Sư tử xấu.
“Nếu một con hươu cao cổ chậm và to, thì hươu cao cổ có màu tím.
Nếu một con hươu cao cổ tròn, thì hươu cao cổ hạnh phúc.
