question, target
Con nhím rất đẹp và mềm mại.,
Những điều sau đây có thể được xác định về con nhím:”, Con nhím nhỏ.
“Nếu một con gấu có màu tím, thì con gấu sạch sẽ.
Nếu một con gấu mạnh mẽ, thì con gấu có màu xanh lá cây.
Nếu một con gấu vui và xấu, thì con gấu buồn.
Nếu một con gấu lớn, thì con gấu còn trẻ.
Nếu một con gấu có màu đỏ và tốt, thì con gấu đã già.
Sự thật:,
Con gấu to và đẹp.,
Những điều sau đây có thể được xác định về con gấu:”, Con gấu còn nhỏ.
“Nếu một cây anh túc nóng, thì cây anh túc thật đáng sợ.
Nếu một cây anh túc có màu đỏ, thì cây anh túc rất mạnh.
Nếu một cây anh túc sạch, thì cây anh túc buồn.
Nếu một cây anh túc hạnh phúc, thì cây anh túc yếu.
Nếu một cây anh túc nhàm chán hoặc trẻ, thì cây anh túc lớn.
Sự thật:,
Cây anh túc thông minh và nhàm chán.,
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc lớn.
“Nếu một cái cây đẹp và nhàm chán, thì cái cây đó là xấu.
Nếu một cây khỏe, thì cây đã già.
Nếu một cây buồn hoặc thông minh, thì cây đang nóng.
Nếu một cây to và sạch, thì cây nhanh.
Nếu một cây còn non hoặc lạnh, thì cây thật đáng sợ.
Sự thật:,
Cây thông minh và nhàm chán.,
Những điều sau đây có thể được xác định về cây:”, Cây nóng.
“Nếu một con gấu buồn, thì con gấu thật nhàm chán.
Nếu một con gấu hạnh phúc và nhanh nhẹn, thì con gấu mềm mại.
Nếu một con gấu lạnh, thì con gấu còn trẻ.
Nếu một con gấu có màu tím, thì con gấu có màu xanh.
Nếu một con gấu tốt hay lớn, thì con gấu sạch sẽ.
Sự thật:,
Con gấu buồn và nhanh.,
Những điều sau đây có thể được xác định về con gấu:”, Con gấu nhàm chán.
“Nếu một cái cây lạnh, thì cái cây buồn.
Nếu một cây có màu xanh, thì cây chậm.
Nếu một cái cây đáng sợ và to lớn, thì cây đã già.
Nếu một cây khỏe, thì cây mềm.
Nếu một cây sạch và tốt, thì cây có màu đỏ.
Sự thật:,
Cây lạnh và trẻ.,
Những điều sau đây có thể được xác định về cây:”, Cây buồn.
“Nếu một con gấu có màu tím hoặc xanh lá cây, thì con gấu lớn.
Nếu một con gấu nhỏ, thì con gấu rất đẹp.
Nếu một con gấu thông minh, thì con gấu mềm mại.
Nếu một con gấu tròn và đáng sợ, thì con gấu lạnh.
Nếu một con gấu chậm và buồn, thì con gấu mạnh mẽ.
Sự thật:,
Con gấu lạnh lùng và nhàm chán.,
Những điều sau đây có thể được xác định về con gấu:”, Không có gì.
“Nếu Alice hạnh phúc, thì Alice yếu đuối.
Nếu Alice còn trẻ và nhanh, thì Alice tròn trịa.
Nếu Alice mạnh mẽ và nóng bỏng, thì Alice chậm chạp.
Nếu Alice có màu đỏ hoặc nhỏ, thì Alice thật đáng sợ.
Nếu Alice xấu và lạnh, thì Alice có màu xanh lá cây.
Sự thật:,
Alice yếu đuối và nhỏ bé.,
Những điều sau đây có thể được xác định về Alice:”, Alice thật đáng sợ.
“Nếu một con gấu trúc có màu xanh lá cây và lạnh, thì gấu trúc rất nhanh.
Nếu một con gấu trúc lớn hoặc sạch, thì gấu trúc có màu tím.
Nếu một con gấu trúc buồn, thì gấu trúc nhỏ.
Nếu một con gấu trúc đáng sợ và xinh đẹp, thì gấu trúc rất nóng.
Nếu một con gấu trúc còn nhỏ, thì gấu trúc chậm.
Sự thật:,
Gấu trúc mạnh và yếu.,
Những điều sau đây có thể được xác định về gấu trúc:”, Không có gì.
“Nếu Bob hạnh phúc hay xinh đẹp, thì Bob rất nóng bỏng.
Nếu Bob có màu đỏ, thì Bob đáng sợ.
Nếu Bob còn trẻ hoặc tím, thì Bob mạnh mẽ.
Nếu Bob yếu và nhanh, thì Bob tròn.
Nếu Bob nhỏ hoặc màu xanh lá cây, thì Bob là xấu.
Sự thật:,
Bob buồn và tím.,
Những điều sau đây có thể được xác định về Bob:”, Bob mạnh mẽ.
“Nếu một con mèo nhỏ và màu xanh, thì con mèo hạnh phúc.
Nếu một con mèo sạch sẽ và thông minh, thì con mèo đang nóng.
Nếu một con mèo xanh và già, thì con mèo nhàm chán.
Nếu một con mèo mạnh mẽ hoặc buồn bã, thì con mèo rất nhanh.
Nếu một con mèo đáng sợ hoặc xinh đẹp, thì con mèo mềm mại.
Sự thật:,
Con mèo có màu xanh và nhỏ.,
Những điều sau đây có thể được xác định về con mèo:”, Con mèo hạnh phúc.
“Nếu một con thỏ thông minh và hạnh phúc, thì con thỏ rất đẹp.
Nếu một con thỏ có màu xanh lá cây, thì thỏ yếu.
Nếu một con thỏ có màu xanh hoặc nhanh, thì con thỏ rất đáng sợ.
Nếu một con thỏ tốt và nóng, thì thỏ buồn.
Nếu một con thỏ có màu tím, thì thỏ có màu đỏ.
Sự thật:,
Con thỏ rất đẹp và nhanh.,
Những điều sau đây có thể được xác định về con thỏ:”, Con thỏ thật đáng sợ.
“Nếu một cái cây nhanh hay lạnh, thì cái cây đó lớn.
Nếu một cái cây đáng sợ, thì cây yếu.
Nếu một cây xanh hoặc non, thì cây đã già.
Nếu một cái cây chậm, thì cây hạnh phúc.
Nếu một cây sạch và xấu, thì cây mạnh mẽ.
Sự thật:,
Cây có màu xanh lam và xanh lục.,
Những điều sau đây có thể được xác định về cây:”, Cây đã già.
“Nếu một bông hoa hướng dương có màu xanh và nhanh, thì hoa hướng dương sạch sẽ.
Nếu một bông hoa hướng dương buồn, thì hoa hướng dương yếu.
Nếu một bông hoa hướng dương xấu hoặc mạnh, thì hoa hướng dương còn non.
Nếu một bông hoa hướng dương già hoặc lớn, thì hoa hướng dương chậm.
Nếu một bông hoa hướng dương nhỏ, thì hoa hướng dương có màu xanh lá cây.
Sự thật:,
Hoa hướng dương có màu xanh và buồn.,
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hướng dương yếu.
“Nếu một cái cây có màu tím, thì cây đó là tốt.
Nếu cây lạnh, thì cây có màu đỏ.
Nếu một cây tròn và nhàm chán, thì cây yếu.
Nếu một cái cây nhanh, thì cây thật đáng sợ.
Nếu một cây thông minh và mạnh mẽ, thì cây lớn.
Sự thật:,
Cây sạch và lạnh.,
Những điều sau đây có thể được xác định về cây:”, Cây có màu đỏ.
“Nếu Alice có màu xanh, thì Alice tròn.
Nếu Alice đáng sợ hoặc nhàm chán, thì Alice có màu đỏ.
Nếu Alice còn trẻ hay xấu, thì Alice hạnh phúc.
Nếu Alice có màu tím hoặc mạnh, thì Alice sạch sẽ.
Nếu Alice chậm, thì Alice rất nhanh.
Sự thật:,
Alice nhỏ bé và đáng sợ.,
Những điều sau đây có thể được xác định về Alice:”, Alice có màu đỏ.
“Nếu Dan xấu, thì Dan nhỏ bé.
Nếu Dan tròn, thì Dan mềm.
Nếu Dan xinh đẹp và thông minh, thì Dan là tốt.
Nếu Dan sạch sẽ và nhàm chán, thì Dan chậm chạp.
Nếu Dan to và xanh, thì Dan đã già.
Sự thật:,
Dan nhàm chán và sạch sẽ.,
Những điều sau đây có thể được xác định về Dan:”, Dan chậm.
“Nếu một con gấu nhàm chán, thì con gấu sạch sẽ.
Nếu một con gấu có màu xanh và già, thì con gấu mềm mại.
Nếu một con gấu tốt hoặc màu xanh lá cây, thì con gấu là thông minh.
Nếu một con gấu chậm hoặc xấu, thì con gấu còn trẻ.
Nếu một con gấu nóng, thì con gấu buồn.
Sự thật:,
Con gấu là tốt và mạnh mẽ.,
Những điều sau đây có thể được xác định về con gấu:”, Con gấu thông minh.
“Nếu một con chuột lạnh, thì con chuột có màu xanh lá cây.
Nếu một con chuột chậm hoặc xấu, thì con chuột lớn.
Nếu một con chuột sạch sẽ và tốt, thì con chuột sẽ nhàm chán.
Nếu một con chuột cũ hoặc nóng, thì con chuột rất đẹp.
Nếu một con chuột thông minh hoặc buồn, thì con chuột nhỏ.
Sự thật:,
Chuột chậm và yếu.,
Những điều sau đây có thể được xác định về con chuột:”, Con chuột lớn.
“Nếu Alice tròn, thì Alice buồn.
Nếu Alice mềm, thì Alice nóng.
Nếu Alice đã già, thì Alice hạnh phúc.
Nếu Alice nhỏ, thì Alice có màu xanh.
Nếu Alice nhàm chán, thì Alice có màu đỏ.
Sự thật:,
Alice đáng sợ và xấu xa.,
Những điều sau đây có thể được xác định về Alice:”, Không có gì.
“Nếu Carol có màu tím, thì Carol rất nhanh.
Nếu Carol có màu xanh, thì Carol mạnh mẽ.
Nếu Carol chậm, thì Carol là tốt.
Nếu Carol sạch sẽ và nhàm chán, thì Carol là xấu.
Nếu Carol nóng hay buồn, thì Carol yếu.
Sự thật:,
Carol già và tím.,
Những điều sau đây có thể được xác định về Carol:”, Carol rất nhanh.
“Nếu Alice thông minh, thì Alice đã già rồi.
Nếu Alice có màu xanh, thì Alice yếu.
Nếu Alice xấu, thì Alice mềm yếu.
Nếu Alice nhàm chán, thì Alice lạnh lùng.
Nếu Alice buồn, thì Alice đáng sợ.
Sự thật:,
Alice xấu và đáng sợ.,
Những điều sau đây có thể được xác định về Alice:”, Alice mềm yếu.
“Nếu Frank đỏ, thì Frank tròn.
Nếu Frank già hay xấu, thì Frank yếu.
Nếu Frank tốt và xanh, thì Frank thật đẹp.
Nếu Frank mạnh mẽ và to lớn, thì Frank mềm yếu.
Nếu Frank đáng sợ, thì Frank có màu tím.
Sự thật:,
Frank còn trẻ và mạnh mẽ.,
Những điều sau đây có thể được xác định về Frank:”, Không có gì.
“Nếu một con hươu cao cổ có màu tím, thì hươu cao cổ đã già.
Nếu một con hươu cao cổ buồn hoặc nóng, thì hươu cao cổ thật nhàm chán.
Nếu một con hươu cao cổ chậm hoặc đỏ, thì hươu cao cổ có màu xanh.
Nếu một con hươu cao cổ sạch sẽ và thông minh, thì hươu cao cổ rất đẹp.
Nếu một con hươu cao cổ hạnh phúc, thì hươu cao cổ là tốt.
Sự thật:,
Con hươu cao cổ đáng sợ và buồn bã.,
Những điều sau đây có thể được xác định về hươu cao cổ:”, Hươu cao cổ thật nhàm chán.
“Nếu một con mèo nhỏ, thì con mèo chậm chạp.
Nếu một con mèo xấu, thì con mèo sạch sẽ.
Nếu một con mèo lạnh hoặc đỏ, thì con mèo là tốt.
Nếu một con mèo hạnh phúc và yếu đuối, thì con mèo rất nhanh.
Nếu một con mèo buồn, thì con mèo mạnh mẽ.
Sự thật:,
Con mèo mềm và to.,
Những điều sau đây có thể được xác định về con mèo:”, Không có gì.
“Nếu một con hổ nhàm chán, thì con hổ có màu xanh.
Nếu một con hổ nóng, thì con hổ là thông minh.
Nếu một con hổ yếu hoặc mạnh, thì con hổ tròn.
Nếu một con hổ nhỏ và đỏ, thì con hổ là tốt.
Nếu một con hổ hạnh phúc và có màu tím, thì con hổ rất nhanh.
Sự thật:,
Con hổ hạnh phúc và yếu đuối.,
Những điều sau đây có thể được xác định về con hổ:”, Con hổ tròn.
“Nếu một bông hoa hướng dương có màu xanh lá cây, thì hoa hướng dương là thông minh.
Nếu một bông hoa hướng dương mềm và xấu, thì hoa hướng dương có màu xanh.
Nếu một bông hoa hướng dương nóng, thì hoa hướng dương là hạnh phúc.
Nếu một bông hoa hướng dương nhanh, thì hoa hướng dương thật nhàm chán.
Nếu một bông hoa hướng dương buồn, thì hoa hướng dương yếu.
Sự thật:,
Hoa hướng dương lạnh và buồn.,
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hướng dương yếu.
“Nếu Erin yếu đuối và lạnh lùng, thì Erin là tốt.
Nếu Erin chậm chạp và đỏ, thì Erin thật nhàm chán.
Nếu Erin còn trẻ và sạch sẽ, thì Erin buồn.
Nếu Erin xấu hoặc mềm, thì Erin nhỏ.
Nếu Erin xinh đẹp, thì Erin nóng bỏng.
Sự thật:,
Erin đỏ và sạch sẽ.,
Những điều sau đây có thể được xác định về Erin:”, Không có gì.
“Nếu một con hổ tròn, thì con hổ sạch sẽ.
Nếu một con hổ mạnh mẽ và già, thì con hổ chậm chạp.
Nếu một con hổ to và đỏ, thì con hổ là thông minh.
Nếu một con hổ tốt hay đẹp, thì con hổ có màu xanh lá cây.
Nếu một con hổ mềm, thì con hổ có màu xanh.
Sự thật:,
Con hổ có hình tròn và màu đỏ.,
Những điều sau đây có thể được xác định về con hổ:”, Con hổ sạch sẽ.
“Nếu một con nhím tốt, thì con nhím còn trẻ.
Nếu một con nhím nhanh và lạnh, thì con nhím đã già.
Nếu một con nhím xấu, thì con nhím rất đáng sợ.
Nếu một con nhím nóng và xanh, thì con nhím rất thông minh.
Nếu một con nhím nhỏ, thì con nhím có màu đỏ.
Sự thật:,
Con nhím nhỏ và đẹp.,
Những điều sau đây có thể được xác định về con nhím:”, Con nhím có màu đỏ.
“Nếu một cây bồ công anh nóng hoặc sạch, thì bồ công anh buồn.
Nếu một cây bồ công anh còn trẻ, thì bồ công anh đã già.
Nếu một cây bồ công anh nhỏ, thì bồ công anh có màu xanh lá cây.
Nếu một cây bồ công anh hạnh phúc hay xấu, thì bồ công anh thật đáng sợ.
Nếu một cây bồ công anh nhàm chán, thì bồ công anh rất nhanh.
Sự thật:,
Bồ công anh đã cũ và xấu.,
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh thật đáng sợ.
“Nếu một cái cây xấu, thì cây còn non.
Nếu một cây có màu tím và đẹp, thì cây rất khỏe.
Nếu một cái cây có màu xanh và nhỏ, thì cây hạnh phúc.
Nếu một cây có màu đỏ hoặc mềm, thì cây là tốt.
Nếu một cây nhanh và già, thì cây thật đáng sợ.
Sự thật:,
Cây có màu tím và xấu.,
Những điều sau đây có thể được xác định về cây:”, Cây còn non.
“Nếu một cây bồ công anh buồn, thì bồ công anh rất thông minh.
Nếu một cây bồ công anh đẹp, thì bồ công anh rất nhanh.
Nếu một cây bồ công anh già và yếu, thì bồ công anh chậm.
Nếu bồ công anh lạnh, thì bồ công anh sạch sẽ.
Nếu bồ công anh nóng, thì bồ công anh có màu đỏ.
Sự thật:,
Bồ công anh lạnh và mạnh.,
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh sạch sẽ.
“Nếu Dan già, thì Dan hạnh phúc.
Nếu Dan đẹp, thì Dan buồn.
Nếu Dan xấu, thì Dan có màu tím.
Nếu Dan nhanh hay trẻ, thì Dan thông minh.
Nếu Dan sạch sẽ, thì Dan là tốt.
Sự thật:,
Dan có màu xanh và đẹp.,
Những điều sau đây có thể được xác định về Dan:”, Dan buồn.
“Nếu một con nhím đáng sợ hoặc sạch sẽ, thì con nhím rất mạnh.
Nếu một con nhím lạnh và xấu, thì con nhím đang hạnh phúc.
Nếu một con nhím nhanh, thì con nhím chậm.
Nếu một con nhím tròn và đỏ, thì con nhím thật nhàm chán.
Nếu một con nhím nóng và mềm, thì con nhím còn nhỏ.
Sự thật:,
Con nhím có màu xanh và đáng sợ.,
Những điều sau đây có thể được xác định về con nhím:”, Con nhím rất mạnh.
“Nếu Erin mềm mại hoặc đáng sợ, thì Erin rất nóng.
Nếu Erin nhanh, thì Erin tròn.
Nếu Erin yếu đuối và lạnh lùng, thì Erin còn trẻ.
Nếu Erin buồn, thì Erin chậm chạp.
Nếu Erin hạnh phúc và già đi, thì Erin thật nhàm chán.
Sự thật:,
Erin buồn và nhỏ bé.,
Những điều sau đây có thể được xác định về Erin:”, Erin chậm chạp.
“Nếu một con voi xấu và nóng, thì con voi mềm.
Nếu một con voi sạch sẽ, thì con voi nhỏ.
Nếu một con voi tốt hoặc tròn, thì con voi có màu đỏ.
Nếu một con voi có màu xanh, thì con voi thật đáng sợ.
Nếu một con voi yếu, thì con voi mạnh mẽ.
Sự thật:,
Con voi xanh và sạch sẽ.,
Những điều sau đây có thể được xác định về con voi:”, Con voi nhỏ.
“Nếu một con gấu mềm hoặc yếu, thì con gấu thật nhàm chán.
Nếu một con gấu có màu xanh lá cây hoặc hạnh phúc, thì con gấu có màu tím.
Nếu một con gấu đã già, thì con gấu là tốt.
Nếu một con gấu màu đỏ, thì con gấu mạnh mẽ.
Nếu một con gấu thông minh, thì con gấu buồn.
Sự thật:,
Con gấu mạnh mẽ và già nua.,
Những điều sau đây có thể được xác định về con gấu:”, Con gấu tốt.
“Nếu Frank mềm mại, thì Frank là màu xanh.
Nếu Frank đỏ, thì Frank yếu.
Nếu Frank tròn trịa và hạnh phúc, thì Frank thông minh.
Nếu Frank lạnh, thì Frank rất nhanh.
Nếu Frank mạnh mẽ hay tốt, thì Frank đã già.
Sự thật:,
Frank tròn trịa và tốt.,
Những điều sau đây có thể được xác định về Frank:”, Frank đã già.
“Nếu một con voi là tốt, thì con voi là mạnh mẽ.
Nếu một con voi sạch hoặc xấu, thì con voi có màu xanh.
Nếu một con voi chậm hoặc mềm, thì con voi rất đẹp.
Nếu một con voi có màu xanh lá cây, thì con voi nhỏ.
Nếu một con voi đáng sợ, thì con voi đã già.
Sự thật:,
Con voi tốt và buồn.,
Những điều sau đây có thể được xác định về con voi:”, Con voi mạnh mẽ.
“Nếu một con sư tử lạnh, thì sư tử nhỏ.
Nếu một con sư tử hạnh phúc, thì sư tử còn trẻ.
Nếu một con sư tử mềm hoặc đỏ, thì sư tử đã già.
Nếu một con sư tử có màu xanh và nhanh, thì sư tử mạnh mẽ.
Nếu một con sư tử chậm, thì sư tử tròn.
Sự thật:,
Sư tử chậm và nóng.,
Những điều sau đây có thể được xác định về sư tử:”, Sư tử tròn.
“Nếu một con voi hạnh phúc, thì con voi có màu đỏ.
Nếu một con voi có màu xanh, thì con voi thật đáng sợ.
Nếu một con voi già và khỏe, thì con voi là tốt.
Nếu một con voi lớn, thì con voi mềm.
Nếu một con voi xấu, thì con voi còn trẻ.
Sự thật:,
Con voi rất nhanh và to.,
Những điều sau đây có thể được xác định về con voi:”, Con voi mềm.
“Nếu Dan có màu tím hoặc nóng, thì Dan thật nhàm chán.
Nếu Dan tốt hay chậm, thì Dan rất đẹp.
Nếu Dan thông minh và già, thì Dan mềm yếu.
Nếu Dan lạnh, thì Dan lớn.
Nếu Dan có màu xanh và xấu, thì Dan yếu.
Sự thật:,
Dan hạnh phúc và tốt.,
Những điều sau đây có thể được xác định về Dan:”, Dan rất đẹp.
“Nếu một con hươu cao cổ buồn, thì hươu cao cổ rất mạnh.
Nếu một con hươu cao cổ tốt, thì hươu cao cổ rất đẹp.
Nếu một con hươu cao cổ chậm hoặc yếu, thì hươu cao cổ lạnh.
Nếu một con hươu cao cổ hạnh phúc, thì hươu cao cổ mềm mại.
Nếu một con hươu cao cổ có màu tím, thì hươu cao cổ có màu xanh.
Sự thật:,
Con hươu cao cổ buồn và nhàm chán.,
Những điều sau đây có thể được xác định về hươu cao cổ:”, Hươu cao cổ rất mạnh.
“Nếu một cây bồ công anh yếu, thì bồ công anh rất thông minh.
Nếu bồ công anh có màu đỏ hoặc mềm, thì bồ công anh chậm.
Nếu một cây bồ công anh lạnh và tốt, thì bồ công anh rất đẹp.
Nếu một cây bồ công anh xấu, thì bồ công anh rất lớn.
Nếu một cây bồ công anh nhàm chán, thì bồ công anh có màu tím.
Sự thật:,
Bồ công anh xấu và yếu.,
Những điều sau đây có thể được xác định về bồ công anh:”, Bồ công anh thông minh và to lớn.
“Nếu Frank tốt, Frank sẽ buồn.
Nếu Frank mạnh, thì Frank là màu đỏ.
Nếu Frank hạnh phúc, thì Frank sạch sẽ.
Nếu Frank còn trẻ và mềm, thì Frank là xấu.
Nếu Frank là màu xanh, thì Frank thật nhàm chán.
Sự thật:,
Frank chậm và tốt.,
Những điều sau đây có thể được xác định về Frank:”, Frank buồn.
“Nếu Bob buồn hay xinh đẹp, thì Bob sẽ hạnh phúc.
Nếu Bob tốt hay lớn, thì Bob rất nhanh.
Nếu Bob lạnh lùng và thông minh, thì Bob là màu xanh lá cây.
Nếu Bob chậm và nóng, thì Bob nhỏ.
Nếu Bob nhàm chán và trẻ trung, thì Bob mạnh mẽ.
Sự thật:,
Bob tròn trịa và xinh đẹp.,
Những điều sau đây có thể được xác định về Bob:”, Bob rất vui.
“Nếu Frank chậm chạp, thì Frank sạch sẽ.
Nếu Frank già, thì Frank là tốt.
Nếu Frank trẻ và xinh đẹp, thì Frank thật nhàm chán.
Nếu Frank đáng sợ, thì Frank lạnh lùng.
Nếu Frank xấu, thì Frank mềm yếu.
Sự thật:,
Frank chậm và xấu.,
Những điều sau đây có thể được xác định về Frank:”, Frank sạch sẽ và mềm mại.
“Nếu một con hà mã có màu xanh hoặc nóng, thì hà mã là tốt.
Nếu một con hà mã lớn, thì hà mã thật đáng sợ.
Nếu một con hà mã tròn hoặc nhỏ, thì hà mã rất đẹp.
Nếu một con hà mã còn trẻ, thì hà mã lạnh.
Nếu một con hà mã có màu đỏ, thì hà mã thật nhàm chán.
Sự thật:,
Hà mã buồn và nhỏ.,
Những điều sau đây có thể được xác định về hà mã:”, Hà mã rất đẹp.
“Nếu Erin to lớn và xinh đẹp, thì Erin sạch sẽ.
Nếu Erin thông minh, thì Erin thật đáng sợ.
Nếu Erin lạnh lùng và già, thì Erin thật nhàm chán.
Nếu Erin mạnh mẽ hay hạnh phúc, thì Erin rất nhanh.
Nếu Erin có màu xanh lá cây, thì Erin yếu.
Sự thật:,
Erin buồn và đáng sợ.,
Những điều sau đây có thể được xác định về Erin:”, Không có gì.
“Nếu một bông hồng mềm mại, thì hoa hồng thật đẹp.
Nếu một bông hồng nhỏ và buồn, thì hoa hồng thật nhàm chán.
Nếu một bông hồng đáng sợ và sạch sẽ, thì hoa hồng là xấu.
Nếu một bông hồng yếu hoặc mạnh, thì hoa hồng là thông minh.
Nếu một bông hồng có màu tím hoặc đỏ, thì hoa hồng là tốt.
Sự thật:,
Hoa hồng đáng sợ và đỏ.,
Những điều sau đây có thể được xác định về hoa hồng:”, Hoa hồng tốt.
“Nếu Carol có màu đỏ, thì Carol thật xinh đẹp.
Nếu Carol có màu tím, thì Carol buồn.
Nếu Carol có màu xanh lá cây, thì Carol mạnh mẽ.
Nếu Carol lạnh, thì Carol còn trẻ.
Nếu Carol già, thì Carol nhỏ.
Sự thật:,
Carol đã già và tốt.,
Những điều sau đây có thể được xác định về Carol:”, Carol nhỏ.
“Nếu Bob lớn hay sạch sẽ, thì Bob là người xấu.
Nếu Bob già hoặc hạnh phúc, thì Bob còn trẻ.
Nếu Bob đẹp, thì Bob yếu đuối.
Nếu Bob nhỏ, thì Bob buồn.
Nếu Bob nhàm chán và đáng sợ, thì Bob rất nóng bỏng.
Sự thật:,
Bob thông minh và xinh đẹp.,
Những điều sau đây có thể được xác định về Bob:”, Bob yếu.
“Nếu một cây anh túc già và mạnh, thì cây anh túc buồn.
Nếu một cây anh túc mềm hoặc đáng sợ, thì cây anh túc có màu đỏ.
Nếu một cây anh túc nhàm chán, thì cây anh túc rất đẹp.
Nếu một cây anh túc lớn hoặc yếu, thì cây anh túc là thông minh.
Nếu một cây anh túc chậm hoặc tròn, thì cây anh túc rất nhanh.
Sự thật:,
Cây thuốc phiện mạnh mẽ và già nua.,
Những điều sau đây có thể được xác định về cây anh túc:”, Cây anh túc buồn.
“Nếu một cái cây xấu, thì cây sẽ lạnh.
Nếu một cây chậm và tròn, thì cây có màu đỏ.
Nếu một cây hạnh phúc và thông minh, thì cây có màu tím.
Nếu một cây mềm hoặc nhanh, thì cây đã già.
Nếu một cây xanh, thì cây sạch sẽ.
Sự thật:,
Cây chậm và buồn.,
Những điều sau đây có thể được xác định về cây:”, Không có gì.
“Nếu một bông hoa hướng dương mềm và đẹp, thì hoa hướng dương thật nhàm chán.
Nếu một bông hoa hướng dương có màu xanh, thì hướng dương yếu.
Nếu một bông hoa hướng dương có màu xanh lá cây và nóng, thì hoa hướng dương rất mạnh.
Nếu một bông hoa hướng dương buồn, thì hoa hướng dương có màu tím.
Nếu một bông hoa hướng dương có màu đỏ, thì hoa hướng dương là thông minh.
Sự thật:,
Hoa hướng dương mạnh mẽ và có màu xanh.,
Những điều sau đây có thể được xác định về hoa hướng dương:”, Hướng dương yếu.
“Nếu một con nhím già và đỏ, thì con nhím yếu.
Nếu một con nhím xấu, thì con nhím nhỏ.
Nếu một con nhím tốt, thì con nhím có màu xanh lá cây.
Nếu một con nhím chậm và nóng, thì con nhím tròn.
Nếu một con nhím hạnh phúc hoặc lớn, thì con nhím rất thông minh.
Sự thật:,
Con nhím là tốt và xấu.,
