source, target
“Quy tắc: + Z = X | Thay thế: X bằng “” ngựa “”, Z bằng “” việt quất “"”, + việt quất = ngựa
“Quy tắc: Z * X + Y + | Thay thế: X bằng “” việt quất “”, Y bằng “” đại bàng “”, Z bằng “” nho “"”, nho * việt quất + đại bàng +
“Quy tắc: Z * X + + | Thay thế: X bằng “” cá voi “”, Z bằng “” blackberry “"”, blackberry * cá voi + +
“Quy tắc: * Z Z - + Z | Thay thế: Z bằng “” rắn hổ mang việt quất “"”, * rắn hổ mang việt quất rắn hổ mang việt quất - + rắn hổ mang việt quất
“Quy tắc: = * X X X | Thay thế: X bằng “” kiwi “"”, = * kiwi kiwi kiwi
“Quy tắc: Y + Z * Y = | Thay thế: Y bằng “” đại bàng “”, Z bằng “” nho “"”, đại bàng + nho * đại bàng =
“Quy tắc: X + - X Z | Thay thế: X bằng “” con dấu “”, Z bằng “” dưa hấu “"”, con dấu + - niêm phong dưa hấu
“Quy tắc: X * Y - - | Thay thế: X bằng “” kiwi cá voi “”, Y bằng “” kiwi “"”, kiwi cá voi * kiwi - -
“Quy tắc: * Y Z - Z | Thay thế: Y bằng “” cá mập “”, Z bằng “” cá voi “"”, * cá voi cá mập - cá voi
“Quy tắc: X X - Y + | Thay thế: X bằng “” cò “”, Y bằng “” rắn hổ mang táo “"”, cò - rắn hổ mang táo +
“Quy tắc: Y + X X - | Thay thế: X bằng “" dâu trâu "”, Y bằng “" ngựa vằn "”, ngựa vằn + trâu dâu trâu dâu tây -
“Quy tắc: + = Y Y + Y | Thay thế: Y bằng “” nho “"”, + = nho + nho
“Quy tắc: Z * X Y + | Thay thế: X bằng “" đào "”, Y bằng “" táo ngựa "”, Z bằng “" dâu trâu "”, dâu trâu * đào ngựa táo +
“Quy tắc: + - Y Y | Thay thế: Y bằng “” sư tử cò “"”, + - cò sư tử cò sư tử
“Quy tắc: = X * Z Z | Thay thế: X bằng “” cò kiwi “”, Z bằng “” cò nho “"”, = cò kiwi * cò nho
“Quy tắc: Y * - X | Thay thế: X bằng “” con dấu cò “”, Y bằng “” rắn hổ mang “"”, rắn hổ mang * - con dấu cò
“Quy tắc: X Z - = | Thay thế: X bằng “” chuối cá mập “”, Z bằng “” sư tử kiwi “"”, cá mập chuối kiwi sư tử - =
“Quy tắc: = X Y + - | Thay thế: X bằng “” rắn hổ mang cá voi “”, Y bằng “” táo táo “"”, = rắn hổ mang cá voi táo táo + -
“Quy tắc: + Z Z * X + | Thay thế: X bằng “" sư tử "”, Z bằng “" cá mập trâu ""”, + cá mập trâu trâu cá mập trâu * sư tử +
“Quy tắc: Y Z - X * | Thay thế: X bằng “” chuột “”, Y bằng “” rắn hổ mang “”, Z bằng “” táo đào “"”, rắn hổ mang táo đào - chuột *
“Quy tắc: Y + - * Z | Thay thế: Y bằng “” blackberry “”, Z bằng “” chim cánh cụt dâu tây “"”, blackberry + - * dâu tây chim cánh cụt
“Quy tắc: - Y Y = * X | Thay thế: X bằng “" trâu chuột "”, Y bằng “" ngựa "”, - ngựa = * trâu chuột
“Quy tắc: - Y - Z Z | Thay thế: Y bằng “” con dấu “”, Z bằng “” dưa hấu “”, - con dấu - dưa hấu
“Quy tắc: Z Z Y - + | Thay thế: Y bằng “” chuối “”, Z bằng “” dâu tây “"”, chuối dâu tây - +
“Quy tắc: Y * Z = Y | Thay thế: Y bằng “” cá voi chuối “”, Z bằng “” nho đào “"”, cá voi chuối * nho đào = cá voi chuối
“Quy tắc: = Z + X Z = | Thay thế: X bằng “” đào “”, Z bằng “” nho “"”, = nho + nho đào =
“Quy tắc: - Z + X + Y | Thay thế: X bằng “” đào kiwi “”, Y bằng “” sư tử “”, Z bằng “” táo ngựa “”, - táo ngựa + đào kiwi + sư tử
“Quy tắc: + X X = - | Thay thế: X bằng “” ngựa vằn kiwi “"”, + ngựa vằn kiwi kiwi zebra = -
“Quy tắc: + X = Y | Thay thế: X bằng “" trâu sư tử "”, Y bằng “" đào kiwi "”, + trâu sư tử = đào kiwi
“Quy tắc: + X - Z Z | Thay thế: X bằng “” kiwi “”, Z bằng “” cá voi “"”, + kiwi - cá voi voi
“Quy tắc: * - Y * Y | Thay thế: Y bằng “” kiwi “"”, * - kiwi * kiwi
“Quy tắc: X * X - | Thay thế: X bằng “” cá voi “"”, cá voi * cá voi -
“Quy tắc: Y - Z * - | Thay thế: Y bằng “” đại bàng “”, Z bằng “” cò “"”, đại bàng - cò * -
“Quy tắc: + X Z * - | Thay thế: X bằng “” dâu tây chuột “”, Z bằng “” nho kiwi “"”, + nho kiwi dâu tây chuột * -
“Quy tắc: * Y - Z - Y | Thay thế: Y bằng “” cò táo “”, Z bằng “” cá voi việt quất “"”, * cò táo - cá voi việt quất - táo cò
“Quy tắc: - Y Y Z - - | Thay thế: Y bằng “” dưa hấu blackberry “”, Z bằng “” dâu trâu “”, - dưa hấu dâu đen dâu đen dâu tây trâu dâu tây - -
“Quy tắc: X + X = | Thay thế: X bằng “” ngựa “"”, ngựa + ngựa =
“Quy tắc: Y X Y + - + | Thay thế: X bằng “” blackberry “”, Y bằng “” cá mập ngựa “"”, cá mập ngựa blackberry cá mập ngựa + - +
“Quy tắc: Z = + Z * | Thay thế: Z bằng “” cá mập “"”, cá mập = + cá mập *
“Quy tắc: X + + X Z | Thay thế: X bằng “” kiwi “”, Z bằng “” rắn hổ mang ngựa “"”, kiwi + rắn hổ mang ngựa kiwi
“Quy tắc: - Z Z * = | Thay thế: Z bằng “” chuối kiwi “"”, - chuối kiwi chuối kiwi kiwi * =
“Quy tắc: = X Z + - | Thay thế: X bằng “” ngựa vằn “”, Z bằng “” kiwi kiwi “"”, = ngựa vằn kiwi kiwi + -
“Quy tắc: + Z X + = | Thay thế: X bằng “” hải cẩu cá mập “”, Z bằng “” rắn hổ mang kiwi “"”, + hải cẩu cá mập kiwi rắn hổ mang + =
“Quy tắc: * X + X | Thay thế: X bằng “” sư tử đào “"”, * sư tử đào + sư tử đào
“Quy tắc: * Y Y X * | Thay thế: X bằng “” blackberry buffalo “”, Y bằng “” blueberry “"”, * blueberry blueberry blackberry buffalo *
“Quy tắc: X + Z + | Thay thế: X bằng “" ngựa sư tử "”, Z bằng “" cá voi "”, ngựa sư tử + cá voi +
“Quy tắc: = Y - X - | Thay thế: X bằng “” chuột “”, Y bằng “” rắn hổ mang “"”, = rắn hổ mang - chuột -
“Quy tắc: Y * = Z - | Thay thế: Y bằng “” chuối “”, Z bằng “” việt quất “"”, chuối * = việt quất -
“Quy tắc: * X X - - | Thay thế: X bằng “” cò dưa hấu “"”, * cò dưa hấu dưa hấu - -
“Quy tắc: Y + = Y Y | Thay thế: Y bằng “” chuột “"”, chuột + = chuột
“Quy tắc: + Z + - Z | Thay thế: Z bằng “” chuột ngựa vằn “"”, + chuột ngựa vằn + - chuột ngựa vằn
“Quy tắc: - - X Z | Thay thế: X bằng “” con dấu “”, Z bằng “” đại bàng “"”, - - con dấu đại bàng
“Quy tắc: = * Y = Z X | Thay thế: X bằng “” kiwi ngựa vằn “”, Y bằng “” dưa hấu “”, Z bằng “” cò “"”, = * dưa hấu = cò ngựa vằn kiwi
“Quy tắc: * Z = * X Z | Thay thế: X bằng “" rắn hổ mang "”, Z bằng “" cò trâu "”, * trâu cò = * rắn hổ mang cò trâu
“Quy tắc: X * X Z * | Thay thế: X bằng “" đại bàng sư tử "”, Z bằng “" táo trâu "”, đại bàng sư tử * sư tử đại bàng trâu táo *
“Quy tắc: X X + Z - | Thay thế: X bằng “” chuột cá mập “”, Z bằng “” việt quất “"”, chuột cá mập chuột cá mập + quả việt quất -
“Quy tắc: * Z X - Y - | Thay thế: X bằng “” cá voi dâu “”, Y bằng “” chim cánh cụt chuột “”, Z bằng “” táo “”, * cá voi dâu tây táo - chim cánh cụt chuột -
“Quy tắc: = Z Y * | Thay thế: Y bằng “” chuột cá voi “”, Z bằng “” việt quất “"”, = chuột cá voi việt quất *
“Quy tắc: - + X Y X - | Thay thế: X bằng “” con dấu việt quất “”, Y bằng “” con dấu ngựa vằn “"”, - + con dấu việt quất con dấu ngựa vằn việt quất -
“Quy tắc: - * Z Y * | Thay thế: Y bằng “” nho “”, Z bằng “” kiwi sư tử “"”, - * nho kiwi sư tử *
“Quy tắc: Z * + Z Y | Thay thế: Y bằng “” kiwi “”, Z bằng “” kiwi dâu “"”, kiwi dâu tây * + kiwi dâu
“Quy tắc: - Z = Y | Thay thế: Y bằng “” cò “”, Z bằng “” sư tử “"”, - sư tử = cò
“Quy tắc: Y X X + = | Thay thế: X bằng “” dâu tây kiwi “”, Y bằng “” sư tử “”, kiwi dâu tây sư tử kiwi + =
“Quy tắc: - - Z Y + | Thay thế: Y bằng “” con dấu dưa hấu “”, Z bằng “” lê “”, - - hải cẩu dưa hấu lê +
“Quy tắc: = Y Z Y = | Thay thế: Y bằng “” cá mập “”, Z bằng “” dâu tây “"”, = cá mập dâu tây =
“Quy tắc: * Z + X = Z | Thay thế: X bằng “” blackberry “”, Z bằng “” rắn hổ mang “"”, * rắn hổ mang + blackberry = rắn hổ mang
“Quy tắc: Z Z + Y + | Thay thế: Y bằng “” việt quất “”, Z bằng “” táo cá mập “"”, táo cá mập táo táo + việt quất +
“Quy tắc: Z X * + = Z | Thay thế: X bằng “” con dấu “”, Z bằng “” dâu tây “"”, con dấu dâu tây * + = dâu
“Quy tắc: = + X + X | Thay thế: X bằng “” đại bàng ngựa vằn “"”, = + đại bàng vằn + đại bàng ngựa vằn
“Quy tắc: - Z Y * = Z | Thay thế: Y bằng “” lê “”, Z bằng “” chuột “"”, - lê chuột * = chuột
“Quy tắc: Z Z + * | Thay thế: Z bằng “” cá mập “"”, cá mập + *
“Quy tắc: Z Y * * * Z | Thay thế: Y bằng “” cá mập “”, Z bằng “” cá voi blackberry “"”, cá mập voi blackberry * * * cá voi đen
“Quy tắc: - * X X Z | Thay thế: X bằng “” chim cánh cụt đào “”, Z bằng “” con dấu “"”, - * chim cánh cụt đào chim cánh cụt đào hải cẩu
“Quy tắc: Z = Y Y + | Thay thế: Y bằng “” nho “”, Z bằng “” con dấu kiwi “"”, con dấu kiwi = nho nho +
“Quy tắc: Y X Y = = - | Thay thế: X bằng “" việt quất "”, Y bằng “" trâu "”, trâu việt quất trâu = -
“Quy tắc: X X Y = - | Thay thế: X bằng “” blackberry horse “”, Y bởi “” blackberry “”, blackberry horse blackberry horse blackberry blackberry = -
“Quy tắc: Z * Y Z * | Thay thế: Y bằng “” ngựa vằn “”, Z bằng “” cò blackberry “"”, cò blackberry * cò ngựa vằn blackberry *
“Quy tắc: + Y Y = = | Thay thế: Y bằng “” đại bàng cò “"”, + cò đại bàng cò đại bàng = =
“Quy tắc: Z * - Y | Thay thế: Y bằng “” chim cánh cụt blackberry “”, Z bởi “” blackberry rat “"”, blackberry rat * - chim cánh cụt blackberry
“Quy tắc: Z Z * - | Thay thế: Z bằng “” dưa hấu chim cánh cụt “"”, dưa hấu chim cánh cụt dưa hấu chim cánh cụt * -
“Quy tắc: Y Z + Y - + | Thay thế: Y bằng “” táo dâu “”, Z bằng “" trâu "”, táo dâu trâu + táo dâu tây - +
“Quy tắc: Y * Z Y * - | Thay thế: Y bằng “” lê blackberry “”, Z bằng “” apple rat “"”, lê blackberry * apple rat pear blackberry * -
“Quy tắc: * + Y X Z | Thay thế: X bằng “” dưa hấu “”, Y bằng “” blackberry “”, Z bằng “” ngựa vằn “"”, * + blackberry dưa hấu ngựa vằn
“Quy tắc: Z Y + Z - | Thay thế: Y bằng “” cò táo “”, Z bằng “” nho “"”, táo cò nho + nho -
“Quy tắc: - Z - X * | Thay thế: X bằng “” dâu tây “”, Z bằng “” việt quất “"”, - việt quất - dâu tây *
“Quy tắc: = Y Z + | Thay thế: Y bằng “” chuột đào “”, Z bằng “” chim cánh cụt dâu tây “"”, = chim cánh cụt dâu tây chuột đào +
“Quy tắc: - = Z Y | Thay thế: Y bằng “” con dấu táo “”, Z bằng “” dâu tây ngựa “"”, - = ngựa dâu hải cẩu táo
“Quy tắc: Z Y * - | Thay thế: Y bằng “” chuối dưa hấu “”, Z bằng “” việt quất “"”, chuối dưa hấu việt quất * -
“Quy tắc: Y X X * - | Thay thế: X bằng “” việt quất “”, Y bằng “” con dấu chuột “”, con dấu chuột việt quất việt quất * -
“Quy tắc: - X * Y | Thay thế: X bằng “” rắn hổ mang “”, Y bằng “” con dấu ngựa “"”, - rắn hổ mang * con dấu ngựa
“Quy tắc: Y + Y + Y - | Thay thế: Y bằng “” chuối rắn hổ mang “"”, chuối rắn hổ mang + chuối rắn hổ mang + chuối rắn hổ mang -
“Quy tắc: Z * Y * = Z | Thay thế: Y bằng “” dâu đào “”, Z bằng “” cá voi dưa hấu “"”, cá voi dưa hấu * dâu đào * = cá voi dưa hấu
“Quy tắc: = - X - X | Thay thế: X bằng “” cá voi cò “"”, = - cá voi cò - cá voi cò
“Quy tắc: * * Z + Z Y | Thay thế: Y bằng “” chuột “”, Z bằng “” hải cẩu cá voi “"”, * * * hải cẩu cá voi + chuột hải cẩu cá voi
“Quy tắc: Y - = Y = | Thay thế: Y bằng “” apple “"”, apple - = apple =
“Quy tắc: X Y + * = | Thay thế: X bằng “” sư tử đào “”, Y bằng “” con dấu lê “"”, con dấu lê đào sư tử + * =
“Quy tắc: + + Z X | Thay thế: X bằng “” cá mập sư tử “”, Z bằng “” cò “"”, + + cá mập sư tử cò
“Quy tắc: Y Y + Y * | Thay thế: Y bằng “” sư tử kiwi “"”, sư tử kiwi kiwi sư tử + sư tử kiwi *
“Quy tắc: = Y = Z | Thay thế: Y bằng “” cò blackberry “”, Z bằng “” chuối việt quất “"”, = blackberry cò = chuối việt quất
“Quy tắc: - Z Z * X + | Thay thế: X bằng “” cò “”, Z bằng “” dâu tây “"”, - dâu tây * cò +
“Quy tắc: Z = Y = Z | Thay thế: Y bằng “” chim cánh cụt cò “”, Z bằng “” sư tử dưa hấu “"”, sư tử dưa hấu = chim cánh cụt cò = sư tử dưa hấu
“Quy tắc: Y + * = Y | Thay thế: Y bằng “” ngựa vằn lê “"”, ngựa vằn lê + * = ngựa vằn lê
“Quy tắc: X - Y * Y | Thay thế: X bằng “” sư tử đào “”, Y bằng “” blackberry “"”, sư tử đào - blackberry * blackberry
“Quy tắc: X * - X Z | Thay thế: X bằng “” dưa hấu lê “”, Z bằng “” sư tử đào “"”, dưa hấu lê * - lê dưa hấu đào sư tử
“Quy tắc: * + X Y X | Thay thế: X bằng “” chim cánh cụt “”, Y bởi “” chim cánh cụt “"”, * + chim cánh cụt chim cánh cụt
“Quy tắc: + Z Z = X | Thay thế: X bằng “” ngựa “”, Z bằng “” kiwi đào “"”, + kiwi đào đào kiwi = ngựa
“Quy tắc: Z + X X + | Thay thế: X bằng “” cá voi ngựa vằn “”, Z bằng “” dưa hấu “"”, dưa hấu + cá voi ngựa vằn +
“Quy tắc: X + Z = - | Thay thế: X bằng “" lê "”, Z bằng “" chim cánh cụt trâu ""”, lê + chim cánh cụt trâu = -
“Quy tắc: + Z + Y Y | Thay thế: Y bằng “” cá voi sư tử “”, Z bằng “” đại bàng “"”, + đại bàng + cá voi sư tử
“Quy tắc: X = + Z Y + | Thay thế: X bằng “" dâu ngựa "”, Y bằng “" trâu ngựa vằn "”, Z bằng “" việt quất "”, dâu ngựa = + trâu ngựa vằn việt quất +
“Quy tắc: X X = + X | Thay thế: X bằng “" trâu "”, trâu trâu = + trâu
“Quy tắc: + Z X - Z | Thay thế: X bằng “” cá voi việt quất “”, Z bằng “” chuột “"”, + cá voi chuột việt quất - chuột
“Quy tắc: Y Z + X * - | Thay thế: X bằng “” dâu tây “”, Y bằng “” rắn hổ mang kiwi “”, Z bằng “” chim cánh cụt ngựa vằn “"”, chim cánh cụt vằn rắn hổ mang kiwi + dâu tây * -
“Quy tắc: * Z Z Y - | Thay thế: Y bằng “” ngựa “”, Z bằng “” đại bàng “"”, * đại bàng ngựa -
“Quy tắc: Z + Y - Z | Thay thế: Y bằng “” con dấu nho “”, Z bằng “” cò chuột “"”, cò chuột + con dấu nho - cò chuột
“Quy tắc: X Y + - | Thay thế: X bằng “” sư tử “”, Y bằng “” blueberry blackberry “"”, sư tử việt quất đen + -
“Quy tắc: = X - X - | Thay thế: X bằng “” dưa hấu chuột “"”, = dưa hấu chuột - dưa hấu chuột -
“Quy tắc: - Z Y = | Thay thế: Y bằng “" rắn hổ mang "”, Z bằng “" trâu cá mập "”, - rắn hổ mang trâu cá mập =
“Quy tắc: - Z = X * Y | Thay thế: X bằng “” sư tử “”, Y bằng “” cá voi cá mập “”, Z bằng “” dâu chuối “"”, - chuối dâu = sư tử * cá mập
“Quy tắc: X + Z Y * | Thay thế: X bằng “” đại bàng ngựa “”, Y bằng “” kiwi “”, Z bằng “” dưa hấu việt quất “"”, đại bàng ngựa + dưa hấu việt quất kiwi *
“Quy tắc: Y Y + + + | Thay thế: Y bằng “” táo nho “"”, táo nho táo táo + + +
“Quy tắc: + X X X - | Thay thế: X bằng “” lê “"”, + lê lê lê -
“Quy tắc: Z - Y X + | Thay thế: X bằng “” ngựa vằn lê “”, Y bằng “” cò táo “”, Z bằng “” rắn hổ mang “"”, rắn hổ mang - cò táo lê ngựa vằn +
