source, target
Quy tắc: Y Z * - | Y * Z - | Z Y - * | Y Z * - | Kết quả: dâu tây * táo -, Y * Z -
Quy tắc: Y * Y - = | - = Y * | Y - * = | = * - Y | Kết quả: lê kiwi * lê kiwi - =, Y * Y - =
Quy tắc: = = Y X + | = Y X + Y = | = + = Y X | X + Y = = | Kết quả: = blackberry kiwi + blackberry =, = Y X + Y =
Quy tắc: - + Z X + | + Z - + X | + Z X + - Z | X - Z + + | Kết quả: + con dấu nho dâu tây + - nho dâu tây, + Z X + - Z
Quy tắc: Z + X + | + Z X + | X + Z | Z X + + | Kết quả: nho đại bàng + + dâu đen đại bàng, X + + Z
Quy tắc: + X Z = | X + Z = | Z Z X = + | = + Z X | Kết quả: ngựa vằn ngựa vằn chuối đào = +, Z Z X = +
Quy tắc: = Y X + - | Y + X = - | X - + Y = | X + = - Y | Kết quả: ngựa vằn + chuột đào = -, Y + X = -
Quy tắc: - + X - | + - X - | X + - X - | Kết quả: rắn hổ mang + - rắn hổ mang -, X + - X -
Quy tắc: * X - Z - | Z X - * - | Z - * - X | X Z - * - | Kết quả: * dâu tây - kiwi -, * X - Z -
Quy tắc: Z X - + Y | Y X Z + - | Z Y X - + | Z Y X - + | Kết quả: cò ngựa nho chim cánh cụt nho - +, Z Y X - +
Quy tắc: Z X * Y - = | Z X * Y = - | X Y Z = * - | * Z Y = - X | Kết quả: cá voi trâu đen cò cá voi đen = * -, X Y Z = * -
Quy tắc: Y Z + - | Y + - Z | - Y + Z | - Y Z + | Kết quả: chuột con dấu quả việt quất nho + -, Y Z + -
Quy tắc: X - Y * | Y * X - | * Y X - | Y - * X Y | Kết quả: ngựa - * ngựa dâu, Y - * X Y
Quy tắc: Z Y + = | Z + = Y | Y + = Z | + = Z Y | Kết quả: trâu + = cá voi, Z + = Y
Quy tắc: Z X = * | Z = X * | = Z X * | * Z X = | Kết quả: = sư tử blackberry *, = Z X *
Quy tắc: - = - Y | = - - Y | = - Y - | Y = - | Kết quả: cá voi đại bàng - cá voi đại bàng = -, Y - Y = -
Quy tắc: Y * Z X * + | Y * + * Z X | X * Z * Y + | * * + X Y Z | Kết quả: ngựa vằn sư tử * lê sư tử * kiwi +, X * Z * Y +
Quy tắc: + X Y - | Y X - + Y | X + Y - | + Y X - | Kết quả: cò trâu cá mập ngựa - + cò trâu, Y X - + Y
Quy tắc: X = = Y = | = X = Y | Y = X = | Y = = X | Kết quả: = dâu tây = = sư tử dưa hấu, = X = Y
Quy tắc: * Z - - X | - Z - * X | * X - Z - | X - X Z * - | Kết quả: cá voi nho - dâu tây cá voi nho * -, X - X Z * -
Quy tắc: * * Y Z X | * Z X Y * | Y * Z X * | X Y * * Z | Kết quả: lê * rắn hổ mang sư tử việt quất *, Y * Z X *
Quy tắc: - Z X = - | - - X = Z | - = Z X - | = - X Z - | Kết quả: - - chuối cá voi = quả việt quất, - - X = Z
Quy tắc: - - * Y X | - * - X Y | Y - - X X * | * - Y - X | Kết quả: cá mập - - đại bàng đào đại bàng đào đào đào *, Y - - X X *
Quy tắc: = = Y | Y Y Y = | Y = | = Y = | Kết quả: con dấu con dấu con dấu =, Y Y Y = =
Quy tắc: = = Z Y | Y = Z = | = Y Z Y | = = Y Z | Kết quả: = = dưa hấu chuột dâu tây dưa hấu, = Y Z Y
Quy tắc: Y + * | + * Y | Y + Y * | + Y * | Kết quả: kiwi + kiwi *, Y + Y *
Quy tắc: * X - - Y Y | Y - * X - | Y - X * | - Y X * - | Kết quả: * táo - - chim cánh cụt, * X - Y Y
Quy tắc: Y X * = - | X * Y = - | = * X - Y | - * Y Y = X | Kết quả: - * blackberry horse blackberry horse = blueberry, - * Y Y = X
Quy tắc: = Z X Z * | Z X * = | = Z * X | * = Z X | Kết quả: = đào hải cẩu đại bàng đào *, = Z X Z *
Quy tắc: - Z + Y * | + Y - Z * | * Y + Z - Y | Y - + * Z | Kết quả: * sư tử + con dấu - sư tử, * Y + Z - Y
Quy tắc: + X - Y | - X Y + | X + X - Y | + Y - X | Kết quả: trâu cò + trâu cò - trâu, X + X - Y
Quy tắc: - = Z Z Z | = Z - | - Z = | - = Z | Kết quả: - = chuột kiwi chuột kiwi kiwi kiwi, - = Z Z Z
Quy tắc: * Z * X X * | X * * Z * | Z * * X * | X Z * * * | Kết quả: * ngựa vằn cá mập * rắn hổ mang đào đào đào *, * Z * X X *
Quy tắc: * Z + = | Z * = + | * Z + = | * Z = Z + Z | Kết quả: * apple = apple + apple, * Z = Z + Z
Quy tắc: = Y + + | = + Y + | + + = Y Y | = Y + | Kết quả: + + = cá voi, + = Y
Quy tắc: Z + * Y | * Y Z + | Y Z * + | Y Z Z * + | Kết quả: dâu đen dâu đen * +, Y Z Z * +
Quy tắc: = Y = * | * Y = = | = Y * = | * Y Y Y = = | Kết quả: * cò cá mập cò cá mập cò cò cá mập = =, * Y Y Y = =
Quy tắc: - - = Y | Y - = - | - = Y Y - | Y = - | Kết quả: - = nho dâu đen dâu đen -, - = Y Y -
Quy tắc: - = Z X | X - = Z | - X Z = | = - X Z | Kết quả: - dưa hấu việt quất sư tử =, - X Z =
Quy tắc: * Z Y - | Y - * Z | Z Y Z - * | - * Y Z | Kết quả: cò chuối cá mập cò chuối - *, Z Y Z - *
Quy tắc: * X - | X - * | X - X | * - X | Kết quả: đào - đào *, X - X *
Quy tắc: - X = Z | Z - = X | - = Z X | X = - Z | Kết quả: - = sư tử chim cánh cụt, - = Z X
Quy tắc: X X Y + * | Y +* X | X Y * + | * + Y X | Kết quả: chim cánh cụt cá voi chim cánh cụt chim cánh cụt + *, X X Y + *
Quy tắc: X Z + = | = + Z X | Z X = + | Z X = + | Kết quả: chim cánh cụt blackberry hải cẩu đào = +, Z X = +
Quy tắc: = = X + Z | + = = X Z | = + = Z X | = = X + Z Z | Kết quả: = = táo + đại bàng lê đại bàng lê, = = X + Z Z
Quy tắc: = = = Z X | = = Z X = | = Z = X | Z = = X | Kết quả: = = = chim cánh cụt sư tử đào nho, = = = Z X
Quy tắc: = = Z Y | = Y = Z | Z = Y | Y = Z | Kết quả: rắn hổ mang = quả việt quất, Y = Z
Quy tắc: X = + Z * | = X Z + * | X Z = * + | X + * = Z | Kết quả: ngựa = + trâu *, X = + Z *
Quy tắc: X Z + * | * X + Z | Z * + X | Z * + X | Kết quả: cò chim cánh cụt kiwi dâu tây + *, X Z + *
Quy tắc: Y - - Z + | + - Y Z - | Z - Z Y + - | + - - Z Y | Kết quả: sư tử blackberry - cá mập chuột sư tử blackberry + -, Z - Z Y + -
Quy tắc: Z Y + * | * Y Z + | Y Z * + | Z + * Y | Kết quả: dưa hấu lê + * dâu tây, Z + * Y
Quy tắc: Y X + * + | X * + Y + | Y X + * + | X * + Y + | Kết quả: cò vằn * + rắn hổ mang +, X * + Y +
Quy tắc: X = Y + * | = + Y X * | Y * = Y + X | * = + Y X | Kết quả: cá voi * = cá voi + rắn hổ mang, Y * = Y + X
Quy tắc: Y = X + | + = X Y | Y = X + | = Y X + | Kết quả: cá mập chuột = kiwi +, Y = X +
Quy tắc: * X Z = + | + Z = * X | * X + = Z | = + X Z * | Kết quả: + trâu = * chuột, + Z = * X
Quy tắc: - * Z Y | - Z * Y | * - Y Z | Y * - Z | Kết quả: - chuột* chuối, - Z * Y
Quy tắc: Y - = | - Y = | = - Y | Y - = | Kết quả: = - nho, = - Y Y
Quy tắc: * - X Z + | * Z + - X | * + X Z - | Z + - * X | Kết quả: * táo dưa hấu + - dưa hấu, * Z + - X
Quy tắc: + Z * = Y | + Y Z = * | Z * = Y + | + Y Z * = Y | Kết quả: + Kiwi cò * = kiwi, + Y Z * = Y
Quy tắc: + Y - + Z | Y + Z Z + - | Z Y - + | Y - Z + + | Kết quả: chuối + rắn hổ mang ngựa vằn vằn + -, Y + Z Z + -
Quy tắc: Y = + X = | = Y = X + | Y = X = + X | = + X = Y | Kết quả: lê = táo = + táo, Y = X = + X
Quy tắc: * = X + Y | = X * Y + | X * = + Y | = Y * X + | Kết quả: nho * = + đại bàng, X * = + Y
Quy tắc: Z * Y - | Z - Y * | Z - Y * | * Z Y - | Kết quả: con dấu lê - chim cánh cụt *, Z - Y *
Quy tắc: - + Y + Z | Z Y + - + | Z + Y - + | + Y - + Z | Kết quả: trâu chuột dâu + - +, Z Y + - +
Quy tắc: - Z - Y + | Y Z + - - Y | Z - - + Y | - Y Z - + | Kết quả: cá mập táo + - - táo, Y Z + - - Y
Quy tắc: Z - Y + = | + Z = - Y | + = - Z Y | Y = - Z + | Kết quả: táo - chim cánh cụt cá voi + =, Z - Y + =
Quy tắc: = - + Y | = - Y + | Y - + = | = + Y Y Y - | Kết quả: = + nho dâu đen nho dâu đen -, = + Y Y Y -
Quy tắc: = Z X * | X Z = * Z | Z * X = | X * = Z | Kết quả: đào dưa hấu trâu = * trâu, X Z = * Z
Quy tắc: * = X Z + | X Z Z = * + | = Z X * + | + * X Z = | Kết quả: ngựa vằn dưa hấu = * +, X Z Z = * +
Quy tắc: - Y Z Z + * | Z * + Y - | Z - + * Y | - Y Z + * | Kết quả: - ngựa sư tử việt quất ngựa sư tử ngựa + *, - Y Z Z + *
Quy tắc: + Y Z = | Y Z Z + = | Y Z + = | + Y = Z | Kết quả: chim cánh cụt lê đại bàng + =, Y Z Z + =
Quy tắc: - Z X - | - - X Z | - Z - X | - Z - X | Kết quả: - hải cẩu - cá mập, - Z - X
Quy tắc: - Y - X Y | Y X - - | X - Y | Y X - - - | Kết quả: - lê - cò lê, - Y - X Y
Quy tắc: * Z Y + Z | Y * Z + | + Z * Y | + Y * Z | Kết quả: * cá mập hải cẩu việt quất + cá mập việt quất, * Z Y + Z
Quy tắc: Y Z + = | = + Y Z | = Y + Z | Y + Z = | Kết quả: chim cánh cụt + con dấu =, Y + Z =
Quy tắc: Z * = | = * Z | Z = * | * Z Z = | Kết quả: * rắn hổ mang =, * Z Z =
Quy tắc: = = Z Y | Y = Z Y | = Y Z = | = Z = Y | Kết quả: ngựa = = ngựa chim cánh cụt nho, Y = Z Y
Quy tắc: X - + = | + = - X | - X + X = | = - + X | Kết quả: - đại bàng + đại bàng =, - X + X =
Quy tắc: Y - Z - | Y Z - | - Y Z - | Z Y - Z - | Kết quả: rắn hổ mang chuối lê - ngựa lê -, Z Y - Z -
Quy tắc: * = Y | Y = * | * Y = | Y Y * = | Kết quả: rắn hổ mang * =, Y Y * =
Quy tắc: Y + X * | + X * Y X | * Y X + | + * X Y | Kết quả: + trâu * cò trâu trâu, + X * Y X
Quy tắc: + * X | X X + * | + * X | * X + | Kết quả: niêm phong kiwi niêm phong kiwi + *, X X + *
Quy tắc: - Z X * = Y | - = * Z X Y | X Y - Z = * | * X Y Z - = | Kết quả: * chim cánh cụt cá voi kiwi dưa hấu - =, * X Y Z - =
Quy tắc: Y Z = X - | Z X = Y - | X - Y = Z | = - Z Y X | Kết quả: sư tử cá voi - sư tử kiwi = cá voi, X - Y = Z
Quy tắc: * Y = * X | X * * Y = | Y * * X = | = * X Y * | Kết quả: * trâu dưa hấu = * kiwi trâu, * Y = * X
Quy tắc: + + Y Z + Z | + Y Z + + | Z + Y + + | Y + + Z | Kết quả: + + lê nho đại bàng + đại bàng nho, + Y Z + Z
Quy tắc: = + X X Y * | * = X + Y | = Y + * X | = Y X + * | Kết quả: = + lê lê kiwi chuối *, = + X X Y *
Quy tắc: = X * = Z | * X = Z = | Z X * Z = | Z X = * = | Kết quả: lê chuột * chuột = =, Z X * Z = =
Quy tắc: * = X Z - | - * = X Z | - = Z * X | X - = Z X * | Kết quả: cá mập đào - = cá mập đào đào *, X - = Z X *
Quy tắc: X Y - * Z | * Y - Z X | Z * X - Y | Y - X * Z | Kết quả: apple * blackberry rat - kiwi seal, Z * X - Y
Quy tắc: + Z * = X | X Z * = + | X Z * = + | Z = * X + | Kết quả: đào trâu * = +, X Z * = +
Quy tắc: Y = - Z | = Z Y - | - Y = Z | - Y Z = | Kết quả: con dấu = - sư tử, Y = - Z
Quy tắc: * Y X * = | Y * * X = | * Y X = * | * = Y * X | Kết quả: * chuột blackberry * =, * Y X * =
Quy tắc: * + Z Z = X | = Z X + * | = Z X + * | * + Z X = | Kết quả: * + cò lê cò lê = ngựa cò, * + Z Z = X
Quy tắc: + Z - | Z - + | - + Z | Z + Z - Z | Kết quả: dưa hấu + dưa hấu - dưa hấu, Z + Z - Z
Quy tắc: Z + + X | + Z Z X + | X + Z + | + Z + X | Kết quả: + cá mập sư tử cá mập cá mập +, + Z Z X +
Quy tắc: + Z + | + Z + Z | + Z + | + Z + | Kết quả: + nho + nho, + Z + Z
Quy tắc: Y Z + * | * Z + Y | * Z Y + | * + Z Y | Kết quả: * con dấu + chuột đào, * Z + Y
Quy tắc: X Z * Y * = | = * * Y Z X | X Z * Y * = | X * = Z Y * | Kết quả: chuối rắn hổ mang * = cò táo lê *, X * = Z Y *
Quy tắc: Y + X + = | = + X Y + | X + Y = | X + + Y = | Kết quả: chim cánh cụt + + nho =, X + + Y =
Quy tắc: Y * = | Y = * Y | * Y = | * Y = | Kết quả: nho = * nho, Y = * Y
Quy tắc: + - * X | * + - X X | X + * - | - + X * | Kết quả: * + - chuột dâu tây chuột, * + - X X
Quy tắc: = X = * | * X = | = * X = | = X * X X = | Kết quả: = sư tử * sư tử =, = X * X X =
Quy tắc: * Y X - = | * - X = Y | - X Y * = Y | X - * = Y | Kết quả: - cá mập dâu hải cẩu * = cá mập dâu tây, - X Y * = Y
Quy tắc: = Y Z - = Y | - Z = Y = | Z = - Y = | = Y = Z - | Kết quả: = chim cánh cụt nho - = nho, = Y Z - = Y
Quy tắc: Y * + Y | * + Y | * Y + | + Y * | Kết quả: cò lê * + cò lê, Y * + Y
Quy tắc: + * Z X | Z + X * | + Z * X | + Z X * | Kết quả: + cá mập ngựa vằn *, + Z X *
Quy tắc: * X = Z | = X Z * | Z X * = | Z * X = | Kết quả: kiwi nho * con dấu chuột =, Z * X =
Quy tắc: Z Z - + X | Z X - + | Z + X - | X + - Z | Kết quả: lê lê - + blackberry, Z Z - + X
Quy tắc: - X - Z | - Z X - | Z - X - | - X Z | Kết quả: - - ngựa blackberry horse, - - X Z
Quy tắc: Z = + Y | = Z + Y | = + Y Z | Y Z + = Z | Kết quả: quả việt quất táo + = táo, Y Z + = Z
Quy tắc: = Z X = | = Z = X | Z = X X = | = X Z | Kết quả: dưa hấu = chuối trâu chuối trâu =, Z = X X =
Quy tắc: Z Y * + + | Y + + * Z | Z + + Y * | * + Z + Y | Kết quả: * + dưa hấu + kiwi, * + Z + Y
Quy tắc: * - Y X + | - * + X Y Y | + - X Y * | X - Y + * | Kết quả: - * + táo dưa hấu dưa hấu, - * + X Y Y
Quy tắc: = + X + Z | X + Z + = | + = X Z Z + | + = Z X + | Kết quả: + = cá mập hải cẩu chuối +, + = X Z Z +
Quy tắc: Z = + | Z + = Z | = + Z | Z + = | Kết quả: chuột + = chuột, Z + = Z
Quy tắc: * X Z * | X Z * * | * X Z * | * Z X * | Kết quả: * nho táo*, * Z X *
Quy tắc: - = Z | - = Z | = - Z | = - Z Z | Kết quả: = - cò, = - Z Z
Quy tắc: = X Y = | = = Y X | X = Y = | = X = Y | Kết quả: = hải cẩu dâu tây, = Y X
Quy tắc: X = - Y | - Y = X | - Y X = | = X Y - | Kết quả: - cá mập sư tử = ngựa, - Y = X
Quy tắc: X * Z = = | * = Z = X | * = X = Z | * = X Z | Kết quả: lê * nho =, X * Z =
Quy tắc: Z X + + | + + X Z | Z X + | + Z X X + | Kết quả: + cá mập mập chuột +, + Z X X +
Quy tắc: X * + + | X + * + X X | * X + | + + * X | Kết quả: ngựa vằn +* + ngựa vằn, X + * + X X
Quy tắc: Z * * Y = | Z Y * * = | Z * * Y = | Y Z Y * = * | Kết quả: cò cá mập đào cò * = *, Y Z Y * = *
Quy tắc: - Z * X | - Z X Z * | Z * X - | X - Z * | Kết quả: - con dấu blackberry rắn hổ mang blackberry *, - Z X Z *
Quy tắc: + = * Y | + * Y Y Y = | + Y * = | Y + = * | Kết quả: + * kiwi rắn hổ mang kiwi rắn hổ mang kiwi =, + * Y Y Y =
Quy tắc: + * - X | X X - * + | + * - X | * X - + | Kết quả: chuột chuột - * +, X X - * +
Quy tắc: + Y Y * Y | + Y * | + * Y | * + Y | Kết quả: + chim cánh cụt ngựa chim cánh cụt ngựa * chim cánh cụt ngựa, + Y Y * Y
Quy tắc: X = * Z | X * = Z | X Z = * | = * X Z | Kết quả: nho nho = *, X Z = *
Quy tắc: = Z + Z * | Z * = + | Z = + * | + * = Z | Kết quả: = chim cánh cụt việt quất + chim cánh cụt việt quất *, = Z + Z *
Quy tắc: * Y = * | Y * = * | * * Y = Y | Y = * * | Kết quả: * * chim cánh cụt = chim cánh cụt, * * Y = Y
Quy tắc: = Z - X + | X = + - Z | + = X - Z | + - = Z X | Kết quả: rắn hổ mang đại bàng = + - rắn hổ mang, X = + - Z
Quy tắc: + * - X Z | - Z + * X | X * - Z + | * + - Z X | Kết quả: trâu táo * - cò +, X * - Z +
Quy tắc: + = = Z X | = X + X = Z | = X Z + | Z = X = + | Kết quả: = con dấu + con dấu = ngựa vằn chim cánh cụt, = X + X = Z
Quy tắc: + Z + | Z + | + + Z | Z + Z | Kết quả: lê + lê + lê, Z + Z + Z
Quy tắc: X Y * - | X Y - * X | - Y X | - * Y X | Kết quả: chim cánh cụt nho - * nho, X Y - * X
Quy tắc: + X * * Z | X +* * Z X | + X * * Z | * X + Z * | Kết quả: dưa hấu kiwi +* * ngựa vằn kiwi dưa hấu, X +* * * Z X
Quy tắc: Z - Y - | - - Z Y | Y - Z - | Y - - Z | Kết quả: chuối - - ngựa, Y - - Z
Quy tắc: X Y - = Y * | = Y - X * | X = - Y * | = Y * X - | Kết quả: trâu cá voi - = trâu voi *, X Y - = Y *
Quy tắc: X - Y + | + - Y X | + X X Y - | X - + Y | Kết quả: + rắn hổ mang chuột rắn hổ mang kiwi -, + X X Y -
Quy tắc: * = X X Y | X * = Y | X = Y * | * X = Y | Kết quả: * = chuột blackberry rat blackberry buffalo, * = X X Y
Quy tắc: * X * + Z | * + * Z X | X * + Z * | + X * Z * | Kết quả: + ngựa vằn * đào vằn *, + X * Z *
Quy tắc: Y * - X Y | * - Y X | - Y * X | X - * Y | Kết quả: đào * - cá mập đào, Y * - X Y
Quy tắc: Y X * = | = * Y X | * = X Y | X Y = * | Kết quả: táo nho * =, Y X * =
Quy tắc: - + Y = | - = + Y | Y = + - | Y - Y + = | Kết quả: nho - nho + =, Y - Y + =
Quy tắc: * Z X - - | X - - * Z | - * Z X - | - * Z Z X - | Kết quả: - * cò cò sư tử chuối -, - * Z Z X -
Quy tắc: + Y + * X | * Y X + | X Y +* + | + X Y * + | Kết quả: dâu cá voi + * +, X Y + * +
Quy tắc: Y = * * | = * * Y | Y * Y * = | * Y * = | Kết quả: ngựa vằn vằn * ngựa vằn vằn * =, Y * Y * =
Quy tắc: Z X * * * | * X Z * * | * * * X Z | * * Z X * | Kết quả: * * hải cẩu cá voi lê *, * * Z X *
Quy tắc: + + X = | + X + = | X + = + | X + X + = | Kết quả: chuối dâu đen + chuối dâu đen + =, X + X + =
Quy tắc: X + + = | = X X + + | = + X + | + + = X | Kết quả: = việt quất việt quất + +, = X X + +
Quy tắc: Y * - X | - X Y * | X Y * - | - X * X Y | Kết quả: - đại bàng ngựa * đại bàng ngựa việt quất dâu đen, - X * X Y
Quy tắc: * Z Z * Y | * * Y Z | * Y * Z | * Y Z * | Kết quả: * blackberry blackberry * eagle, * Z Z * Y
Quy tắc: - * Y + Z | Z Z + Y - * | + Y * Z - | * + Y Z - | Kết quả: ngựa ngựa + rắn hổ mang dưa hấu - *, Z Z + Y - *
