source,target
"Rules: * Y - * X Z | Substitutions: X by "" shark "" , Y by "" stork "" , Z by "" stork """,* stork - * shark stork
"Rules: Y + Z - | Substitutions: Y by "" lion "" , Z by "" stork peach """,lion + stork peach -
"Rules: Y = + Y X | Substitutions: X by "" apple "" , Y by "" stork eagle """,stork eagle = + stork eagle apple
"Rules: * X - = X Z | Substitutions: X by "" strawberry watermelon "" , Z by "" blackberry whale """,* strawberry watermelon - = strawberry watermelon blackberry whale
"Rules: X + = Z | Substitutions: X by "" blueberry "" , Z by "" grape """,blueberry + = grape
"Rules: X = + X - | Substitutions: X by "" apple """,apple = + apple -
"Rules: - Z - - X | Substitutions: X by "" buffalo "" , Z by "" pear """,- pear - - buffalo
"Rules: = Y Y * | Substitutions: Y by "" lion """,= lion lion *
"Rules: - X X Y - | Substitutions: X by "" watermelon "" , Y by "" blackberry watermelon """,- watermelon watermelon blackberry watermelon -
"Rules: * + Z X | Substitutions: X by "" blackberry "" , Z by "" cobra """,* + cobra blackberry
"Rules: + X * Z * Z | Substitutions: X by "" shark "" , Z by "" watermelon cobra """,+ shark * watermelon cobra * watermelon cobra
"Rules: Z X * - Y | Substitutions: X by "" kiwi peach "" , Y by "" penguin rat "" , Z by "" apple """,apple kiwi peach * - penguin rat
"Rules: Y Y = + - | Substitutions: Y by "" apple """,apple apple = + -
"Rules: Z Y - - | Substitutions: Y by "" eagle "" , Z by "" lion """,lion eagle - -
"Rules: = Y = X X | Substitutions: X by "" blackberry "" , Y by "" watermelon horse """,= watermelon horse = blackberry blackberry
"Rules: = * Z Z Y * | Substitutions: Y by "" banana apple "" , Z by "" whale strawberry """,= * whale strawberry whale strawberry banana apple *
"Rules: Z * = Z + | Substitutions: Z by "" watermelon apple """,watermelon apple * = watermelon apple +
"Rules: + Y Y - Y | Substitutions: Y by "" shark buffalo """,+ shark buffalo shark buffalo - shark buffalo
"Rules: * X + X Z | Substitutions: X by "" strawberry "" , Z by "" stork """,* strawberry + strawberry stork
"Rules: * = Y X | Substitutions: X by "" strawberry "" , Y by "" stork """,* = stork strawberry
"Rules: X + Z - = | Substitutions: X by "" horse shark "" , Z by "" peach """,horse shark + peach - =
"Rules: X * Z = = | Substitutions: X by "" banana "" , Z by "" strawberry """,banana * strawberry = =
"Rules: + + X X X | Substitutions: X by "" apple banana """,+ + apple banana apple banana apple banana
"Rules: * Y - - X | Substitutions: X by "" banana "" , Y by "" pear """,* pear - - banana
"Rules: * Z + Z = | Substitutions: Z by "" watermelon """,* watermelon + watermelon =
"Rules: * Z = Z = | Substitutions: Z by "" stork """,* stork = stork =
"Rules: - + X Y X | Substitutions: X by "" penguin "" , Y by "" penguin """,- + penguin penguin penguin
"Rules: Z - Z - * | Substitutions: Z by "" kiwi blueberry """,kiwi blueberry - kiwi blueberry - *
"Rules: - - Y X X - | Substitutions: X by "" buffalo eagle "" , Y by "" blackberry blueberry """,- - blackberry blueberry buffalo eagle buffalo eagle -
"Rules: Y * X = Z | Substitutions: X by "" banana zebra "" , Y by "" shark "" , Z by "" shark """,shark * banana zebra = shark
"Rules: Z Z Y = = | Substitutions: Y by "" peach "" , Z by "" kiwi """,kiwi kiwi peach = =
"Rules: + X X = | Substitutions: X by "" kiwi """,+ kiwi kiwi =
"Rules: - Y Y - + | Substitutions: Y by "" blackberry """,- blackberry blackberry - +
"Rules: X - X + = | Substitutions: X by "" shark """,shark - shark + =
"Rules: Y + - Y | Substitutions: Y by "" shark """,shark + - shark
"Rules: - + Z Z X | Substitutions: X by "" shark "" , Z by "" blueberry whale """,- + blueberry whale blueberry whale shark
"Rules: - Z Y Z - - | Substitutions: Y by "" shark "" , Z by "" grape strawberry """,- grape strawberry shark grape strawberry - -
"Rules: Y Y * - | Substitutions: Y by "" seal blueberry """,seal blueberry seal blueberry * -
"Rules: + - Z Y Z | Substitutions: Y by "" peach apple "" , Z by "" pear """,+ - pear peach apple pear
"Rules: Y Y - - Z * | Substitutions: Y by "" blackberry peach "" , Z by "" zebra banana """,blackberry peach blackberry peach - - zebra banana *
"Rules: = Z = X * | Substitutions: X by "" kiwi shark "" , Z by "" eagle horse """,= eagle horse = kiwi shark *
"Rules: Z + Z = | Substitutions: Z by "" eagle zebra """,eagle zebra + eagle zebra =
"Rules: - Y Z Z + = | Substitutions: Y by "" grape "" , Z by "" kiwi """,- grape kiwi kiwi + =
"Rules: = = Z X Y | Substitutions: X by "" buffalo seal "" , Y by "" rat lion "" , Z by "" seal blackberry """,= = seal blackberry buffalo seal rat lion
"Rules: X = Y = * X | Substitutions: X by "" grape "" , Y by "" blackberry """,grape = blackberry = * grape
"Rules: Y + * - Z | Substitutions: Y by "" horse "" , Z by "" seal """,horse + * - seal
"Rules: Y - - * Z Z | Substitutions: Y by "" lion "" , Z by "" lion zebra """,lion - - * lion zebra lion zebra
"Rules: Y * X + X | Substitutions: X by "" stork stork "" , Y by "" strawberry """,strawberry * stork stork + stork stork
"Rules: Z * Y X * | Substitutions: X by "" cobra cobra "" , Y by "" rat banana "" , Z by "" cobra banana """,cobra banana * rat banana cobra cobra *
"Rules: X Z - * | Substitutions: X by "" rat kiwi "" , Z by "" apple """,rat kiwi apple - *
"Rules: = + + Z X X | Substitutions: X by "" stork seal "" , Z by "" blackberry apple """,= + + blackberry apple stork seal stork seal
"Rules: * X X = - Y | Substitutions: X by "" eagle "" , Y by "" buffalo buffalo """,* eagle eagle = - buffalo buffalo
"Rules: + Z Y - | Substitutions: Y by "" grape kiwi "" , Z by "" eagle """,+ eagle grape kiwi -
"Rules: Z * - Y Y | Substitutions: Y by "" lion "" , Z by "" horse peach """,horse peach * - lion lion
"Rules: * * X X - X | Substitutions: X by "" watermelon """,* * watermelon watermelon - watermelon
"Rules: * X * X - | Substitutions: X by "" grape cobra """,* grape cobra * grape cobra -
"Rules: X - - Y | Substitutions: X by "" banana apple "" , Y by "" eagle """,banana apple - - eagle
"Rules: Z Y * X * | Substitutions: X by "" seal "" , Y by "" buffalo stork "" , Z by "" watermelon lion """,watermelon lion buffalo stork * seal *
"Rules: - - Y * Y Y | Substitutions: Y by "" seal cobra """,- - seal cobra * seal cobra seal cobra
"Rules: Y + * - Z | Substitutions: Y by "" strawberry blackberry "" , Z by "" shark blackberry """,strawberry blackberry + * - shark blackberry
"Rules: Y + Y - * | Substitutions: Y by "" kiwi """,kiwi + kiwi - *
"Rules: = - X Y = Z | Substitutions: X by "" rat "" , Y by "" rat "" , Z by "" kiwi """,= - rat rat = kiwi
"Rules: = Z * Y | Substitutions: Y by "" horse "" , Z by "" strawberry cobra """,= strawberry cobra * horse
"Rules: * Z - - Y Y | Substitutions: Y by "" shark "" , Z by "" whale """,* whale - - shark shark
"Rules: Y Z = X = + | Substitutions: X by "" blueberry "" , Y by "" penguin buffalo "" , Z by "" whale """,penguin buffalo whale = blueberry = +
"Rules: = Y * X | Substitutions: X by "" pear "" , Y by "" banana """,= banana * pear
"Rules: Y = Y + - X | Substitutions: X by "" penguin "" , Y by "" horse """,horse = horse + - penguin
"Rules: Y X = Y + | Substitutions: X by "" rat strawberry "" , Y by "" penguin """,penguin rat strawberry = penguin +
"Rules: Z + - - X Z | Substitutions: X by "" peach seal "" , Z by "" buffalo seal """,buffalo seal + - - peach seal buffalo seal
"Rules: + Z Y + Y + | Substitutions: Y by "" grape "" , Z by "" peach shark """,+ peach shark grape + grape +
"Rules: * Z Y = - Y | Substitutions: Y by "" grape "" , Z by "" blueberry peach """,* blueberry peach grape = - grape
"Rules: X Z * * | Substitutions: X by "" grape blackberry "" , Z by "" seal """,grape blackberry seal * *
"Rules: Y + Y - = X | Substitutions: X by "" peach lion "" , Y by "" buffalo """,buffalo + buffalo - = peach lion
"Rules: = Y Z Z - | Substitutions: Y by "" lion "" , Z by "" buffalo pear """,= lion buffalo pear buffalo pear -
"Rules: Y Z X + + | Substitutions: X by "" apple rat "" , Y by "" apple "" , Z by "" rat """,apple rat apple rat + +
"Rules: * * Y Z | Substitutions: Y by "" eagle watermelon "" , Z by "" lion """,* * eagle watermelon lion
"Rules: * + Y Y | Substitutions: Y by "" whale """,* + whale whale
"Rules: * = Z - X | Substitutions: X by "" horse "" , Z by "" watermelon """,* = watermelon - horse
"Rules: Z - - X | Substitutions: X by "" pear "" , Z by "" grape """,grape - - pear
"Rules: Z X = + Y | Substitutions: X by "" stork kiwi "" , Y by "" blueberry "" , Z by "" peach grape """,peach grape stork kiwi = + blueberry
"Rules: - * Z Y + Z | Substitutions: Y by "" apple peach "" , Z by "" eagle """,- * eagle apple peach + eagle
"Rules: = X X Z - + | Substitutions: X by "" stork "" , Z by "" banana """,= stork stork banana - +
"Rules: - Y Y = | Substitutions: Y by "" kiwi """,- kiwi kiwi =
"Rules: Y Y Z + * * | Substitutions: Y by "" apple peach "" , Z by "" zebra zebra """,apple peach apple peach zebra zebra + * *
"Rules: Z Z X * + | Substitutions: X by "" shark "" , Z by "" cobra seal """,cobra seal cobra seal shark * +
"Rules: * Z Y + | Substitutions: Y by "" horse "" , Z by "" lion """,* lion horse +
"Rules: Y - * X | Substitutions: X by "" seal shark "" , Y by "" peach stork """,peach stork - * seal shark
"Rules: + Y - X - X | Substitutions: X by "" rat "" , Y by "" shark apple """,+ shark apple - rat - rat
"Rules: Z + X = = | Substitutions: X by "" cobra apple "" , Z by "" kiwi """,kiwi + cobra apple = =
"Rules: - X * Z - | Substitutions: X by "" horse "" , Z by "" watermelon kiwi """,- horse * watermelon kiwi -
"Rules: = Y Y - Y = | Substitutions: Y by "" buffalo lion """,= buffalo lion buffalo lion - buffalo lion =
"Rules: * = X = X | Substitutions: X by "" whale """,* = whale = whale
"Rules: = X Y = Y | Substitutions: X by "" penguin "" , Y by "" pear watermelon """,= penguin pear watermelon = pear watermelon
"Rules: - Y * = Y | Substitutions: Y by "" apple """,- apple * = apple
"Rules: Z Z = * | Substitutions: Z by "" pear lion """,pear lion pear lion = *
"Rules: Z * + Y | Substitutions: Y by "" kiwi strawberry "" , Z by "" cobra """,cobra * + kiwi strawberry
"Rules: X Z = Z - | Substitutions: X by "" shark penguin "" , Z by "" penguin seal """,shark penguin penguin seal = penguin seal -
"Rules: Z Y = X * * | Substitutions: X by "" seal "" , Y by "" eagle "" , Z by "" blueberry """,blueberry eagle = seal * *
"Rules: - Z Z * Z | Substitutions: Z by "" peach rat """,- peach rat peach rat * peach rat
"Rules: X X - * Z + | Substitutions: X by "" apple "" , Z by "" pear penguin """,apple apple - * pear penguin +
"Rules: = X X = | Substitutions: X by "" apple """,= apple apple =
"Rules: - = Y Y | Substitutions: Y by "" stork """,- = stork stork
"Rules: X - Z X - | Substitutions: X by "" grape "" , Z by "" banana cobra """,grape - banana cobra grape -
"Rules: Y + + = Z X | Substitutions: X by "" eagle penguin "" , Y by "" cobra "" , Z by "" shark """,cobra + + = shark eagle penguin
"Rules: - + Z Z Z | Substitutions: Z by "" cobra apple """,- + cobra apple cobra apple cobra apple
"Rules: Y = Y + | Substitutions: Y by "" grape """,grape = grape +
"Rules: Z + - Z - | Substitutions: Z by "" banana """,banana + - banana -
"Rules: * Z = + X | Substitutions: X by "" kiwi pear "" , Z by "" stork """,* stork = + kiwi pear
"Rules: Z X X * * = | Substitutions: X by "" buffalo "" , Z by "" shark apple """,shark apple buffalo buffalo * * =
"Rules: = Y Z Z + | Substitutions: Y by "" shark "" , Z by "" penguin """,= shark penguin penguin +
"Rules: X X + * = | Substitutions: X by "" whale pear """,whale pear whale pear + * =
"Rules: = Z Z + | Substitutions: Z by "" peach shark """,= peach shark peach shark +
"Rules: Z + Z = * Z | Substitutions: Z by "" lion peach """,lion peach + lion peach = * lion peach
"Rules: - Z - Z = Z | Substitutions: Z by "" cobra """,- cobra - cobra = cobra
"Rules: Z Y = - * | Substitutions: Y by "" whale "" , Z by "" horse """,horse whale = - *
"Rules: - X Y - Y | Substitutions: X by "" kiwi "" , Y by "" blueberry """,- kiwi blueberry - blueberry
"Rules: - + X Z + Y | Substitutions: X by "" lion eagle "" , Y by "" buffalo horse "" , Z by "" peach """,- + lion eagle peach + buffalo horse
"Rules: = Y X - - Y | Substitutions: X by "" strawberry "" , Y by "" grape """,= grape strawberry - - grape
"Rules: = Y X - Y | Substitutions: X by "" blackberry blueberry "" , Y by "" rat strawberry """,= rat strawberry blackberry blueberry - rat strawberry
"Rules: Y + - Y + | Substitutions: Y by "" peach buffalo """,peach buffalo + - peach buffalo +
"Rules: - - + Z Y | Substitutions: Y by "" watermelon "" , Z by "" banana """,- - + banana watermelon
"Rules: - X Y + | Substitutions: X by "" pear "" , Y by "" zebra """,- pear zebra +
"Rules: = X * X | Substitutions: X by "" shark strawberry """,= shark strawberry * shark strawberry
"Rules: * Y - + Z | Substitutions: Y by "" seal banana "" , Z by "" blueberry watermelon """,* seal banana - + blueberry watermelon
"Rules: X Y = = + | Substitutions: X by "" zebra cobra "" , Y by "" grape """,zebra cobra grape = = +
"Rules: Y * X * X | Substitutions: X by "" strawberry whale "" , Y by "" cobra """,cobra * strawberry whale * strawberry whale
"Rules: Z Y Y - + + | Substitutions: Y by "" peach "" , Z by "" cobra """,cobra peach peach - + +
"Rules: - Y X Y = | Substitutions: X by "" whale kiwi "" , Y by "" cobra """,- cobra whale kiwi cobra =
"Rules: - Y + = X | Substitutions: X by "" eagle "" , Y by "" grape """,- grape + = eagle
"Rules: X + X Y - * | Substitutions: X by "" rat "" , Y by "" shark strawberry """,rat + rat shark strawberry - *
"Rules: X X * Y - | Substitutions: X by "" horse stork "" , Y by "" grape seal """,horse stork horse stork * grape seal -
"Rules: X - * X | Substitutions: X by "" blueberry """,blueberry - * blueberry
"Rules: Y X - Z + + | Substitutions: X by "" pear apple "" , Y by "" eagle watermelon "" , Z by "" strawberry """,eagle watermelon pear apple - strawberry + +
"Rules: Y X * * | Substitutions: X by "" grape whale "" , Y by "" banana """,banana grape whale * *
"Rules: + X Y = + | Substitutions: X by "" horse "" , Y by "" peach peach """,+ horse peach peach = +
"Rules: X + - Z X | Substitutions: X by "" horse "" , Z by "" lion """,horse + - lion horse
"Rules: Y Z + * + | Substitutions: Y by "" watermelon "" , Z by "" horse """,watermelon horse + * +
"Rules: Z Z - * | Substitutions: Z by "" shark seal """,shark seal shark seal - *
"Rules: Z Y * + = X | Substitutions: X by "" pear seal "" , Y by "" lion watermelon "" , Z by "" lion """,lion lion watermelon * + = pear seal
"Rules: * = = Y Z Y | Substitutions: Y by "" lion "" , Z by "" horse """,* = = lion horse lion
"Rules: Y = - - Y | Substitutions: Y by "" blackberry pear """,blackberry pear = - - blackberry pear
"Rules: = - X = X | Substitutions: X by "" blackberry pear """,= - blackberry pear = blackberry pear
"Rules: Y X + + * | Substitutions: X by "" grape "" , Y by "" lion """,lion grape + + *
"Rules: - = Y * Y Y | Substitutions: Y by "" buffalo """,- = buffalo * buffalo buffalo
"Rules: X Y + - | Substitutions: X by "" lion "" , Y by "" seal cobra """,lion seal cobra + -
"Rules: = Y = Y Z = | Substitutions: Y by "" penguin "" , Z by "" buffalo horse """,= penguin = penguin buffalo horse =
"Rules: Z Y Z + = | Substitutions: Y by "" horse "" , Z by "" rat """,rat horse rat + =
"Rules: + = - Z Y Z | Substitutions: Y by "" seal "" , Z by "" eagle penguin """,+ = - eagle penguin seal eagle penguin
"Rules: Y = - Z | Substitutions: Y by "" seal "" , Z by "" rat """,seal = - rat
"Rules: X = X * Z + | Substitutions: X by "" seal "" , Z by "" zebra lion """,seal = seal * zebra lion +
"Rules: Z Z = Z = - | Substitutions: Z by "" apple eagle """,apple eagle apple eagle = apple eagle = -
"Rules: Y * X * | Substitutions: X by "" stork "" , Y by "" seal """,seal * stork *
"Rules: + Z = X X + | Substitutions: X by "" horse apple "" , Z by "" pear """,+ pear = horse apple horse apple +
"Rules: X = Z = Z | Substitutions: X by "" horse "" , Z by "" eagle """,horse = eagle = eagle
"Rules: = = Y Z | Substitutions: Y by "" eagle "" , Z by "" pear pear """,= = eagle pear pear
"Rules: X + X * | Substitutions: X by "" seal banana """,seal banana + seal banana *
"Rules: Z + + Z Y | Substitutions: Y by "" shark strawberry "" , Z by "" blackberry """,blackberry + + blackberry shark strawberry
"Rules: Z Z * Y = | Substitutions: Y by "" rat "" , Z by "" cobra """,cobra cobra * rat =
"Rules: Z X = X - | Substitutions: X by "" buffalo "" , Z by "" stork """,stork buffalo = buffalo -
"Rules: * Y Z - Y | Substitutions: Y by "" whale pear "" , Z by "" grape """,* whale pear grape - whale pear
"Rules: = Y Y = * | Substitutions: Y by "" banana whale """,= banana whale banana whale = *
"Rules: + - * Y X | Substitutions: X by "" banana stork "" , Y by "" kiwi buffalo """,+ - * kiwi buffalo banana stork
"Rules: Y * - * X | Substitutions: X by "" cobra "" , Y by "" eagle """,eagle * - * cobra
"Rules: - X Y Y - = | Substitutions: X by "" lion grape "" , Y by "" banana shark """,- lion grape banana shark banana shark - =
"Rules: Y * X = X | Substitutions: X by "" horse "" , Y by "" blueberry zebra """,blueberry zebra * horse = horse
"Rules: * - Z Z Z | Substitutions: Z by "" rat pear """,* - rat pear rat pear rat pear
