source,target
Rules: = X Y = | = = Y X | X = Y = | = X = Y | Result: = = seal buffalo strawberry,= = Y X
Rules: X = - Y | - Y = X | - Y X = | = X Y - | Result: - lion shark = horse,- Y = X
Rules: X * Z = = | * = Z = X | * = X = Z | * = = X Z | Result: pear * grape = =,X * Z = =
Rules: Z X + + | + + X Z | Z X + + | + Z X X + | Result: + rat shark shark shark +,+ Z X X +
Rules: X * + + | X + * + X X | * X + + | + + * X | Result: zebra + * + zebra zebra,X + * + X X
Rules: Z * * Y = | Z Y * * = | Z * * Y = | Y Z Y * = * | Result: stork shark peach stork * = *,Y Z Y * = *
Rules: - Z * X | - Z X Z * | Z * X - | X - Z * | Result: - blackberry seal cobra blackberry seal *,- Z X Z *
Rules: + = * Y | + * Y Y Y = | + Y * = | Y + = * | Result: + * kiwi cobra kiwi cobra kiwi cobra =,+ * Y Y Y =
Rules: + * - X | X X - * + | + * - X | * X - + | Result: rat rat - * +,X X - * +
Rules: + Y Y * Y | + Y * | + * Y | * + Y | Result: + horse penguin horse penguin * horse penguin,+ Y Y * Y
Rules: X = * Z | X * = Z | X Z = * | = * X Z | Result: grape grape = *,X Z = *
Rules: = Z + Z * | Z * = + | Z = + * | + * = Z | Result: = blueberry penguin + blueberry penguin *,= Z + Z *
Rules: * Y = * | Y * = * | * * Y = Y | Y = * * | Result: * * penguin = penguin,* * Y = Y
Rules: = Z - X + | X = + - Z | + = X - Z | + - = Z X | Result: eagle cobra = + - cobra,X = + - Z
Rules: + * - X Z | - Z + * X | X * - Z + | * + - Z X | Result: apple buffalo * - stork +,X * - Z +
Rules: + = = Z X | = X + X = Z | = = X Z + | Z = X = + | Result: = seal + seal = penguin zebra,= X + X = Z
Rules: + Z + | Z + + | + + Z | Z + Z + Z | Result: pear + pear + pear,Z + Z + Z
Rules: X Y * - | X Y - * X | - Y X * | - * Y X | Result: grape penguin - * grape,X Y - * X
Rules: + X * * Z | X + * * Z X | + X * * Z | * X + Z * | Result: kiwi watermelon + * * zebra horse kiwi watermelon,X + * * Z X
Rules: Z - Y - | - - Z Y | Y - Z - | Y - - Z | Result: banana - - horse,Y - - Z
Rules: X Y - = Y * | = Y - X * | X = - Y * | = Y * X - | Result: whale whale buffalo - = whale buffalo *,X Y - = Y *
Rules: X - Y + | + - Y X | + X X Y - | X - + Y | Result: + rat cobra rat cobra kiwi -,+ X X Y -
Rules: * = X X Y | X * = Y | X = Y * | * X = Y | Result: * = rat blackberry rat blackberry buffalo,* = X X Y
Rules: * X * + Z | * + * Z X | X * + Z * | + X * Z * | Result: + zebra * peach zebra *,+ X * Z *
Rules: Y * - X Y | * - Y X | - Y * X | X - * Y | Result: peach * - shark seal peach,Y * - X Y
Rules: Y X * = | = * Y X | * = X Y | X Y = * | Result: grape apple * =,Y X * =
Rules: - + Y = | - = + Y | Y = + - | Y - Y + = | Result: grape - grape + =,Y - Y + =
Rules: * Z X - - | X - - * Z | - * Z X - | - * Z Z X - | Result: - * stork stork lion banana -,- * Z Z X -
Rules: + Y + * X | * Y X + + | X Y + * + | + X Y * + | Result: whale strawberry + * +,X Y + * +
Rules: Y = * * | = * * Y | Y * Y * = | * Y * = | Result: zebra zebra * zebra zebra * =,Y * Y * =
Rules: Z X * * * | * X Z * * | * * * X Z | * * Z X * | Result: * * seal pear whale seal *,* * Z X *
Rules: + + X = | + X + = | X + = + | X + X + = | Result: banana blackberry + banana blackberry + =,X + X + =
Rules: X + + = | = X X + + | = + X + | + + = X | Result: = blueberry blueberry + +,= X X + +
Rules: Y * - X | - X Y * | X Y * - | - X * X Y | Result: - horse eagle * horse eagle blueberry blackberry,- X * X Y
Rules: * Z Z * Y | * * Y Z | * Y * Z | * Y Z * | Result: * blackberry blackberry * eagle,* Z Z * Y
Rules: - * Y + Z | Z Z + Y - * | + Y * Z - | * + Y Z - | Result: horse horse + cobra watermelon - *,Z Z + Y - *
Rules: * = * Y | Y = * * | Y = * * | Y Y * = * | Result: rat grape rat grape * = *,Y Y * = *
Rules: + Y = Z = | = Y Z = + | Z = Y = + | = + = Z Y | Result: = horse seal = +,= Y Z = +
Rules: * - Z Y | * Z Y - Y | Z Y - * | - Z * Y | Result: * lion grape seal - grape seal,* Z Y - Y
Rules: Z X = + | = Z X + | X = + Z Z | X + = Z | Result: stork = + zebra zebra,X = + Z Z
Rules: - + X + | + + X - | - + + X X | + + X - | Result: - + + blueberry cobra blueberry cobra,- + + X X
Rules: Y - Z - * | Y - - Z * | Z - - * Y | * - Y Z - | Result: horse - - * zebra,Z - - * Y
Rules: * + Y Z | + Z * Y | * Y Z + Y | Z * Y + | Result: * watermelon rat stork + watermelon rat,* Y Z + Y
Rules: * X Z Y - + | X Z + - Y * | Y X - * + Z | * X Y Z - + | Result: blueberry banana - * + lion lion,Y X - * + Z
Rules: + = X Y | Y + = X | X Y + = | Y + = X | Result: whale + = whale,Y + = X
Rules: Y X * X = | Y X * = | X * Y = | * Y X = | Result: banana pear horse * horse =,Y X * X =
Rules: - X Y = = | X Y - = = | X - = Y X = | = - = X Y | Result: blackberry watermelon - = cobra blackberry watermelon =,X - = Y X =
Rules: X + X X = | X = + | = + X | = X + | Result: cobra + cobra cobra =,X + X X =
Rules: X * - Z | - * Z X | X * - Z | X Z X - * | Result: cobra strawberry watermelon cobra strawberry - *,X Z X - *
Rules: Y = - * Z | Z Y = - * | - Z = * Y | Y - Z * = | Result: stork kiwi seal = - *,Z Y = - *
Rules: Y - = + Z X | X = - Y Z + | = Y X - Z + | + X Y = Z - | Result: kiwi - = + shark seal lion,Y - = + Z X
Rules: = X X * | * = X | * = X | X = * | Result: = zebra cobra zebra cobra *,= X X *
Rules: Z = X * * | * * X Z = | * X X * Z = | X = * * Z | Result: * lion kiwi lion kiwi * kiwi banana =,* X X * Z =
Rules: X Y - - | - Y X - | Y Y - - X | X - Y - | Result: pear whale pear whale - - zebra pear,Y Y - - X
Rules: Y + Z * + | Z + * Y + | + Y * + Z | + + Y Z * | Result: buffalo stork + blackberry cobra * +,Y + Z * +
Rules: - * = Y Z | - Z = Y * | = Y - Z * | = Z - * Y | Result: - rat = rat whale *,- Z = Y *
Rules: - + X | - X + | - + X | X X X - + | Result: penguin penguin penguin - +,X X X - +
Rules: - - X Z + | + Z X - - | Z - X + - | - + X Z - | Result: stork lion - seal + -,Z - X + -
Rules: X = Y + + | X = + + Y | + + X Y = | + X + = Y Y | Result: + zebra cobra + = pear banana pear banana,+ X + = Y Y
Rules: Z X - + + | - + + Z X | + Z - X + | - + X Z + | Result: - + + cobra pear,- + + Z X
Rules: Z * + X * | * Z + * X | + X Z * * | * X + * Z | Result: + shark blueberry pear * *,+ X Z * *
Rules: = Z + Z + X | Z X = + + | + X + = Z | X + = + Z | Result: = stork seal + stork seal + shark strawberry,= Z + Z + X
Rules: - Z + X | X Z + - | - Z + X | Z X - + | Result: - blueberry banana + rat watermelon,- Z + X
Rules: - = Y X | X - = Y | = Y X - X | Y = - X | Result: = watermelon banana kiwi watermelon - kiwi watermelon,= Y X - X
Rules: X * - + Z | X + Z - * | * X Z - + X | X * + - Z | Result: * blueberry stork zebra - + blueberry,* X Z - + X
Rules: Z - - X X | - Z X - | - X Z - | - Z X - | Result: eagle - - apple blueberry apple blueberry,Z - - X X
Rules: Y X - = * | X - Y = * | - = X * Y | * = X - Y | Result: cobra - apple = *,X - Y = *
Rules: = Y * + Y Z | Z Y * = + | = Z * Y + | Y + * = Z | Result: = shark horse * + shark horse apple,= Y * + Y Z
Rules: X - Z - Y | Y - Z X - | - X - Y Z | - Y - X Z | Result: lion - watermelon strawberry strawberry blueberry -,Y - Z X -
Rules: * Z - + X | Z - + X * | * - + Z X | Z + * X - | Result: peach - + zebra *,Z - + X *
Rules: X = Z = = | = Z X = = | = Z X = = | X = = = Z | Result: blueberry = = = lion,X = = = Z
Rules: + * Y - | * - Y + Y | - * + Y | + - Y * | Result: * - seal blackberry + seal blackberry,* - Y + Y
Rules: Y X - = | = - Y X | Y X - = | Y = - X | Result: whale buffalo seal peach - =,Y X - =
