source,target
"Rules: + Z = X | Substitutions: X by "" horse "" , Z by "" blueberry """,+ blueberry = horse
"Rules: Z * + Z Y | Substitutions: Y by "" kiwi "" , Z by "" strawberry kiwi """,strawberry kiwi * + strawberry kiwi kiwi
"Rules: - Z = Y | Substitutions: Y by "" stork stork "" , Z by "" lion """,- lion = stork stork
"Rules: Y X X + = | Substitutions: X by "" strawberry kiwi "" , Y by "" lion """,lion strawberry kiwi strawberry kiwi + =
"Rules: - - Z Y + | Substitutions: Y by "" watermelon seal "" , Z by "" pear """,- - pear watermelon seal +
"Rules: = Y Z Y = | Substitutions: Y by "" shark "" , Z by "" strawberry """,= shark strawberry shark =
"Rules: * Z + X = Z | Substitutions: X by "" blackberry "" , Z by "" cobra """,* cobra + blackberry = cobra
"Rules: Z Z + Y + | Substitutions: Y by "" blueberry "" , Z by "" shark apple """,shark apple shark apple + blueberry +
"Rules: Z X * + = Z | Substitutions: X by "" seal "" , Z by "" strawberry """,strawberry seal * + = strawberry
"Rules: = + X + X | Substitutions: X by "" zebra eagle """,= + zebra eagle + zebra eagle
"Rules: - Z Y * = Z | Substitutions: Y by "" pear "" , Z by "" rat """,- rat pear * = rat
"Rules: Z Z + * | Substitutions: Z by "" shark """,shark shark + *
"Rules: Z Y * * * Z | Substitutions: Y by "" shark "" , Z by "" blackberry whale """,blackberry whale shark * * * blackberry whale
"Rules: - * X X Z | Substitutions: X by "" penguin peach "" , Z by "" seal """,- * penguin peach penguin peach seal
"Rules: Z = Y Y + | Substitutions: Y by "" grape "" , Z by "" kiwi seal """,kiwi seal = grape grape +
"Rules: Y X Y = = - | Substitutions: X by "" blueberry "" , Y by "" buffalo """,buffalo blueberry buffalo = = -
"Rules: X X Y = - | Substitutions: X by "" blackberry horse "" , Y by "" blackberry """,blackberry horse blackberry horse blackberry = -
"Rules: Z * Y Z * | Substitutions: Y by "" zebra "" , Z by "" stork blackberry """,stork blackberry * zebra stork blackberry *
"Rules: + Y Y = = | Substitutions: Y by "" stork eagle """,+ stork eagle stork eagle = =
"Rules: Z * - Y | Substitutions: Y by "" penguin blackberry "" , Z by "" blackberry rat """,blackberry rat * - penguin blackberry
"Rules: Z Z * - | Substitutions: Z by "" penguin watermelon """,penguin watermelon penguin watermelon * -
"Rules: Y Z + Y - + | Substitutions: Y by "" apple strawberry "" , Z by "" buffalo """,apple strawberry buffalo + apple strawberry - +
"Rules: Y * Z Y * - | Substitutions: Y by "" pear blackberry "" , Z by "" apple rat """,pear blackberry * apple rat pear blackberry * -
"Rules: * + Y X Z | Substitutions: X by "" watermelon "" , Y by "" blackberry "" , Z by "" zebra """,* + blackberry watermelon zebra
"Rules: Z Y + Z - | Substitutions: Y by "" stork apple "" , Z by "" grape """,grape stork apple + grape -
"Rules: - Z - X * | Substitutions: X by "" strawberry "" , Z by "" blueberry """,- blueberry - strawberry *
"Rules: = Y Z + | Substitutions: Y by "" peach rat "" , Z by "" strawberry penguin """,= peach rat strawberry penguin +
"Rules: - = = Z Y | Substitutions: Y by "" seal apple "" , Z by "" horse strawberry """,- = = horse strawberry seal apple
"Rules: Z Y * - | Substitutions: Y by "" watermelon banana "" , Z by "" blueberry """,blueberry watermelon banana * -
"Rules: Y X X * - | Substitutions: X by "" blueberry "" , Y by "" rat seal """,rat seal blueberry blueberry * -
"Rules: - X * Y | Substitutions: X by "" cobra "" , Y by "" horse seal """,- cobra * horse seal
"Rules: Y + Y + Y - | Substitutions: Y by "" cobra banana """,cobra banana + cobra banana + cobra banana -
"Rules: Z * Y * = Z | Substitutions: Y by "" peach strawberry "" , Z by "" watermelon whale """,watermelon whale * peach strawberry * = watermelon whale
"Rules: = - X - X | Substitutions: X by "" stork whale """,= - stork whale - stork whale
"Rules: * * Z + Z Y | Substitutions: Y by "" rat "" , Z by "" whale seal """,* * whale seal + whale seal rat
"Rules: Y - = Y = | Substitutions: Y by "" apple """,apple - = apple =
"Rules: X Y + * = | Substitutions: X by "" lion peach "" , Y by "" pear seal """,lion peach pear seal + * =
"Rules: + + Z X | Substitutions: X by "" lion shark "" , Z by "" stork """,+ + stork lion shark
"Rules: Y Y + Y * | Substitutions: Y by "" kiwi lion """,kiwi lion kiwi lion + kiwi lion *
"Rules: = Y = Z | Substitutions: Y by "" blackberry stork "" , Z by "" banana blueberry """,= blackberry stork = banana blueberry
"Rules: - Z Z * X + | Substitutions: X by "" stork "" , Z by "" strawberry """,- strawberry strawberry * stork +
"Rules: Z = Y = Z | Substitutions: Y by "" stork penguin "" , Z by "" watermelon lion """,watermelon lion = stork penguin = watermelon lion
"Rules: Y + * = Y | Substitutions: Y by "" pear zebra """,pear zebra + * = pear zebra
"Rules: X - Y * Y | Substitutions: X by "" peach lion "" , Y by "" blackberry """,peach lion - blackberry * blackberry
"Rules: X * - X Z | Substitutions: X by "" pear watermelon "" , Z by "" peach lion """,pear watermelon * - pear watermelon peach lion
"Rules: * + X Y X | Substitutions: X by "" penguin "" , Y by "" penguin """,* + penguin penguin penguin
"Rules: + Z Z = X | Substitutions: X by "" horse "" , Z by "" peach kiwi """,+ peach kiwi peach kiwi = horse
"Rules: Z + X X + | Substitutions: X by "" zebra whale "" , Z by "" watermelon """,watermelon + zebra whale zebra whale +
"Rules: X + Z = - | Substitutions: X by "" pear "" , Z by "" buffalo penguin """,pear + buffalo penguin = -
"Rules: + Z + Y Y | Substitutions: Y by "" lion whale "" , Z by "" eagle """,+ eagle + lion whale lion whale
"Rules: X = + Z Y + | Substitutions: X by "" horse strawberry "" , Y by "" zebra buffalo "" , Z by "" blueberry """,horse strawberry = + blueberry zebra buffalo +
"Rules: X X = + X | Substitutions: X by "" buffalo """,buffalo buffalo = + buffalo
"Rules: + Z X - Z | Substitutions: X by "" whale blueberry "" , Z by "" rat """,+ rat whale blueberry - rat
"Rules: Y Z + X * - | Substitutions: X by "" strawberry "" , Y by "" kiwi cobra "" , Z by "" zebra penguin """,kiwi cobra zebra penguin + strawberry * -
"Rules: * Z Z Y - | Substitutions: Y by "" horse "" , Z by "" eagle """,* eagle eagle horse -
"Rules: Z + Y - Z | Substitutions: Y by "" grape seal "" , Z by "" rat stork """,rat stork + grape seal - rat stork
"Rules: X Y + - | Substitutions: X by "" lion "" , Y by "" blueberry blackberry """,lion blueberry blackberry + -
"Rules: = X - X - | Substitutions: X by "" rat watermelon """,= rat watermelon - rat watermelon -
"Rules: - Z Y = | Substitutions: Y by "" cobra "" , Z by "" shark buffalo """,- shark buffalo cobra =
"Rules: - Z = X * Y | Substitutions: X by "" lion "" , Y by "" shark whale "" , Z by "" banana strawberry """,- banana strawberry = lion * shark whale
"Rules: X + Z Y * | Substitutions: X by "" horse eagle "" , Y by "" kiwi "" , Z by "" watermelon blueberry """,horse eagle + watermelon blueberry kiwi *
"Rules: Y Y + + + | Substitutions: Y by "" grape apple """,grape apple grape apple + + +
"Rules: + X X X - | Substitutions: X by "" pear """,+ pear pear pear -
"Rules: Z - Y X + | Substitutions: X by "" pear zebra "" , Y by "" stork apple "" , Z by "" cobra """,cobra - stork apple pear zebra +
"Rules: X Y Y + * | Substitutions: X by "" penguin "" , Y by "" pear blueberry """,penguin pear blueberry pear blueberry + *
"Rules: Y X * Y = | Substitutions: X by "" rat lion "" , Y by "" pear """,pear rat lion * pear =
"Rules: Z = * - Z Y | Substitutions: Y by "" grape pear "" , Z by "" peach """,peach = * - peach grape pear
"Rules: = Z Z * | Substitutions: Z by "" apple grape """,= apple grape apple grape *
"Rules: * Z Z * + | Substitutions: Z by "" banana """,* banana banana * +
"Rules: - Z Y = - | Substitutions: Y by "" stork watermelon "" , Z by "" pear """,- pear stork watermelon = -
"Rules: + X * X | Substitutions: X by "" shark seal """,+ shark seal * shark seal
"Rules: Z + Z Y * - | Substitutions: Y by "" stork "" , Z by "" stork peach """,stork peach + stork peach stork * -
"Rules: = - Z = Z | Substitutions: Z by "" banana lion """,= - banana lion = banana lion
"Rules: - * X Z Z * | Substitutions: X by "" buffalo "" , Z by "" grape """,- * buffalo grape grape *
"Rules: Z - X + | Substitutions: X by "" eagle "" , Z by "" penguin whale """,penguin whale - eagle +
"Rules: Y - X = Z * | Substitutions: X by "" peach "" , Y by "" kiwi cobra "" , Z by "" horse """,kiwi cobra - peach = horse *
"Rules: Y - - + X Y | Substitutions: X by "" horse "" , Y by "" zebra """,zebra - - + horse zebra
"Rules: Z + Y Z * | Substitutions: Y by "" zebra eagle "" , Z by "" blueberry """,blueberry + zebra eagle blueberry *
"Rules: X + * - Z | Substitutions: X by "" shark eagle "" , Z by "" shark """,shark eagle + * - shark
"Rules: Y Y = + | Substitutions: Y by "" kiwi """,kiwi kiwi = +
"Rules: Y X * - Z | Substitutions: X by "" apple "" , Y by "" seal whale "" , Z by "" penguin """,seal whale apple * - penguin
"Rules: + Z + X X | Substitutions: X by "" rat "" , Z by "" blueberry """,+ blueberry + rat rat
"Rules: - * Y - X Y | Substitutions: X by "" blackberry strawberry "" , Y by "" horse penguin """,- * horse penguin - blackberry strawberry horse penguin
"Rules: + - * Z Y | Substitutions: Y by "" blueberry "" , Z by "" zebra """,+ - * zebra blueberry
"Rules: = X * Z X | Substitutions: X by "" whale "" , Z by "" blackberry """,= whale * blackberry whale
"Rules: Y + = Y * | Substitutions: Y by "" shark """,shark + = shark *
"Rules: Z * + Y | Substitutions: Y by "" eagle "" , Z by "" apple """,apple * + eagle
"Rules: Z Z + Z + | Substitutions: Z by "" watermelon """,watermelon watermelon + watermelon +
"Rules: = = Y + X Y | Substitutions: X by "" lion cobra "" , Y by "" blueberry """,= = blueberry + lion cobra blueberry
"Rules: Y X Y - * | Substitutions: X by "" zebra grape "" , Y by "" horse apple """,horse apple zebra grape horse apple - *
"Rules: + * Y Z Z = | Substitutions: Y by "" lion "" , Z by "" kiwi lion """,+ * lion kiwi lion kiwi lion =
"Rules: Z - = Z | Substitutions: Z by "" eagle """,eagle - = eagle
"Rules: Z * X = Z | Substitutions: X by "" seal shark "" , Z by "" penguin shark """,penguin shark * seal shark = penguin shark
"Rules: Z + Y + Z * | Substitutions: Y by "" penguin seal "" , Z by "" cobra pear """,cobra pear + penguin seal + cobra pear *
"Rules: * X + Y Z | Substitutions: X by "" apple strawberry "" , Y by "" strawberry "" , Z by "" kiwi """,* apple strawberry + strawberry kiwi
"Rules: + X - Z | Substitutions: X by "" apple seal "" , Z by "" penguin """,+ apple seal - penguin
"Rules: Z Y = + | Substitutions: Y by "" whale "" , Z by "" blueberry """,blueberry whale = +
"Rules: = X X X * * | Substitutions: X by "" watermelon stork """,= watermelon stork watermelon stork watermelon stork * *
"Rules: + * = Z Z | Substitutions: Z by "" cobra """,+ * = cobra cobra
"Rules: + * X Z | Substitutions: X by "" blackberry "" , Z by "" shark eagle """,+ * blackberry shark eagle
"Rules: = Z Y = | Substitutions: Y by "" penguin "" , Z by "" seal """,= seal penguin =
"Rules: - * X * X Y | Substitutions: X by "" banana "" , Y by "" blackberry blueberry """,- * banana * banana blackberry blueberry
"Rules: = Z * - Z | Substitutions: Z by "" horse """,= horse * - horse
"Rules: * + Z X | Substitutions: X by "" pear "" , Z by "" grape seal """,* + grape seal pear
"Rules: - X Y * | Substitutions: X by "" grape "" , Y by "" seal seal """,- grape seal seal *
"Rules: X Z + = | Substitutions: X by "" zebra "" , Z by "" stork """,zebra stork + =
"Rules: = * - Z Z | Substitutions: Z by "" penguin """,= * - penguin penguin
"Rules: X + X * + | Substitutions: X by "" banana """,banana + banana * +
"Rules: Z Z Y * = | Substitutions: Y by "" blackberry pear "" , Z by "" shark """,shark shark blackberry pear * =
"Rules: Z = Z = Z = | Substitutions: Z by "" shark """,shark = shark = shark =
"Rules: + = Y X | Substitutions: X by "" zebra kiwi "" , Y by "" seal pear """,+ = seal pear zebra kiwi
"Rules: * X X * Y | Substitutions: X by "" strawberry kiwi "" , Y by "" eagle """,* strawberry kiwi strawberry kiwi * eagle
"Rules: + X Y - + Y | Substitutions: X by "" grape "" , Y by "" buffalo stork """,+ grape buffalo stork - + buffalo stork
"Rules: Y * Y Z * | Substitutions: Y by "" seal "" , Z by "" strawberry rat """,seal * seal strawberry rat *
"Rules: * - * Y X Y | Substitutions: X by "" lion seal "" , Y by "" penguin """,* - * penguin lion seal penguin
"Rules: Z Y + - | Substitutions: Y by "" banana "" , Z by "" blackberry """,blackberry banana + -
"Rules: * = X Z | Substitutions: X by "" apple "" , Z by "" eagle lion """,* = apple eagle lion
"Rules: Z = X Z + | Substitutions: X by "" pear "" , Z by "" grape horse """,grape horse = pear grape horse +
"Rules: Z X * * | Substitutions: X by "" zebra "" , Z by "" peach """,peach zebra * *
"Rules: - Y - X | Substitutions: X by "" banana eagle "" , Y by "" lion pear """,- lion pear - banana eagle
"Rules: Z - = * X Z | Substitutions: X by "" buffalo "" , Z by "" zebra """,zebra - = * buffalo zebra
"Rules: Y = - Z | Substitutions: Y by "" shark "" , Z by "" kiwi """,shark = - kiwi
"Rules: = = = X Z Z | Substitutions: X by "" zebra "" , Z by "" lion blueberry """,= = = zebra lion blueberry lion blueberry
"Rules: X * Z = | Substitutions: X by "" rat eagle "" , Z by "" blueberry """,rat eagle * blueberry =
"Rules: X Y + - - Z | Substitutions: X by "" pear apple "" , Y by "" buffalo "" , Z by "" seal blackberry """,pear apple buffalo + - - seal blackberry
