source,target
Rules: + = Y Z | = + Y Z | Y Z = + | Y + = Z | Result: = + penguin pear zebra strawberry,= + Y Z
Rules: - Y * + Y | - + * Y | * Y + - | Y - * + | Result: - cobra strawberry * + cobra strawberry,- Y * + Y
Rules: + * Y = | = Y * + | = * + Y Y | + = * Y | Result: = * + whale whale,= * + Y Y
Rules: = X - Y + | Y X + - = | X = Y - + | - + X Y X = | Result: - + watermelon grape watermelon =,- + X Y X =
Rules: * X = Y | * = Y X | X Y = * | = X Y * | Result: * = zebra shark,* = Y X
Rules: = X X + - Z | - = + X Z | - Z X = + | - X Z + = | Result: = shark shark + - horse eagle,= X X + - Z
Rules: * Z - Y | * - Y Z | * Y - Z | Y Z * - | Result: * - blackberry zebra,* - Y Z
Rules: + + = X X | = X + + | + X = + | = + + X | Result: + + = horse lion horse lion,+ + = X X
Rules: Y + X * | Y X + * | Y * + X X | + Y * X | Result: grape * + blueberry grape blueberry grape,Y * + X X
Rules: + Y + Z | Z + Y Y + | + Z Y + | Z + + Y | Result: watermelon + peach peach +,Z + Y Y +
Rules: * + Y * | + Y Y * * | * * Y + | + Y * * | Result: + whale whale * *,+ Y Y * *
Rules: = Z = Y | Z = Y = | = Z = Y | Y = = Z | Result: = blackberry = penguin strawberry,= Z = Y
Rules: + Y * | Y Y * + | * + Y | Y + * | Result: cobra cobra * +,Y Y * +
Rules: + - Y = | Y + - Y = | - = Y + | - + Y = | Result: grape kiwi + - grape kiwi =,Y + - Y =
Rules: * X - Y | Y - Y X * | Y * X - | - X * Y | Result: seal lion - seal lion blueberry eagle *,Y - Y X *
Rules: + - X | X - + | X - + X X | - + X | Result: peach cobra - + peach cobra peach cobra,X - + X X
Rules: * X Z = | Z X = * | Z * = Z X | * X = Z | Result: zebra penguin * = zebra penguin blackberry shark,Z * = Z X
Rules: X + + | + + X | X + + | + X X + | Result: + stork stork +,+ X X +
Rules: + Z X - | Z + - X Z | - + X Z | Z - + X | Result: blueberry grape + - banana pear blueberry grape,Z + - X Z
Rules: - - + Z X | X + Z Z - - | - X - + Z | - Z X - + | Result: whale kiwi + kiwi kiwi - -,X + Z Z - -
Rules: Y Z * = * | * * Z Y = | * Y * = Z | Z * Z = * Y | Result: banana * banana = * kiwi,Z * Z = * Y
Rules: = Y + X | X = Y + | Y X = + | X = Y + | Result: zebra buffalo strawberry = +,Y X = +
Rules: X Z + = | Z + X = | = + X Z | X Z + = | Result: shark lion + =,X Z + =
Rules: - + Y | + Y - | - Y + | + - Y Y | Result: + - stork lion stork lion,+ - Y Y
Rules: - - Z Y | Z Y - - | - Y - Z | Z - Y - | Result: - - apple watermelon stork,- - Z Y
Rules: * + + X Z Y | Y + * + X Z | + X Y Z + * | Y + X + Z * | Result: kiwi lion + * + shark banana banana,Y + * + X Z
Rules: X X = - | = X - | X - = | - X = | Result: buffalo shark buffalo shark = -,X X = -
Rules: Y Z - + - | - - + Y Z | Z + Z Y - - | + Y Z - - | Result: grape + grape peach - -,Z + Z Y - -
Rules: Z X - + - Y | - - Y + Z X | + X - Z Y - | Y - + Z X - | Result: + kiwi - rat peach watermelon -,+ X - Z Y -
Rules: - * = X Z | - * Z X = | * X = Z - | Z * - X = | Result: * grape = rat blueberry -,* X = Z -
Rules: Z = Z + - Y | + Z = - Y | + Y = Z - | = - + Z Y | Result: stork = stork + - kiwi strawberry,Z = Z + - Y
Rules: + Z X - - | + - X - Z | - - + Z X X | - - + Z X | Result: - - + horse blackberry lion seal lion seal,- - + Z X X
Rules: Y - = X | - X Y = | Y - X = | - = X Y | Result: kiwi watermelon - = buffalo peach,Y - = X
Rules: Y * * | Y * * | Y * Y * Y | Y * * | Result: stork seal * stork seal * stork seal,Y * Y * Y
Rules: = Y - Z | Y Z = - | Z - = Y | - Z = Y | Result: kiwi lion - = pear,Z - = Y
Rules: - X * Y | * X Y - | * Y - X | * X - Y | Result: * kiwi grape - rat strawberry,* Y - X
Rules: * + X Z Y + | + + * Z X Y | + Z * + X Y | Y Z + * + X | Result: + lion * + rat peach cobra shark,+ Z * + X Y
Rules: Z - - Y + | - Z Y - + | Y Y - + Z - | Z Y - - + | Result: horse rat horse rat - + blackberry -,Y Y - + Z -
Rules: + X - Z + | - + + X Z | + + Z X - | + Z + - X | Result: + + grape shark -,+ + Z X -
Rules: = + - Y Z | Y + = - Z | - + Y = Z | Y + - = Z | Result: blueberry zebra + - = whale,Y + - = Z
Rules: Z = + + X | + X Z + = | + Z X + = | Z + = X + | Result: + cobra kiwi shark seal + =,+ Z X + =
Rules: Z + Y + * | + Y Z * + Y | Z + + * Y | + Y * Z + | Result: + blackberry buffalo blueberry * + blackberry buffalo,+ Y Z * + Y
Rules: X + - Y | + X Y - Y | Y X - + | X Y + - | Result: + rat shark banana shark - banana shark,+ X Y - Y
Rules: + * X = Z | + Z = X * | X = Z + * | Z X + = * | Result: pear cobra apple + = *,Z X + = *
Rules: - Z * + Z Z | Z + - * | - Z + * | * - + Z | Result: - strawberry penguin * + strawberry penguin strawberry penguin,- Z * + Z Z
Rules: - X Y = | = - Y X | - = Y X | = X Y - | Result: = - shark whale banana,= - Y X
Rules: + X Y - Z | Y + X Z - | X Z - Y + | Y X + Z - | Result: seal peach horse + cobra -,Y X + Z -
Rules: X + Z = | = + X X Z | = + Z X | X = + Z | Result: = + apple grape apple grape cobra shark,= + X X Z
Rules: Y Z - = | Z - Y = | = Z - Y | = - Y Z | Result: watermelon - penguin shark =,Z - Y =
Rules: = - Y X | = - Y X | X - Y = X | Y = - X | Result: blueberry - rat lion = blueberry,X - Y = X
Rules: Z - Y * Y | Y * Z - | Y - * Z | Y * - Z | Result: rat watermelon - strawberry * strawberry,Z - Y * Y
Rules: - * * Z X | * - X Z * | Z X * - * | X * - * Z | Result: cobra blackberry * - * penguin,X * - * Z
Rules: Z X - = + | Z - + X = | X + X Z - = | + = Z - X | Result: pear pear + pear pear pear - =,X + X Z - =
Rules: = X * Z | * = Z X | X = Z X * | X = * Z | Result: shark strawberry = stork shark strawberry *,X = Z X *
Rules: Z * + Y = | Y = * + Z | Z Y = * + | = Z * + Y | Result: = kiwi * + apple blueberry,= Z * + Y
Rules: X - - + | + - X - | - - + X | - + X X - | Result: - + grape grape -,- + X X -
Rules: Z = Y - * | Z = - Y * | Z * Y - = | - Y = * Z | Result: - apple = * shark,- Y = * Z
Rules: * * Y * Z | * Z * Y * | Z Y * * * Z | * * Z * Y | Result: blackberry whale shark * * * blackberry whale,Z Y * * * Z
Rules: * X - Y | - X * Y | - X Y * | - Y * X | Result: - rat whale * blackberry apple,- X * Y
Rules: = + Y X - | X Y - + = | = + X Y Y - | X - = Y + | Result: = + stork buffalo grape buffalo grape -,= + X Y Y -
Rules: * - X X * Z | - Z X * * | * - X * Z | X * Z - * | Result: * - zebra zebra * stork blackberry,* - X X * Z
Rules: Z * - Y | - Z * Y | - Y * Z | Z Y - * | Result: blackberry rat * - penguin blackberry,Z * - Y
Rules: Y Z + Y - + | Y - + + Z | + Y - + Z | Z Y + + - | Result: apple strawberry buffalo + apple strawberry - +,Y Z + Y - +
Rules: = X Y + * Y | Y X = + * | + Y * X = | Y X + = * | Result: = zebra strawberry grape + * strawberry grape,= X Y + * Y
Rules: + Y X * | Y * X + | * Y + Y X | X * Y + | Result: * apple + apple lion,* Y + Y X
Rules: X - * Y * | - * * X Y | Y X * - * | * * - X Y Y | Result: * * - seal blackberry rat strawberry rat strawberry,* * - X Y Y
Rules: + Y Z Y + | + + Z Y | + Z Y + | + Y + Z | Result: + lion watermelon lion +,+ Y Z Y +
Rules: X + * * Y | * * Y + X | + X * * Y | Y + * * X | Result: zebra + * * blueberry penguin,X + * * Y
Rules: X - + Y + | Y X - + + | + X + Y Y - | Y - + + X | Result: + banana pear + buffalo buffalo -,+ X + Y Y -
Rules: Y = - X * Z | Z - X * Y = | * Y Z = X - | Y X Z = * - | Result: * stork rat zebra = grape cobra -,* Y Z = X -
Rules: Y * - = | = - Y * | Y Y - = * Y | - Y * = | Result: whale whale - = * whale,Y Y - = * Y
Rules: Y Z X = + | Z = X Y + | Y + X = Z | X Z + Y = | Result: stork = apple cobra lion shark +,Z = X Y +
Rules: Y = X * X = | = Y X = * | = Y * = X | = = X * Y | Result: strawberry = zebra blueberry * zebra blueberry =,Y = X * X =
Rules: Z = + = Z | = = + Z | + Z = = | + = Z = | Result: stork penguin = + = stork penguin,Z = + = Z
Rules: X * - Z | - * X Z | X - Z * | Z * X - | Result: - * cobra peach lion,- * X Z
Rules: - Y Z * X | * - Z Y X | * Y - X Z | Z - * X Y | Result: lion blueberry - * seal pear strawberry,Z - * X Y
Rules: = * Y | Y * = | Y Y * = | Y = * | Result: grape grape * =,Y Y * =
Rules: Z + X X + | Z + X + | Z + X + | + + X Z | Result: watermelon + zebra whale zebra whale +,Z + X X +
Rules: - = = Z | - = Z = | = Z - = | - Z = Z = | Result: - cobra cobra = cobra cobra =,- Z = Z =
Rules: Y + + Z | Y + + Z | + + Z Y | + Z Y + | Result: peach stork + + apple strawberry,Y + + Z
Rules: - Y - Y | - Y - | - - Y | - Y - | Result: - grape - grape,- Y - Y
Rules: * + Y Z | Y * + Z | + * Y Z | Z + * Y | Result: * + rat pear whale whale,* + Y Z
Rules: Y + X * | Y * X + | Y + X * | * X Y + | Result: penguin + penguin zebra *,Y + X *
Rules: + * Y | Y * + Y | + Y * | Y * + | Result: blackberry * + blackberry,Y * + Y
Rules: X = Y - | - Y = X | Y - Y = X | Y = X - | Result: shark blueberry - shark blueberry = watermelon,Y - Y = X
Rules: = * Y + Z Z | * Y + Z = | + Y = Z * | + Z Y = * | Result: = * zebra buffalo + shark buffalo shark buffalo,= * Y + Z Z
Rules: * Y = Y | = Y * | Y = * | Y * = | Result: * stork = stork,* Y = Y
Rules: X + - Y Z | Z + Y - X | Z Y - X + | Y Z - X + | Result: eagle + - shark stork lion,X + - Y Z
Rules: = + Z Z - | - Z = + | Z - = + | - + = Z | Result: = + rat blueberry rat blueberry -,= + Z Z -
Rules: X - X = Z | Z X = - | X - = Z | - X = Z | Result: buffalo - buffalo = whale,X - X = Z
Rules: Y = X + Z | + = Z X Y | Z Y + = X | = X + Y Z | Result: banana pear + = rat lion,Z Y + = X
Rules: X + Z = * | + X Z * = | Z * = X + | * X = + Z | Result: whale pear * = zebra +,Z * = X +
Rules: - Z - + Y X | X Y - + Z - | + - Y Z - X | + Y - X - Z | Result: + zebra - buffalo buffalo - shark zebra,+ Y - X - Z
Rules: - X Y * X | - X * Y | X Y - * | X - Y * | Result: - eagle banana cobra cobra * eagle banana,- X Y * X
Rules: X + - Z | X + Z - | X + - Z | X + - Z | Result: blueberry + - blackberry,X + - Z
Rules: Z X - Z = | = - X Z | X = - Z | Z - = X | Result: horse kiwi cobra - horse =,Z X - Z =
Rules: Y + X + = | Y = + X X + | = X + + Y | = Y X + + | Result: cobra = + seal seal +,Y = + X X +
Rules: + + Z Y | Y + + Z Z | Y Z + + | + + Z Y | Result: rat horse + + penguin penguin,Y + + Z Z
Rules: + Y = | Y = + | Y Y = + | = + Y | Result: kiwi kiwi = +,Y Y = +
Rules: X + X Z - | + - Z X | Z + X - | - + X Z | Result: rat rat + rat rat whale -,X + X Z -
Rules: - + X Y X - | X - + - Y | + Y - - X | + - Y - X | Result: - + lion rat lion -,- + X Y X -
Rules: Z Y + - | Z Y - Z + | Y Z - + | + Z - Y | Result: rat buffalo strawberry - rat +,Z Y - Z +
Rules: + = * X Z Y | Z + * X Y = | + Z = Y * X | + Y Z * X = | Result: + whale seal = rat penguin * watermelon,+ Z = Y * X
Rules: + Z + | + Z + | Z + + | Z Z + Z + | Result: watermelon watermelon + watermelon +,Z Z + Z +
Rules: Y * * Y X - | Y * X - * | * Y * X - | * - Y X * | Result: kiwi peach * * kiwi peach lion blackberry -,Y * * Y X -
Rules: Z * = + Y | Y = + * Z | Y + = Z * | + * Y Z Z = | Result: + * lion kiwi lion kiwi lion =,+ * Y Z Z =
Rules: Z * Z = | = * Z | Z = * | = Z * | Result: blackberry * blackberry =,Z * Z =
Rules: + Y * Z + | Z + Y + Z * | + Z Y + * | Z * Y + + | Result: cobra pear + penguin seal + cobra pear *,Z + Y + Z *
Rules: = Z + X - | = - + Z X | - = + Z X | X Z = + - | Result: = - + horse strawberry eagle,= - + Z X
Rules: = Y Z * | * Z Y = Z | Y Z * = | * Y Z = | Result: * watermelon kiwi penguin eagle = watermelon kiwi,* Z Y = Z
Rules: = * + Z | + * = Z Z | * Z + = | = * Z + | Result: + * = cobra cobra,+ * = Z Z
Rules: - X - + | - X + - | - + - X X | X + - - | Result: - + - blueberry strawberry blueberry strawberry,- + - X X
Rules: = Y + | = Y + | + Y Y = Y | = + Y | Result: + banana watermelon banana watermelon = banana watermelon,+ Y Y = Y
Rules: Z - + Y | Z - + Y | + Z - Y | + - Z Y Y | Result: + - banana strawberry grape grape,+ - Z Y Y
Rules: + * Z * | * * + Z | + * * Z | * * Z + Z | Result: * * grape + grape,* * Z + Z
Rules: * - X | X * - | - X X * | * X - | Result: - horse horse *,- X X *
Rules: + X Y = | X Y = + | X = Y + | + = X Y | Result: banana = whale apple +,X = Y +
Rules: - Z = Y | - = Z Y | - = Y Z | Z Y = - | Result: zebra grape strawberry banana = -,Z Y = -
Rules: Z X * Y + - | Z X - + * Y | + Z - X Y * | * Z Y + - X | Result: pear buffalo watermelon * peach + -,Z X * Y + -
Rules: Z * X = | * X = Z | X = X * Z | X * = Z | Result: stork = stork * cobra eagle,X = X * Z
Rules: - * Y X | - * X Y Y | * Y - X | X Y * - | Result: - * banana lion penguin penguin,- * X Y Y
Rules: + Y = | + = Y | Y Y + = Y | Y = + | Result: grape grape + = grape,Y Y + = Y
Rules: - - * Y X | - Y * - X Y | Y X - * - | Y - - X * | Result: - penguin * - watermelon penguin,- Y * - X Y
Rules: - + Z X | - X + Z | Z + Z - X | Z X + - | Result: zebra + zebra - kiwi,Z + Z - X
Rules: - Y * Z - | * Y - - Z | Y * - Z - | - Y * Z - | Result: * buffalo - - zebra,* Y - - Z
Rules: Z + Y + = | + + = Z Y | Y + Z + = | + Z = Y + | Result: watermelon zebra + stork + =,Y + Z + =
Rules: * X Z + - | * Z - X + | Z - * + X | * + - Z X | Result: * shark penguin - apple peach +,* Z - X +
Rules: Z - * + X | - Z + * X | X * - Z + | * - + Z X | Result: peach strawberry - * + apple,Z - * + X
Rules: - = Z * Y Y | Y = - Z * | = * - Z Y | = * Z - Y | Result: - = pear blackberry * watermelon watermelon,- = Z * Y Y
Rules: * + Y = X | = + * X Y | X * + = Y | Y + = X * | Result: grape * + = apple,X * + = Y
Rules: + - Z Y = | Y = - Z + | Z + = - Y | Y Z + = - | Result: blackberry = - seal pear +,Y = - Z +
Rules: Y = + * | * + Y = | Y Y Y + = * | = + Y * | Result: kiwi kiwi kiwi + = *,Y Y Y + = *
Rules: Z = * = Z Y | Y = * Z = | = * Y = Z | * = = Z Y | Result: grape seal = * = grape seal horse,Z = * = Z Y
Rules: Z + X Z * = | = + * X Z | X + * = Z | Z = * X + | Result: penguin + stork penguin * =,Z + X Z * =
Rules: X - Y = * | * = X - Y | X Y * = - | * Y - = X Y | Result: * lion - = watermelon lion,* Y - = X Y
Rules: + X = + Y | + Y X = + | X = X Y + + | X = Y + + | Result: peach = peach banana lion + +,X = X Y + +
Rules: X + * Z * | X + Z * * | * + * X Z | Z X + * * | Result: stork apple + * *,Z X + * *
Rules: - X Z + | Z - X + | Z + X - | + X - Z | Result: - pear cobra +,- X Z +
Rules: X - * Y | Y * X - | * Y X - | * - Y X Y | Result: * - horse blueberry blackberry horse blueberry,* - Y X Y
Rules: X Z = - - | X - = - Z | - = - X Z | = - - X Z X | Result: = - - rat blackberry strawberry rat,= - - X Z X
Rules: Y X Z - - * | X Y - * Z - | X - * Y Z - | * Z Y - X - | Result: seal pear - * shark eagle -,X Y - * Z -
Rules: Z = = Y - | Z Y Y = - = | Y = Z = - | = = Z Y - | Result: rat whale whale whale whale whale = - =,Z Y Y = - =
Rules: * * * Y Z | * * Z * Y | * * Z * Y | * Z * Y * | Result: * peach stork * lion eagle *,* Z * Y *
Rules: * + Z | Z Z + * Z | + Z * | * Z + | Result: blueberry kiwi blueberry kiwi + * blueberry kiwi,Z Z + * Z
Rules: = Z - | Z = Z - | - = Z | Z - = | Result: grape = grape -,Z = Z -
Rules: X - * Z * | X - X Z * * | * * - Z X | Z * X - * | Result: stork apple - stork apple cobra banana * *,X - X Z * *
Rules: Y + X * | Y * X + | * + X Y | + * Y X | Result: + * apple apple buffalo blackberry,+ * Y X
Rules: = = * X Z | * = = X Z | Z X = = * | * = = Z Z X | Result: * = = cobra cobra banana,* = = Z Z X
Rules: * Y * X + | * Y * X + | * * X Y + | + Y * * X | Result: * * seal blackberry zebra +,* * X Y +
Rules: + + Z | Z + + | Z + + | + Z Z + | Result: + blueberry blueberry +,+ Z Z +
Rules: * Z + + Z | + * Z + | Z + + * | Z + + * | Result: * grape lion + + grape lion,* Z + + Z
Rules: X * X Y = | X = Y * | * X = Y | X Y * = | Result: stork peach * stork peach zebra eagle =,X * X Y =
Rules: Z - Y = | Y = - Z | Z = - Y | Z - = Y | Result: whale eagle - = strawberry,Z - = Y
Rules: = Z * = Y | Y = * = Z | * = Y Z = | Y * = Z = Z | Result: blueberry strawberry * = strawberry = strawberry,Y * = Z = Z
Rules: = * Z - Y X | - = Z * X Y | X Y = - * Z | * Y Z X = - | Result: = * shark - horse whale,= * Z - Y X
Rules: - = - X | - X - = X | = - X - | = - - X | Result: - watermelon - = watermelon,- X - = X
Rules: X Z - * + | - X Z * X + | * X Z - + | Z + * X - | Result: - grape grape banana * grape +,- X Z * X +
Rules: X X * + - Z | X Z + * - | Z X * + - | Z + X - * | Result: kiwi kiwi kiwi kiwi * + - grape peach,X X * + - Z
Rules: = * + Z | Z * + = | Z = * + | = + Z Z * | Result: = + peach shark peach shark *,= + Z Z *
Rules: * Z Y = * | * = Y * Z | * Y * = Z | * Y Z = * | Result: * buffalo rat * = buffalo,* Y * = Z
Rules: - Y * - X Z | - Y * - X Z | - Y - X Z * | - - X Y Z * | Result: - horse horse * - banana stork penguin,- Y * - X Z
Rules: - X * | * X - | X * - X | X * - | Result: strawberry * - strawberry,X * - X
Rules: Z - X * | * Z X - | * - Z X | X - * Z | Result: blueberry - horse *,Z - X *
Rules: Y X * + Z | Z Y * + X | Y + * X Z | Z Y X * + | Result: banana horse watermelon * + rat apple,Y X * + Z
Rules: + - Y Z X * | Z * Y X + - | Z X * - Y + | - Z X Y + * | Result: + - penguin peach shark stork *,+ - Y Z X *
Rules: Y Y = - | - = Y | = Y - | Y - = | Result: buffalo buffalo = -,Y Y = -
Rules: + - Z Y | Z - Y + | Y - + Z | Z - + Y | Result: + - eagle apple eagle,+ - Z Y
Rules: Z Y = Y = + | Z = + = Y | = + Z Y = | Y = = + Z | Result: blueberry horse = horse = +,Z Y = Y = +
Rules: * * - Z X | * - X Z * | * * - Z X | * * Z - X | Result: * * - strawberry lion cobra blackberry,* * - Z X
Rules: Y = + = Y X | X = + Y = | Y = = X + | = = + Y X | Result: cobra zebra = + = cobra zebra strawberry buffalo,Y = + = Y X
Rules: - Y = + | - = Y + | + Y = - | Y Y Y + = - | Result: apple apple apple + = -,Y Y Y + = -
Rules: Y - - Z | - - Y Z | Y Z - - | Z - Y - | Result: buffalo - peach -,Z - Y -
Rules: * X * Z | Z * X * | Z * * X | * X * Z | Result: * whale apple * strawberry,* X * Z
Rules: - = Z | - = Z Z Z | Z - = | - = Z | Result: - = stork strawberry stork strawberry stork strawberry,- = Z Z Z
Rules: Z X = * | = Z X X * | = Z X * | Z * X = | Result: = pear blackberry buffalo buffalo *,= Z X X *
Rules: * Y - * | * Y - Y * | * Y * - | - Y * * | Result: * pear banana - pear banana *,* Y - Y *
Rules: Z Y + = - | = - Y Z + | + = Z - Y | + = Z - Y | Result: + = watermelon buffalo - whale strawberry,+ = Z - Y
Rules: + = - Y X | = - X Y + | = Y X + - | Y - X + = | Result: apple - horse blackberry + =,Y - X + =
Rules: Z * X + = | + Z * = X | + = Z * X | + X = Z X * | Result: + blackberry strawberry = lion eagle blackberry strawberry *,+ X = Z X *
Rules: X * + = Y Z | * = Y Z X + | + Y = X Z * | * Z + Y = X | Result: + strawberry horse = pear penguin peach *,+ Y = X Z *
Rules: - X Z * | * - Z X | * - X Z | Z - * X | Result: rat whale - * lion,Z - * X
Rules: X * = + Z | * = + X Z | * X = Z + | = X + Z * | Result: = watermelon + strawberry buffalo *,= X + Z *
Rules: - * - Y | Y - - * Y | - - * Y | * Y - - | Result: banana - - * banana,Y - - * Y
Rules: Z X * Y - | * Y X Z - | Y - X Z * | X Y Z * - | Result: rat watermelon eagle * watermelon stork -,Z X * Y -
Rules: - - Z Z | - - Z | Z - - | Z - - | Result: - - shark shark,- - Z Z
Rules: Y + = | + Y = | = Y + | = Y + Y Y | Result: = kiwi + kiwi kiwi,= Y + Y Y
Rules: = X = = Z | = = Z X = | = X = Z = | = = X = Z | Result: = = banana stork = whale lion,= = X = Z
Rules: * X Z * | X * * Z | Z Z * X * | Z X * * | Result: seal zebra seal zebra * apple rat *,Z Z * X *
Rules: Y - X * | - * X Y | * Y - X | * X - Y | Result: * blackberry - banana lion,* Y - X
Rules: * Z Z * | * Z * | * * Z | * * Z | Result: * kiwi kiwi *,* Z Z *
Rules: - = * Z | = * - Z | = - Z * | = Z Z * - | Result: = blueberry blueberry * -,= Z Z * -
Rules: Y - - + X | - X + Y - | Y - X + - | - + X Y - | Result: - apple horse + cobra whale -,- X + Y -
Rules: * * X Y | Y * * X | X * Y * X | * * X Y | Result: zebra * pear zebra * zebra,X * Y * X
Rules: - = = X Y | Y = X Y = - | Y - = = X | X Y - = = | Result: seal = whale seal seal = -,Y = X Y = -
Rules: = * * X Z | * = X Z * | = Z X * * | = X * * Z | Result: = * * shark eagle,= * * X Z
Rules: = X Z - | X Z - = | Z - X = | X = - Z | Result: cobra apple - =,X Z - =
Rules: Y = Z = = | Z = = = Y | = Z = = Y | = Y Z = = | Result: pear = = = stork peach,Z = = = Y
Rules: Y Z - + = | Y + = Z - | Y + = Z - | + Z - = Y | Result: + horse pear - = grape peach,+ Z - = Y
Rules: + * X | + X * | * X + | X + X * | Result: stork + stork *,X + X *
Rules: + Y Z - | - Y Z + | Y - Z + | Z + Y - | Result: grape - banana +,Y - Z +
Rules: Y - Z - * | * - Y Z - | Z - Y - Y * | - Z - * Y | Result: stork - whale - whale *,Z - Y - Y *
Rules: Z = X + | + = Z X | X = Z + | + X = Z | Result: + = shark blackberry cobra,+ = Z X
Rules: Z - Y * + X | - Y X + * Z | + - * Z Y X | Z Y + - * X | Result: cobra seal - shark * + whale,Z - Y * + X
Rules: - Y Y - Y | - Y - | - Y - | Y - - | Result: - grape grape - grape,- Y Y - Y
Rules: * = * Y | = Y * * | = * * Y | Y * * Y = Y | Result: zebra penguin * * zebra penguin = zebra penguin,Y * * Y = Y
Rules: + = Y - Z | Y + Z = - Z | - + Z = Y | + Y - = Z | Result: blackberry + stork = - stork,Y + Z = - Z
Rules: - - X * Z | X - * Z - | - X - * Z | - Z X - * | Result: shark zebra - * zebra -,X - * Z -
Rules: * Z - - X | * X - Z - | X * Z - - | - * X - Z | Result: buffalo pear * eagle kiwi - -,X * Z - -
Rules: + Z * Z - | + Z * - | + Z * - | Z * - + | Result: + shark * shark -,+ Z * Z -
Rules: X + + + Z | + + Z X + | Z + + X + | + + Z + X | Result: zebra + + buffalo +,Z + + X +
Rules: X * Z = + | + = Z X * | X + = Z * | * + = X Z | Result: penguin + = buffalo apple *,X + = Z *
Rules: Y + - = X | + Y - X = | + = Y - X | - + = Y X | Result: whale horse + - = kiwi,Y + - = X
Rules: * + Z + | + * Z + | Z + * Z + Z | + + Z * | Result: strawberry peach + * strawberry peach + strawberry peach,Z + * Z + Z
