source,target
Quy tắc: Z Y Z + + | + Z Y + | Z + Y + | Y ++ Z | Kết quả: sư tử táo đào sư tử + +,Z Y Z + +
Quy tắc: Z - X * | - *Z X | * Z - X | * Z X - | Kết quả: - *nho ngựa vằn,- * ZX
Quy tắc: * X - + | X - + * | - * X X + | + * - X | Kết quả: - * lê lê +,- * X X +
Quy tắc: Y + = Z - | Y - Z = + | = Z + Z Y - | + Y - = Z | Kết quả: = dưa hấu + dưa hấu dưa hấu -,= Z + Z Y -
Quy tắc: Y X = - * | = X * Y - | = - X Y * | - = * X X Y | Kết quả: - = * nho đại bàng nho nho dâu tây,- = * X X Y
Quy tắc: * Y * X + | * + * YX | + * * Y X | + * Y X * | Kết quả: * cá mập * sư tử việt quất +,* Y * X +
Quy tắc: = Y X + + | X X + + = Y | X Y = + + | = X + + Y | Kết quả: blackberry blackberry + + = đào rắn hổ mang,X X + + = Y
Quy tắc: Y + * Z | YZ * + | Y* + Z | + Z Y * | Kết quả: táo nho + * đại bàng chim cánh cụt,Y + * Z
Quy tắc: = Y - * | = * - Y | = * Y Y - | Y * = - | Kết quả: = * ngựa vằn ngựa vằn -,= * Y Y -
Quy tắc: + Z = | Z Z = + | + Z = | Z + = | Kết quả: ngựa dâu ngựa dâu = +,Z Z = +
Quy tắc: + = YZ | = + Y Z | YZ = + | Y + = Z | Kết quả: = + chim cánh cụt lê ngựa vằn dâu,= + YZ
Quy tắc: - Y * + Y | - + * Y | * Y + - | Y - * + | Kết quả: - dâu hổ mang * + dâu hổ mang,- Y * + Y
Quy tắc: + * Y = | = Y * + | = * + Y Y | + = * Y | Kết quả: = * + cá voi,= * + Y Y
Quy tắc: = X - Y + | Y X + - = | X = Y - + | - + X Y X = | Kết quả: - + dưa hấu nho dưa hấu =,- + X Y X =
Quy tắc: * X = Y | * = Y X | X Y = * | = X Y * | Kết quả: * = cá mập ngựa vằn,* = Y X
Quy tắc: = X X + - Z | - = + X Z | - Z X = + | - X Z + = | Kết quả: = cá mập cá mập + - đại bàng ngựa,= X X + - Z
Quy tắc: * Z - Y | * - YZ | * Y - Z | YZ * - | Kết quả: * - ngựa vằn blackberry,* - YZ
Quy tắc: + + = X X | = X ++ | + X = + | = + + X | Kết quả: + + = ngựa sư tử ngựa sư tử,+ + = X X
Quy tắc: Y + X * | Y X + * | Y * + X X | + Y*X | Kết quả: nho * + nho việt quất nho việt quất,Y * + X X
Quy tắc: + Y + Z | Z + Y Y + | + Z Y + | Z + + Y | Kết quả: dưa hấu + đào đào +,Z + Y Y +
Quy tắc: * + Y * | + Y Y * * | * * Y + | + Y * * | Kết quả: + cá voi * *,+ Y Y * *
Quy tắc: = Z = Y | Z = Y = | = Z = Y | Y = = Z | Kết quả: = blackberry = dâu tây chim cánh cụt,= Z = Y
Quy tắc: + Y * | Y Y * + | * + Y | Y + * | Kết quả: rắn hổ mang chúa * +,Y Y * +
Quy tắc: + - Y = | Y + - Y = | - = Y + | - + Y = | Kết quả: kiwi nho + - kiwi nho =,Y + - Y =
Quy tắc: * X - Y | Y - Y X * | Y*X - | - X*Y | Kết quả: hải cẩu sư tử - hải cẩu sư tử đại bàng việt quất *,Y - Y X *
Quy tắc: + - X | X - + | X - + X X | - + X | Kết quả: rắn hổ mang đào - + rắn hổ mang đào,X - + X X
Quy tắc: * X Z = | Z X = * | Z * = Z X | * X = Z | Kết quả: chim cánh cụt ngựa vằn * = chim cánh cụt ngựa vằn cá mập blackberry,Z * = ZX
Quy tắc: X + + | + + X | X ++ | + X X + | Kết quả: + cò cò +,+ X X +
Quy tắc: + Z X - | Z + - X Z | - + X Z | Z - + X | Kết quả: nho việt quất + - chuối lê việt quất nho,Z + - X Z
Quy tắc: - - + Z X | X + Z Z - - | - X - + Z | - Z X - + | Kết quả: kiwi cá voi + kiwi kiwi - -,X + Z Z - -
Quy tắc: Y Z * = * | * * Z Y = | * Y * = Z | Z * Z = * Y | Kết quả: chuối * chuối = * kiwi,Z * Z = * Y
Quy tắc: = Y + X | X = Y + | Y X = + | X = Y + | Kết quả: dâu ngựa vằn = +,Y X = +
Quy tắc: X Z + = | Z + X = | = + X Z | X Z + = | Kết quả: cá mập sư tử + =,X Z + =
Quy tắc: - + Y | + Y - | - Y + | + - Y Y | Kết quả: + - cò sư tử cò sư tử,+ - Y Y
Quy tắc: - - Z Y | Z Y - - | - Y - Z | Z - Y - | Kết quả: - - cò dưa hấu táo,- - Z Y
Quy tắc: * + + X Z Y | Y + * + X Z | + X Y Z + * | Y + X + Z * | Kết quả: kiwi sư tử + * + chuối cá mập chuối,Y + * + X Z
Quy tắc: X X = - | = X - | X - = | - X = | Kết quả: cá mập trâu cá mập trâu = -,X X = -
Quy tắc: YZ - + - | - - + Y Z | Z + Z Y - - | + YZ - - | Kết quả: nho + nho đào - -,Z + Z Y - -
Quy tắc: Z X - + - Y | - - Y + Z X | + X - Z Y - | Y - + Z X - | Kết quả: + kiwi - dưa chuột đào -,+ X - Z Y -
Quy tắc: - * = X Z | - * Z X = | * X = Z - | Z * - X = | Kết quả: * nho = chuột việt quất -,* X = Z -
Quy tắc: Z = Z + - Y | + Z = - Y | + Y = Z - | = - + Z Y | Kết quả: cò = cò + - kiwi dâu,Z = Z + - Y
Quy tắc: + Z X - - | + - X - Z | - - + Z X X | - - + ZX | Kết quả: - - + ngựa blackberry sư tử hải cẩu sư tử,- - + Z X X
Quy tắc: Y - = X | - X Y = | Y - X = | - = X Y | Kết quả: dưa hấu kiwi - = đào trâu,Y - = X
Quy tắc: Y * * | Y * * | Y * Y * Y | Y * * | Kết quả: dấu cò * dấu cò * dấu cò,Y * Y * Y
Quy tắc: = Y - Z | YZ = - | Z - = Y | - Z = Y | Kết quả: sư tử kiwi - = quả lê,Z - = Y
Quy tắc: - X * Y | * X Y - | * Y - X | *X - Y | Kết quả: *nho kiwi - dâu chuột,* Y - X
Quy tắc: * + X Z Y + | + + * Z X Y | + Z * + X Y | YZ + * + X | Kết quả: + sư tử * + chuột đào cá mập hổ mang,+ Z * + X Y
Quy tắc: Z - - Y + | - Z Y - + | Y Y - + Z - | Z Y - - + | Kết quả: ngựa chuột chuột ngựa - + blackberry -,Y Y - + Z -
Quy tắc: + X - Z + | - + + X Z | + + Z X - | + Z + - X | Kết quả: + + cá mập nho -,+ + Z X -
Quy tắc: = + - Y Z | Y + = - Z | - + Y = Z | Y + - = Z | Kết quả: ngựa vằn việt quất + - = cá voi,Y + - = Z
Quy tắc: Z = + + X | + X Z + = | + Z X + = | Z + = X + | Kết quả: + hải cẩu cá mập kiwi + =,+ Z X + =
Quy tắc: Z + Y + * | + Y Z * + Y | Z ++ * Y | + Y * Z + | Kết quả: + trâu dâu việt quất * + trâu dâu đen,+ Y Z * + Y
Quy tắc: X + - Y | + X Y - Y | Y X - + | X Y + - | Kết quả: + cá mập chuột chuối - cá mập chuối,+ X Y - Y
Quy tắc: + * X = Z | + Z = X * | X = Z + * | Z X + = * | Kết quả: lê rắn hổ mang táo + = *,Z X + = *
Quy tắc: - Z * + Z Z | Z + - * | - Z + * | * - + Z | Kết quả: - chim cánh cụt dâu tây * + chim cánh cụt dâu tây chim cánh cụt dâu tây,- Z * + Z Z
Quy tắc: - X Y = | = - Y X | - = Y X | = X Y - | Kết quả: = - chuối cá voi,= - YX
Quy tắc: + X Y - Z | Y + X Z - | X Z - Y + | Y X + Z - | Kết quả: Hải cẩu ngựa + rắn hổ mang -,Y X + Z -
Quy tắc: X + Z = | = + X X Z | = + Z X | X = + Z | Kết quả: = + táo nho táo nho rắn hổ mang chúa,= + X X Z
Quy tắc: YZ - = | Z - Y = | = Z - Y | = - YZ | Kết quả: dưa hấu - cá mập chim cánh cụt =,Z - Y =
Quy tắc: = - Y X | = - Y X | X - Y = X | Y = - X | Kết quả: việt quất - sư tử chuột = việt quất,X - Y = X
Quy tắc: Z - Y * Y | Y*Z - | Y - * Z | Y* - Z | Kết quả: dưa hấu chuột - dâu tây * dâu tây,Z - Y * Y
Quy tắc: - * * Z X | * - X Z * | Z X * - * | X* - * Z | Kết quả: rắn hổ mang blackberry * - * chim cánh cụt,X * - * Z
Quy tắc: Z X - = + | Z - + X = | X + X Z - = | + = Z - X | Kết quả: lê lê + lê lê lê - =,X + X Z - =
Quy tắc: =X*Z | * = Z X | X = Z X * | X = * Z | Kết quả: dâu cá mập = dâu cá mập cò *,X = Z X *
Quy tắc: Z * + Y = | Y = * + Z | Z Y = * + | = Z * + Y | Kết quả: = kiwi * + táo việt quất,= Z * + Y
Quy tắc: X - - + | + - X - | - - + X | - + X X - | Kết quả: - + nho nho -,- + X X -
Quy tắc: Z = Y - * | Z = - Y * | Z * Y - = | - Y=*Z | Kết quả: - táo = * cá mập,- Y = * Z
Quy tắc: * * Y * Z | * Z * Y * | Z Y * * * Z | * * Z * Y | Kết quả: cá mập voi dâu đen * * * cá voi dâu đen,Z Y * * * Z
Quy tắc: * X - Y | - X*Y | - X Y * | - Y*X | Kết quả: - cá voi chuột * táo dâu đen,- X * Y
Quy tắc: = + Y X - | X Y - + = | = + X Y Y - | X - = Y + | Kết quả: = + cò trâu nho trâu nho -,= + X Y Y -
Quy tắc: * - X X * Z | - Z X * * | * - X * Z | X * Z - * | Kết quả: * - ngựa vằn * cò blackberry,* - X X * Z
Quy tắc: Z * - Y | - Z*Y | - Y*Z | Z Y - * | Kết quả: blackberry rat * - chim cánh cụt blackberry,Z * - Y
Quy tắc: Y Z + Y - + | Y - + + Z | + Y - + Z | Z Y ++ - | Kết quả: táo dâu trâu + táo dâu - +,YZ + Y - +
Quy tắc: = X Y + * Y | Y X = + * | + Y * X = | Y X + = * | Kết quả: = nho dâu ngựa vằn + * nho dâu,= X Y + * Y
Quy tắc: + Y X * | Y*X+ | * Y + YX | X * Y + | Kết quả: * táo + táo sư tử,* Y + YX
Quy tắc: X - * Y * | - * * X Y | Y X * - * | * * - X Y Y | Kết quả: * * - seal blackberry chuột dâu chuột dâu,* * - X Y Y
Quy tắc: + Y Z Y + | + + Z Y | + Z Y + | + Y + Z | Kết quả: + sư tử dưa hấu sư tử +,+ Y Z Y +
Quy tắc: X + * * Y | * * Y + X | + X * * Y | Y + * * X | Kết quả: ngựa vằn + * * chim cánh cụt việt quất,X + * * Y
Quy tắc: X - + Y + | Y X - + + | + X + Y Y - | Y - + + X | Kết quả: + chuối lê + trâu trâu -,+ X + Y Y -
Quy tắc: Y = - X * Z | Z - X * Y = | * Y Z = X - | Y X Z = * - | Kết quả: * cò chuột ngựa vằn = rắn hổ mang nho -,* YZ = X -
Quy tắc: Y * - = | = - Y * | Y Y - = * Y | - Y * = | Kết quả: cá voi - = * cá voi,Y Y - = * Y
Quy tắc: Y Z X = + | Z = X Y + | Y + X = Z | X Z + Y = | Kết quả: cò = cá mập hổ mang chúa táo +,Z = X Y +
Quy tắc: Y = X * X = | = Y X = * | = Y * = X | = = X * Y | Kết quả: dâu = việt quất ngựa vằn * việt quất ngựa vằn =,Y = X * X =
Quy tắc: Z = + = Z | = = + Z | + Z = = | + = Z = | Kết quả: chim cánh cụt cò = + = chim cánh cụt cò,Z = + = Z
Quy tắc: X * - Z | - *X Z | X - Z * | Z * X - | Kết quả: - * hổ mang sư tử đào,- * X Z
Quy tắc: - Y Z * X | * - Z Y X | * Y - X Z | Z - * X Y | Kết quả: sư tử việt quất - * hải cẩu lê dâu,Z - * XY
Quy tắc: = * Y | Y * = | Y Y * = | Y = * | Kết quả: nho nho * =,Y Y * =
Quy tắc: Z + X X + | Z + X + | Z + X + | + + X Z | Kết quả: dưa hấu + cá voi ngựa vằn cá voi ngựa vằn +,Z + X X +
Quy tắc: - = = Z | - = Z = | = Z - = | - Z = Z = | Kết quả: - rắn hổ mang chúa = rắn hổ mang chúa =,- Z = Z =
Quy tắc: Y + + Z | Y ++ Z | + + Z Y | + Z Y + | Kết quả: đào cò + + táo dâu,Y + + Z
Quy tắc: - Y - Y | - Y - | - - Y | - Y - | Kết quả: - nho - nho,- Y - Y
Quy tắc: * + Y Z | Y* + Z | + * YZ | Z + * Y | Kết quả: * + cá voi chuột lê,* + Y Z
Quy tắc: Y + X * | Y*X+ | Y + X * | * X Y + | Kết quả: chim cánh cụt + chim cánh cụt ngựa vằn *,Y + X *
Quy tắc: + * Y | Y * + Y | + Y* | Y * + | Kết quả: blackberry * + blackberry,Y * + Y
Quy tắc: X = Y - | - Y = X | Y - Y = X | Y = X - | Kết quả: việt quất cá mập - việt quất cá mập = dưa hấu,Y - Y = X
Quy tắc: = * Y + Z Z | * Y + Z = | + Y = Z * | + Z Y = * | Kết quả: = * trâu ngựa vằn + trâu cá mập trâu,= * Y + Z Z
Quy tắc: * Y = Y | = Y * | Y = * | Y * = | Kết quả: * cò = cò,* Y = Y
Quy tắc: X + - Y Z | Z + Y - X | Z Y - X + | YZ - X + | Kết quả: đại bàng + - sư tử cò cá mập,X + - YZ
Quy tắc: = + Z Z - | - Z = + | Z - = + | - + = Z | Kết quả: = + chuột việt quất chuột việt quất -,= + Z Z -
Quy tắc: X - X = Z | ZX = - | X - = Z | - X = Z | Kết quả: trâu - trâu = cá voi,X - X = Z
Quy tắc: Y = X + Z | + = Z X Y | Z Y + = X | = X + Y Z | Kết quả: chuối lê + = chuột sư tử,Z Y + = X
Quy tắc: X + Z = * | + X Z * = | Z * = X + | * X = + Z | Kết quả: lê cá voi * = ngựa vằn +,Z * = X +
Quy tắc: - Z - + Y X | X Y - + Z - | + - Y Z - X | + Y - X - Z | Kết quả: + ngựa vằn - trâu trâu - ngựa vằn cá mập,+ Y - X - Z
Quy tắc: - X Y * X | - X*Y | X Y - * | X - Y * | Kết quả: - rắn hổ mang chuối đại bàng * chuối đại bàng,- X Y * X
Quy tắc: X + - Z | X + Z - | X + - Z | X + - Z | Kết quả: việt quất + - blackberry,X + - Z
Quy tắc: Z X - Z = | = - X Z | X = - Z | Z - = X | Kết quả: ngựa hổ mang chúa kiwi - ngựa =,Z X - Z =
Quy tắc: Y + X + = | Y = + X X + | = X + + Y | = Y X + + | Kết quả: rắn hổ mang = + hải cẩu +,Y = + X X +
Quy tắc: + + Z Y | Y ++ Z Z | YZ ++ | + + Z Y | Kết quả: chuột ngựa + + chim cánh cụt chim cánh cụt,Y ++ Z Z
Quy tắc: + Y = | Y = + | Y Y = + | = + Y | Kết quả: kiwi kiwi = +,Y Y = +
Quy tắc: X + X Z - | + - Z X | Z + X - | - + X Z | Kết quả: chuột chuột + cá voi chuột -,X + X Z -
Quy tắc: - + X Y X - | X - + - Y | + Y - - X | + - Y - X | Kết quả: - + sư tử chuột sư tử -,- + X Y X -
Quy tắc: Z Y + - | Z Y - Z + | YZ - + | + Z - Y | Kết quả: chuột trâu dâu - chuột +,Z Y - Z +
Quy tắc: + = * X Z Y | Z + * X Y = | + Z = Y * X | + Y Z * X = | Kết quả: + hải cẩu = chuột chim cánh cụt * dưa hấu,+ Z = Y * X
Quy tắc: + Z + | + Z + | Z ++ | Z Z + Z + | Kết quả: dưa hấu dưa hấu + dưa hấu +,Z Z + Z +
Quy tắc: Y * * Y X - | Y * X - * | * Y * X - | * - Y X * | Kết quả: đào kiwi * * đào kiwi blackberry -,Y * * Y X -
Quy tắc: Z * = + Y | Y = + * Z | Y + = Z * | + * Y Z Z = | Kết quả: + * sư tử kiwi sư tử kiwi sư tử =,+ * Y Z Z =
Quy tắc: Z * Z = | = * Z | Z = * | = Z * | Kết quả: blackberry * blackberry =,Z * Z =
Quy tắc: + Y * Z + | Z + Y + Z * | + Z Y + * | Z * Y ++ | Kết quả: lê rắn hổ mang + hải cẩu chim cánh cụt + lê rắn hổ mang *,Z + Y + Z *
Quy tắc: = Z + X - | = - + Z X | - = + Z X | X Z = + - | Kết quả: = - + ngựa dâu đại bàng,= - + Z X
Quy tắc: = Y Z * | * Z Y = Z | YZ * = | * YZ = | Kết quả: * dưa hấu kiwi chim cánh cụt đại bàng = kiwi dưa hấu,* Z Y = Z
Quy tắc: = * + Z | + * = Z Z | * Z + = | = * Z + | Kết quả: + * = rắn hổ mang chúa,+ * = Z Z
Quy tắc: - X - + | - X + - | - + - X X | X + - - | Kết quả: - + - dâu việt quất dâu việt quất,- + - X X
Quy tắc: = Y + | = Y + | + Y Y = Y | = + Y | Kết quả: + chuối dưa hấu chuối dưa hấu = chuối dưa hấu,+ Y Y = Y
Quy tắc: Z - + Y | Z - + Y | + Z - Y | + - Z Y Y | Kết quả: + - chuối dâu nho nho,+ - Z Y Y
Quy tắc: + * Z * | * * + Z | + * * Z | * * Z + Z | Kết quả: * * nho + nho,* * Z + Z
Quy tắc: * - X | X * - | - X X * | * X - | Kết quả: - ngựa ngựa *,- X X *
Quy tắc: + X Y = | X Y = + | X = Y + | + = X Y | Kết quả: chuối = táo cá voi +,X = Y +
Quy tắc: - Z = Y | - = Z Y | - = YZ | Z Y = - | Kết quả: chuối dâu nho ngựa vằn = -,Z Y = -
Quy tắc: Z X * Y + - | Z X - + * Y | + Z - X Y * | * Z Y + - X | Kết quả: lê trâu dưa hấu * đào + -,Z X * Y + -
Quy tắc: Z * X = | * X = Z | X = X * Z | X * = Z | Kết quả: cò = cò * rắn hổ mang đại bàng,X = X * Z
Quy tắc: - * Y X | - * X Y Y | * Y - X | X Y * - | Kết quả: - * chim cánh cụt sư tử chuối chim cánh cụt,- * X Y Y
Quy tắc: + Y = | + = Y | Y Y + = Y | Y = + | Kết quả: nho nho + = nho,Y Y + = Y
Quy tắc: - - * Y X | - Y * - X Y | Y X - * - | Y - - X * | Kết quả: - chim cánh cụt * - chim cánh cụt dưa hấu,- Y * - X Y
Quy tắc: - + Z X | - X + Z | Z + Z - X | Z X + - | Kết quả: ngựa vằn + ngựa vằn - kiwi,Z + Z - X
Quy tắc: - Y * Z - | * Y - - Z | Y* - Z - | - Y*Z - | Kết quả: * trâu - - ngựa vằn,* Y - - Z
Quy tắc: Z + Y + = | + + = Z Y | Y + Z + = | + Z = Y + | Kết quả: dưa hấu ngựa vằn + cò + =,Y + Z + =
Quy tắc: * X Z + - | * Z - X + | Z - * + X | * + - Z X | Kết quả: * chim cánh cụt cá mập - đào táo +,* Z - X +
Quy tắc: Z - * + X | - Z+*X | X * - Z + | * - + Z X | Kết quả: đào dâu - * + táo,Z - * + X
Quy tắc: - = Z * Y Y | Y = - Z * | = * - Z Y | = * Z - Y | Kết quả: - = quả lê đen * dưa hấu dưa hấu,- = Z * Y Y
Quy tắc: * + Y = X | = + * X Y | X * + = Y | Y + = X * | Kết quả: nho * + = táo,X * + = Y
Quy tắc: + - Z Y = | Y = - Z + | Z + = - Y | YZ + = - | Kết quả: blackberry = - hải cẩu +,Y = - Z +
Quy tắc: Y = + * | * + Y = | Y Y Y + = * | = + Y * | Kết quả: kiwi kiwi kiwi + = *,Y Y Y + = *
Quy tắc: Z = * = Z Y | Y = * Z = | = * Y = Z | * = = Z Y | Kết quả: Hải cẩu nho = * = Hải cẩu nho ngựa,Z = * = Z Y
Quy tắc: Z + X Z * = | = + * X Z | X + * = Z | Z = * X + | Kết quả: chim cánh cụt + chim cánh cụt cò * =,Z + X Z * =
Quy tắc: X - Y = * | * = X - Y | X Y * = - | * Y - = X Y | Kết quả: * sư tử - = sư tử dưa hấu,* Y - = X Y
Quy tắc: + X = + Y | + Y X = + | X = X Y + + | X = Y + + | Kết quả: đào = đào chuối sư tử + +,X = X Y + +
Quy tắc: X + * Z * | X + Z * * | * + * X Z | Z X + * * | Kết quả: táo cò + * *,Z X + * *
Quy tắc: - X Z + | Z - X + | Z + X - | + X - Z | Kết quả: - rắn hổ mang lê +,- X Z +
Quy tắc: X - * Y | Y*X - | * Y X - | * - Y X Y | Kết quả: * - ngựa việt quất blackberry ngựa việt quất,* - Y X Y
Quy tắc: X Z = - - | X - = - Z | - = - X Z | = - - X Z X | Kết quả: = - - chuột blackberry dâu chuột,= - - X Z X
Quy tắc: Y X Z - - * | X Y - * Z - | X - * Y Z - | * Z Y - X - | Kết quả: hải cẩu lê - * cá mập đại bàng -,XYZ -
Quy tắc: Z = = Y - | Z Y Y = - = | Y = Z = - | = = Z Y - | Kết quả: cá voi chuột cá voi cá voi = - =,Z Y Y = - =
Quy tắc: * * * YZ | * * Z * Y | * * Z * Y | * Z * Y * | Kết quả: *cò đào*đại bàng sư tử*,* Z * Y *
Quy tắc: * + Z | Z Z + * Z | +Z* | * Z + | Kết quả: việt quất kiwi việt quất kiwi + * việt quất kiwi,Z Z + * Z
Quy tắc: = Z - | Z = Z - | - = Z | Z - = | Kết quả: nho = nho -,Z = Z -
Quy tắc: X - * Z * | X - X Z * * | * * - Z X | Z * X - * | Kết quả: cò táo - cò táo hổ mang chuối * *,X - X Z * *
Quy tắc: Y + X * | Y*X+ | * + X Y | + * YX | Kết quả: +* táo táo trâu blackberry,+ * YX
Quy tắc: = = * X Z | * = = X Z | Z X = = * | * = = Z Z X | Kết quả: * = = rắn hổ mang chuối,* = = Z Z X
Quy tắc: * Y * X + | * Y * X + | * * X Y + | + Y * * X | Kết quả: * * đóng dấu ngựa vằn blackberry +,* * X Y +
Quy tắc: + + Z | Z ++ | Z ++ | + Z Z + | Kết quả: + việt quất việt quất +,+ Z Z +
Quy tắc: * Z++ + Z | + * Z + | Z + + * | Z + + * | Kết quả: * sư tử nho + + sư tử nho,* Z ++ + Z
Quy tắc: X * X Y = | X = Y * | * X = Y | X Y * = | Kết quả: cò đào * cò đào ngựa vằn đại bàng =,X * X Y =
Quy luật: Z - Y = | Y = - Z | Z = - Y | Z - = Y | Kết quả: đại bàng cá voi - = dâu tây,Z - = Y
Quy tắc: = Z * = Y | Y = * = Z | * = YZ = | Y * = Z = Z | Kết quả: dâu tây việt quất * = dâu tây = dâu tây,Y * = Z = Z
Quy tắc: = * Z - Y X | - = Z * X Y | X Y = - * Z | * Y Z X = - | Kết quả: = * cá mập - cá voi ngựa,= * Z - YX
Quy tắc: - = - X | - X - = X | = - X - | = - - X | Kết quả: - dưa hấu - = dưa hấu,- X - = X
Quy tắc: X Z - * + | - X Z * X + | * X Z - + | Z + * X - | Kết quả: - nho nho chuối * nho +,- X Z * X +
Quy tắc: X X * + - Z | X Z + * - | Z X * + - | Z + X - * | Kết quả: kiwi kiwi kiwi kiwi * + - đào nho,X X * + - Z
Quy tắc: = * + Z | Z * + = | Z = * + | = + Z Z * | Kết quả: = + cá mập đào cá mập *,= + Z Z *
Quy tắc: * Z Y = * | * = Y * Z | * Y * = Z | * YZ = * | Kết quả: *chuột trâu* = trâu,* Y * = Z
Quy tắc: - Y* - X Z | - Y* - X Z | - Y - X Z * | - - X Y Z * | Kết quả: - ngựa ngựa * - chim cánh cụt cò chuối,- Y* - X Z
Quy tắc: - X * | * X - | X* - X | X * - | Kết quả: dâu * - dâu,X* - X
Quy tắc: Z - X * | * Z X - | * - Z X | X - * Z | Kết quả: việt quất - ngựa *,Z - X *
Quy tắc: Y X * + Z | Z Y * + X | Y + * X Z | Z Y X * + | Kết quả: chuối ngựa dưa hấu* + táo chuột,Y X * + Z
Quy tắc: + - Y Z X * | Z * Y X + - | Z X * - Y + | - Z X Y + * | Kết quả: + - chim cánh cụt đào cá mập cò *,+ - Y Z X *
Quy tắc: Y Y = - | - = Y | = Y - | Y - = | Kết quả: trâu trâu = -,Y Y = -
Quy tắc: + - Z Y | Z - Y + | Y - + Z | Z - + Y | Kết quả: + - đại bàng táo đại bàng,+ - Z Y
Quy tắc: Z Y = Y = + | Z = + = Y | = + Z Y = | Y = = + Z | Kết quả: ngựa việt quất = ngựa = +,Z Y = Y = +
Quy tắc: * * - Z X | * - X Z * | * * - Z X | * * Z - X | Kết quả: * * - dâu tây hổ mang chúa blackberry,* * - ZX
Quy tắc: Y = + = Y X | X = + Y = | Y = = X + | = = + Y X | Kết quả: rắn hổ mang ngựa vằn = + = rắn hổ mang ngựa vằn dâu trâu,Y = + = YX
Quy tắc: - Y = + | - = Y + | + Y = - | Y Y Y + = - | Kết quả: táo táo táo + = -,Y Y Y + = -
Quy tắc: Y - - Z | - - YZ | YZ - - | Z - Y - | Kết quả: trâu - đào -,Z - Y -
Quy tắc: * X * Z | Z*X* | Z * * X | *X*Z | Kết quả: * táo cá voi * dâu tây,* X * Z
Quy tắc: - = Z | - = Z Z Z | Z - = | - = Z | Kết quả: - = cò dâu cò dâu cò dâu,- = Z Z Z
Quy tắc: Z X = * | = Z X X * | = Z X * | Z * X = | Kết quả: = lê trâu dâu đen *,= Z X X *
