source,target
"Quy tắc: + Z = X | Thay thế: X bằng "" ngựa "" , Z bằng "" việt quất """,+ Quả việt quất = Ngựa
"Quy tắc: Y * - - X | Thay thế: X bởi "" việt quất cá mập "" , Y bởi "" hải cẩu chuột """,Hải cẩu chuột * - - Quả việt quất cá mập
"Quy tắc: + X Y Y + + | Thay thế: X bằng "" chuột "" , Y bằng "" lê chuối ""","+ chuột, chuối, lê, chuối, lê + +"
"Quy tắc: X x Z = - - | Thay thế: X bởi "" blueberry buffalo "", Z bởi "" zebra shark """,Trâu việt quất Trâu quất Trâu vằn Cá mập = - -
"Quy tắc: Y Y = - Z | Thay thế: Y bằng "" chuối "" , Z bằng "" rắn hổ mang ""","chuối, chuối, chuối, chuối = - rắn hổ mang"
"Quy tắc: X * * X | Thay thế: X bởi "" cá voi """,Cá voi * * Cá voi
"Quy tắc: * X + - Z | Thay thế: X bởi "" đại bàng cá voi "", Z bởi "" lê rắn hổ mang """,* Đại bàng cá voi + - Lê rắn hổ mang
"Quy tắc: = + X Z + | Thay thế: X bởi "" cò "" , Z bởi "" cò """,= + cò + cò +
"Quy tắc: * + Y + X Z | Thay thế: X bằng "" dâu tây "", Y bằng "" blackberry apple "", Z bằng "" lê """,* + Táo Blackberry + Lê dâu tây
"Quy tắc: + Z Y * Z = | Thay thế: Y bởi "" việt quất "" , Z bởi "" việt quất chuối ""","+ Quả việt quất, chuối, việt quất * Chuối việt quất ="
"Quy tắc: Z - Y + Y | Thay thế: Y bởi "" kiwi "" , Z bởi "" chuột """,chuột - kiwi + kiwi
"Quy tắc: - = + Z Y | Thay thế: Y bởi "" cá mập "" , Z bởi "" cá voi lê """,- = + Cá mập cá mập voi lê
"Quy tắc: = Z = X | Thay thế: X bởi "" chuột "" , Z bởi "" đại bàng trâu """,= đại bàng trâu = chuột
"Quy tắc: Y = Y = = | Thay thế: Y bởi "" cò """,cò = cò = =
"Quy tắc: - Y X - | Thay thế: X bằng "" dưa hấu "", Y bằng "" chuối """,- Dưa hấu chuối -
"Quy tắc: + * X + Z | Thay thế: X bằng "" chuối "", Z bằng "" ngựa """,+ * Chuối + Ngựa
"Quy tắc: Y Y = X - - | Thay thế: X bởi "" blackberry grape "" , Y bởi "" zebra """,Ngựa vằn = nho dâu đen - -
"Quy tắc: X - + Y | Thay thế: X bằng "" dưa hấu "", Y bằng "" rắn hổ mang """,dưa hấu - + rắn hổ mang
"Quy tắc: * + X Z Y | Thay thế: X bằng "" nho "", Y bằng "" ngựa vằn "", Z bằng "" cò hải cẩu """,* + Ngựa vằn cò hải cẩu nho
"Quy tắc: X - X Z * | Thay thế: X bằng "" đại bàng "", Z bằng "" nho lê """,Đại bàng - Nho lê đại bàng *
"Quy tắc: = X - Z | Thay thế: X bởi "" cá voi hổ mang "" , Z bởi "" rắn hổ mang """,= Cá voi hổ mang - rắn hổ mang
"Quy tắc: - X Y + * X | Thay thế: X bằng "" lê "" , Y bằng "" sư tử """,- Sư tử lê + * lê
"Quy tắc: Z - = Z Z | Thay thế: Z bởi "" eagle """,đại bàng - = đại bàng đại bàng
"Quy tắc: + Y X + - | Thay thế: X bởi "" rắn hổ mang việt quất "" , Y bởi "" ngựa """,+ Rắn hổ mang việt quất ngựa + -
"Quy tắc: X * Z = | Thay thế: X bởi "" cá voi cánh cụt "", Z bởi "" cò """,Cá voi cánh cụt * cò =
"Quy tắc: - = X X + | Thay thế: X bởi "" chuột """,- = chuột chuột +
"Quy tắc: + * Y Y | Thay thế: Y bởi "" blackberry """,+ * BlackBerry BlackBerry
"Quy tắc: + X = = X | Thay thế: X bằng "" dưa hấu """,+ Dưa hấu = = Dưa hấu
"Quy tắc: Z Y + - Y - | Thay thế: Y bằng "" dưa hấu "", Z bằng "" đào """,đào dưa hấu + - dưa hấu -
"Quy tắc: Z Y Z = + | Thay thế: Y bằng "" nho "" , Z bằng "" blackberry """,BlackBerry nho BlackBerry = +
"Quy tắc: Y Z - + | Thay thế: Y bởi "" cá voi dưa hấu "", Z bởi "" chuột nho """,Chuột nho cá voi dưa hấu - +
"Quy tắc: Z Y * - Y + | Thay thế: Y bởi "" sư tử "", Z bởi "" chim cánh cụt chuối """,Chuối chim cánh cụt sư tử * - sư tử +
"Quy tắc: Z - = * X | Thay thế: X bởi "" sư tử "" , Z bởi "" sư tử nho """,sư tử nho - = * sư tử
"Quy tắc: - Z Y X + - | Thay thế: X bởi "" chuột "" , Y bởi "" ngựa vằn "" , Z bởi "" sư tử đào """,- Ngựa vằn sư tử đào + -
"Quy tắc: = X + - Y | Thay thế: X bởi "" cobra strawberry "" , Y bởi "" shark """,= dâu hổ mang + - cá mập
"Quy tắc: - Z * Y | Thay thế: Y bởi "" chuột kiwi "" , Z bởi "" blueberry horse """,- Ngựa việt quất * Kiwi chuột
"Quy tắc: + Y * X + | Thay thế: X bằng "" cá mập "" , Y bằng "" đào """,+ Đào * Cá mập +
"Quy tắc: Y Z - + Z | Thay thế: Y bởi "" rắn hổ mang "", Z bởi "" cá voi việt quất """,Cá voi việt quất rắn hổ mang - + Cá voi việt quất
"Quy tắc: Z = Z - Z = | Thay thế: Z bởi "" chim cánh cụt """,chim cánh cụt = chim cánh cụt - chim cánh cụt =
"Quy tắc: * * X X | Thay thế: X bởi "" cobra eagle """,* * Đại bàng rắn hổ mang đại bàng
"Quy tắc: * Y Y * | Thay thế: Y bởi "" cá voi dưa hấu """,* Cá voi dưa hấu cá voi *
"Quy tắc: Z X Y * * | Thay thế: X bởi "" shark "" , Y bởi "" horse eagle "" , Z bởi "" lion lion """,sư tử sư tử cá mập ngựa đại bàng * *
"Quy tắc: = X Y = X | Thay thế: X bởi "" cá voi "" , Y bởi "" đại bàng """,= đại bàng cá voi = cá voi
"Quy tắc: + Z Y X - | Thay thế: X bởi "" ngựa vằn dâu đen "", Y bởi "" blackberry "", Z bởi "" lê """,+ Lê Blackberry Blackberry Zebra -
"Quy tắc: Y * X X * | Thay thế: X bởi "" trâu hổ mang "" , Y bởi "" nho hổ mang """,Nho hổ mang * Rắn hổ mang trâu Trâu *
"Quy tắc: Z = Y + X | Thay thế: X bởi "" kiwi việt quất "" , Y bởi "" trâu "" , Z bởi "" dâu tây """,dâu tây = trâu + kiwi việt quất
"Quy tắc: * X * X * | Thay thế: X bằng "" apple """,* táo * táo *
"Quy tắc: * X - Z * Y | Thay thế: X bằng "" chim cánh cụt lê "", Y bằng "" cá voi "", Z bằng "" trâu """,* Chim cánh cụt lê - trâu * Cá voi
"Quy tắc: X X * * | Thay thế: X bởi "" cá voi """,Cá voi * *
"Quy tắc: Z - X = * | Thay thế: X bởi "" ngựa đào "" , Z bởi "" chim cánh cụt dâu tây """,Dâu tây chim cánh cụt - ngựa đào = *
"Quy tắc: Y * - Z | Thay thế: Y bằng "" chuối "", Z bằng "" lê """,chuối * - lê
"Quy tắc: Z Y * - | Thay thế: Y bởi "" cá mập cá mập "" , Z bởi "" rắn hổ mang hải cẩu """,Hải cẩu cá mập rắn hổ mang cá mập * -
"Quy tắc: = * - Y X Y | Thay thế: X bằng "" cá voi "", Y bằng "" trâu táo """,= * - trâu táo cá voi trâu táo trâu
"Quy tắc: Y - Y X * | Thay thế: X bởi "" đại bàng việt quất "" , Y bởi "" sư tử hải cẩu """,Hải cẩu sư tử - hải cẩu sư tử việt quất đại bàng *
"Quy tắc: Z * X + Y + | Thay thế: X bởi "" việt quất "", Y bởi "" đại bàng "", Z bởi "" nho """,nho * quả việt quất + đại bàng +
"Quy tắc: Z * X + + | Thay thế: X bởi "" cá voi "", Z bởi "" blackberry """,dâu đen * cá voi + +
"Quy tắc: * Z Z - + Z | Thay thế: Z bởi "" quả việt quất rắn hổ mang """,* Rắn hổ mang việt quất việt quất - + việt quất rắn hổ mang
"Quy tắc: = * x x x | Thay thế: X bởi "" kiwi """,= * kiwi kiwi kiwi
"Quy tắc: Y + Z * Y = | Thay thế: Y bằng "" đại bàng "", Z bằng "" nho """,Đại bàng + nho * Đại bàng =
"Quy tắc: X + - X Z | Thay thế: X bằng "" con dấu "", Z bằng "" dưa hấu """,con dấu + - hải cẩu dưa hấu
"Quy tắc: X * Y - - | Thay thế: X bởi "" kiwi cá voi "" , Y bởi "" kiwi """,Kiwi cá voi * Kiwi - -
"Quy tắc: * Y Z - Z | Thay thế: Y bởi "" cá mập "", Z bởi "" cá voi """,* Cá mập voi - Cá voi
"Quy tắc: X X - Y + | Thay thế: X bằng "" cò "" , Y bằng "" táo hổ mang """,cò cò - rắn hổ mang táo +
"Quy tắc: Y + X X - | Thay thế: X bằng "" dâu trâu "" , Y bằng "" ngựa vằn """,Ngựa vằn + dâu tây trâu -
"Quy tắc: + = Y Y + Y | Thay thế: Y bằng "" nho """,+ = nho + nho
"Quy tắc: Z * X Y + | Thay thế: X bằng "" đào "" , Y bằng "" táo ngựa "" , Z bằng "" dâu trâu """,Dâu tây trâu * Đào ngựa táo +
"Quy tắc: + - Y Y | Thay thế: Y bởi "" sư tử cò """,+ - Cò sư tử cò sư tử sư tử
"Quy tắc: = X * Z Z | Thay thế: X bởi "" cò kiwi "" , Z bởi "" cò nho """,= Kiwi cò * Cò nho Cò nho
"Quy tắc: Y * - X | Thay thế: X bằng "" cò hải cẩu "" , Y bằng "" rắn hổ mang """,rắn hổ mang * - cò hải cẩu
"Quy tắc: X Z - = | Thay thế: X bởi "" shark banana "", Z bởi "" kiwi lion """,cá mập chuối kiwi sư tử - =
"Quy tắc: = X Y + - | Thay thế: X bởi "" rắn hổ mang cá voi "" , Y bởi "" táo táo ""","= Rắn hổ mang cá voi, táo táo + -"
"Quy tắc: + Z Z * X + | Thay thế: X bởi "" sư tử "", Z bởi "" cá mập trâu ""","+ Cá mập trâu, Cá mập trâu * Sư tử +"
"Quy tắc: Y Z - X * | Thay thế: X bằng "" chuột "" , Y bằng "" rắn hổ mang "" , Z bằng "" đào táo """,Rắn hổ mang táo đào - chuột *
"Quy tắc: Y + - * Z | Thay thế: Y bởi "" blackberry "" , Z bởi "" strawberry penguin """,dâu đen + - * chim cánh cụt dâu tây
"Quy tắc: - Y Y = * X | Thay thế: X bằng "" trâu chuột "", Y bằng "" ngựa """,- ngựa ngựa = * trâu chuột
"Quy tắc: - Y - Z Z | Thay thế: Y bằng "" con dấu "", Z bằng "" dưa hấu """,- Hải cẩu - dưa hấu dưa hấu
"Quy tắc: Z Z Y - + | Thay thế: Y bằng "" chuối "", Z bằng "" dâu tây """,Dâu tây chuối - +
"Quy tắc: Y * Z = Y | Thay thế: Y bởi "" cá voi chuối "", Z bởi "" nho đào """,Cá voi chuối * Nho đào = Cá voi chuối
"Quy tắc: = Z + X Z = | Thay thế: X bằng "" đào "" , Z bằng "" nho """,= nho + nho đào =
"Quy tắc: - Z + X + Y | Thay thế: X bởi "" kiwi peach "", Y bởi "" lion "" , Z bởi "" horse apple """,- Táo ngựa + Đào kiwi + Sư tử
"Quy tắc: + X X = - | Thay thế: X bởi "" ngựa vằn kiwi """,+ Ngựa vằn kiwi Ngựa vằn kiwi = -
"Quy tắc: + X = Y | Thay thế: X bởi "" trâu sư tử "" , Y bởi "" kiwi đào """,+ Trâu sư tử = Kiwi đào
"Quy tắc: + X - Z Z | Thay thế: X bởi "" kiwi "" , Z bởi "" cá voi ""","+ Kiwi - cá voi, cá voi, cá voi"
"Quy tắc: * - Y * Y | Thay thế: Y bởi "" kiwi """,* - Kiwi * Kiwi
"Quy tắc: X * X - | Thay thế: X bởi "" cá voi """,Cá voi * Cá voi -
"Quy tắc: Y - Z * - | Thay thế: Y bởi "" đại bàng "" , Z bởi "" cò """,Đại bàng - Cò * -
"Quy tắc: + X Z * - | Thay thế: X bởi "" rat strawberry "", Z bởi "" kiwi grape """,+ Nho dâu tây chuột * -
"Quy tắc: * Y - Z - Y | Thay thế: Y bởi "" stork apple "" , Z bởi "" whale blueberry """,* Cò táo - quất cá voi - táo cò
"Quy tắc: - Y Y Z - - | Thay thế: Y bởi "" dưa hấu dâu đen "" , Z bởi "" dâu tây trâu """,- Dưa hấu Blackberry Blackberry Dưa hấu Dâu tây trâu - -
"Quy tắc: X + X = | Thay thế: X bằng "" ngựa """,ngựa + ngựa =
"Quy tắc: Y X Y + - + | Thay thế: X bởi "" blackberry "" , Y bởi "" horse shark """,Cá mập ngựa Blackberry Cá mập ngựa + - +
"Quy tắc: Z = + Z * | Thay thế: Z bởi "" cá mập """,Cá mập = + Cá mập *
"Quy tắc: X + + X Z | Thay thế: X bởi "" kiwi "" , Z bởi "" rắn hổ mang ngựa """,Kiwi + + Rắn hổ mang ngựa Kiwi
"Quy tắc: - Z Z * = | Thay thế: Z bởi "" kiwi chuối ""","- Kiwi chuối, chuối, kiwi * ="
"Quy tắc: = X Z + - | Thay thế: X bởi "" ngựa vằn "" , Z bởi "" kiwi kiwi ""","= ngựa vằn, kiwi, kiwi + -"
"Quy tắc: + Z X + = | Thay thế: X bởi "" hải cẩu cá mập "", Z bởi "" kiwi rắn hổ mang """,+ Hải cẩu cá mập kiwi rắn hổ mang + =
"Quy tắc: * X + X | Thay thế: X bởi "" lion peach """,* Đào sư tử + Đào sư tử
"Quy tắc: * Y Y X * | Thay thế: X bởi "" blackberry buffalo "", Y bởi "" blueberry ""","* Quả việt quất, việt quất, dâu đen, dâu đen, trâu *"
"Quy tắc: X + Z + | Thay thế: X bởi "" lion horse "" , Z bởi "" whale """,Ngựa sư tử + Cá voi +
"Quy tắc: = Y - X - | Thay thế: X bởi "" chuột "" , Y bởi "" rắn hổ mang """,= rắn hổ mang - chuột -
"Quy tắc: Y * = Z - | Thay thế: Y bằng "" chuối "", Z bằng "" việt quất """,chuối * = quả việt quất -
"Quy tắc: * X X - - | Thay thế: X bởi "" cò dưa hấu """,* Cò dưa hấu Cò dưa hấu - -
"Quy tắc: Y + = Y Y | Thay thế: Y bởi "" chuột """,chuột + = chuột chuột
"Quy tắc: + Z + - Z | Thay thế: Z bởi "" chuột ngựa vằn """,+ Chuột ngựa vằn + - Chuột ngựa vằn
"Quy tắc: - - X Z | Thay thế: X bằng "" seal "" , Z bởi "" eagle """,- - Đại bàng hải cẩu
"Quy tắc: = * Y = Z X | Thay thế: X bởi "" kiwi ngựa vằn "", Y bởi "" dưa hấu "", Z bởi "" cò """,= * dưa hấu = kiwi ngựa vằn cò
"Quy tắc: * Z = * X Z | Thay thế: X bởi "" rắn hổ mang "" , Z bởi "" trâu cò """,* Cò trâu = * Cò hổ mang trâu
"Quy tắc: X * X Z * | Thay thế: X bởi "" lion eagle "" , Z bởi "" buffalo apple """,Đại bàng sư tử * Táo trâu đại bàng sư tử *
"Quy tắc: X X + Z - | Thay thế: X bởi "" chuột cá mập "" , Z bởi "" việt quất """,chuột cá mập chuột cá mập chuột + quả việt quất -
"Quy tắc: * Z X - Y - | Thay thế: X bởi "" cá voi dâu "" , Y bởi "" chim cánh cụt chuột "" , Z bởi "" táo """,* Cá voi dâu táo - Chim cánh cụt chuột -
"Quy tắc: = Z Y * | Thay thế: Y bởi "" chuột cá voi "" , Z bởi "" quả việt quất """,= chuột cá voi việt quất *
"Quy tắc: - + X Y X - | Thay thế: X bởi "" seal blueberry "" , Y bởi "" seal zebra """,- + Hải cẩu việt quất hải cẩu việt quất việt quất hải cẩu -
"Quy tắc: - * Z Y * | Thay thế: Y bởi "" nho "" , Z bởi "" kiwi sư tử """,- * Nho kiwi sư tử *
"Quy tắc: Z * + Z Y | Thay thế: Y bởi "" kiwi "" , Z bởi "" kiwi dâu tây """,Kiwi dâu tây * + Kiwi dâu tây
"Quy tắc: - Z = Y | Thay thế: Y bởi "" cò "" , Z bởi "" sư tử """,- sư tử = cò cò
"Quy tắc: Y x x + = | Thay thế: X bởi "" kiwi dâu "" , Y bởi "" sư tử """,Sư tử dâu tây Kiwi dâu tây Kiwi + =
"Quy tắc: - - Z Y + | Thay thế: Y bằng "" hải cẩu dưa hấu "", Z bằng "" lê """,- - Hải cẩu dưa hấu lê +
"Quy tắc: = Y Z Y = | Thay thế: Y bởi "" cá mập "" , Z bởi "" dâu tây """,= cá mập dâu tây =
"Quy tắc: * Z + X = Z | Thay thế: X bởi "" blackberry "", Z bởi "" rắn hổ mang """,* rắn hổ mang + dâu đen = rắn hổ mang
"Quy tắc: Z Z + Y + | Thay thế: Y bởi "" việt quất "" , Z bởi "" táo cá mập """,Cá mập táo táo táo táo + việt quất +
"Quy tắc: Z x * + = Z | Thay thế: X bằng "" con dấu "" , Z bằng "" dâu tây """,con dấu dâu tây * + = dâu tây
"Quy tắc: = + X + X | Thay thế: X bởi "" đại bàng ngựa vằn """,= + Đại bàng ngựa vằn + Đại bàng ngựa vằn
"Quy tắc: - Z Y * = Z | Thay thế: Y bằng "" lê "" , Z bằng "" chuột """,- Lê chuột * = chuột
"Quy tắc: Z Z + * | Thay thế: Z bởi "" cá mập """,Cá mập cá mập + *
"Quy tắc: Z Y * * * Z | Thay thế: Y bởi "" shark "" , Z bởi "" blackberry whale """,Cá mập voi Blackberry * * * Cá voi Blackberry
"Quy tắc: - * X X Z | Thay thế: X bằng "" penguin peach "", Z bằng "" seal """,- * Hải cẩu đào chim cánh cụt đào
"Quy tắc: Z = Y Y + | Thay thế: Y bằng "" nho "" , Z bằng "" kiwi seal """,Con dấu kiwi = nho +
"Quy tắc: Y x Y = = - | Thay thế: X bởi "" việt quất "" , Y bởi "" trâu """,trâu việt quất trâu = = -
"Quy tắc: X x Y = - | Thay thế: X bởi "" blackberry horse "" , Y bởi "" blackberry """,blackberry ngựa blackberry ngựa blackberry blackberry = -
"Quy tắc: Z * Y Z * | Thay thế: Y bởi "" ngựa vằn "", Z bởi "" cò blackberry """,cò blackberry * cò ngựa vằn blackberry *
"Quy tắc: + Y Y = = | Thay thế: Y bởi "" đại bàng cò """,+ Cò đại bàng = =
"Quy tắc: Z * - Y | Thay thế: Y bởi "" penguin blackberry "" , Z bởi "" blackberry rat """,blackberry rat * - chim cánh cụt blackberry
"Quy tắc: Z Z * - | Thay thế: Z bởi "" dưa hấu chim cánh cụt """,Dưa hấu chim cánh cụt Dưa hấu chim cánh cụt * -
"Quy tắc: Y Z + Y - + | Thay thế: Y bởi "" dâu táo "" , Z bởi "" trâu """,Trâu dâu táo + Dâu táo - +
"Quy tắc: Y * Z Y * - | Thay thế: Y bởi "" lê blackberry "" , Z bởi "" chuột táo """,lê blackberry * táo chuột lê blackberry * -
"Quy tắc: * + Y X Z | Thay thế: X bởi "" dưa hấu "" , Y bởi "" blackberry "", Z bởi "" ngựa vằn """,* + Ngựa vằn dưa hấu Blackberry
"Quy tắc: Z Y + Z - | Thay thế: Y bằng "" cò táo "" , Z bằng "" nho """,cò nho táo + nho -
"Quy tắc: - Z - X * | Thay thế: X bởi "" dâu tây "", Z bởi "" việt quất """,- việt quất - dâu tây *
"Quy tắc: = Y Z + | Thay thế: Y bởi "" chuột đào "" , Z bởi "" chim cánh cụt dâu """,= Chim cánh cụt dâu tây chuột đào +
"Quy tắc: - = = Z Y | Thay thế: Y bởi "" seal apple "" , Z bởi "" horse strawberry """,- = = Táo hải cẩu dâu ngựa
"Quy tắc: Z Y * - | Thay thế: Y bởi "" chuối dưa hấu "", Z bởi "" việt quất """,quả việt quất dưa hấu chuối * -
"Quy tắc: Y X X * - | Thay thế: X bởi "" việt quất "" , Y bởi "" con dấu chuột """,CON DẤU CHUỘT VIỆT QUẤT VIỆT QUẤT * -
"Quy tắc: - X * Y | Thay thế: X bằng "" rắn hổ mang "" , Y bằng "" hải cẩu ngựa """,- Rắn hổ mang * Hải cẩu ngựa
"Quy tắc: Y + Y + Y - | Thay thế: Y bởi "" rắn hổ mang chuối """,Chuối hổ mang + Chuối hổ mang + Chuối hổ mang -
"Quy tắc: Z * Y * = Z | Thay thế: Y bởi "" dâu tây "" , Z bởi "" cá voi dưa hấu """,cá voi dưa hấu * dâu đào * = cá voi dưa hấu
"Quy tắc: = - X - X | Thay thế: X bởi "" cá voi cò """,= - Cá voi cò - Cá voi cò
"Quy tắc: * * Z + Z Y | Thay thế: Y bởi "" chuột "" , Z bởi "" hải cẩu cá voi """,* * Hải cẩu cá voi + Chuột hải cẩu cá voi
"Quy tắc: Y - = Y = | Thay thế: Y bằng "" táo """,táo - = táo =
"Quy tắc: X Y + * = | Thay thế: X bằng "" đào sư tử "" , Y bằng "" con dấu lê """,con dấu lê đào sư tử + * =
"Quy tắc: + + Z X | Thay thế: X bởi "" lion shark "" , Z bởi "" stork """,+ + Cá mập sư tử cò
"Quy tắc: Y Y + Y * | Thay thế: Y bởi "" sư tử kiwi """,Sư tử Kiwi Sư tử Kiwi + Sư tử Kiwi *
"Quy tắc: = Y = Z | Thay thế: Y bởi "" blackberry stork "" , Z bởi "" chuối việt quất """,= cò dâu đen = quả việt quất chuối
"Quy tắc: - Z Z * X + | Thay thế: X bằng "" cò "" , Z bằng "" dâu tây """,- Dâu tây * Cò +
"Quy tắc: Z = Y = Z | Thay thế: Y bởi "" chim cánh cụt cò "", Z bởi "" sư tử dưa hấu """,sư tử dưa hấu = chim cánh cụt cò = sư tử dưa hấu
"Quy tắc: Y + * = Y | Thay thế: Y bởi "" ngựa vằn lê """,Ngựa vằn lê + * = ngựa vằn lê
"Quy tắc: X - Y * Y | Thay thế: X bởi "" sư tử đào "" , Y bởi "" blackberry """,Sư tử đào - BlackBerry * BlackBerry
"Quy tắc: X * - X Z | Thay thế: X bởi "" dưa hấu lê "" , Z bởi "" sư tử đào """,lê dưa hấu * - lê dưa hấu đào sư tử
"Quy tắc: * + X Y X | Thay thế: X bằng "" chim cánh cụt "", Y bằng "" chim cánh cụt """,* + Chim cánh cụt chim cánh cụt
"Quy tắc: + Z Z = X | Thay thế: X bằng "" ngựa "" , Z bằng "" kiwi đào """,+ Kiwi đào đào = ngựa
"Quy tắc: Z + X X + | Thay thế: X bởi "" cá voi ngựa vằn "" , Z bởi "" dưa hấu ""","dưa hấu + ngựa vằn, ngựa vằn, cá voi ngựa vằn +"
"Quy tắc: X + Z = - | Thay thế: X bằng "" lê "" , Z bằng "" chim cánh cụt trâu """,lê + chim cánh cụt trâu = -
"Quy tắc: + Z + Y Y | Thay thế: Y bởi "" lion whale "" , Z bởi "" eagle """,+ Đại bàng + Cá voi sư tử Cá voi sư tử
"Quy tắc: X = + Z Y + | Thay thế: X bằng "" dâu tây ngựa "" , Y bằng "" trâu ngựa "" , Z bằng "" việt quất """,dâu tây ngựa = + trâu ngựa vằn việt quất +
"Quy tắc: X X = + X | Thay thế: X bởi "" trâu """,trâu = + trâu
"Quy tắc: + Z X - Z | Thay thế: X bởi "" quả việt quất cá voi "", Z bởi "" chuột """,+ Quả việt quất cá voi chuột - chuột
"Quy tắc: Y Z + X * - | Thay thế: X bởi "" dâu tây "" , Y bởi "" kiwi cobra "" , Z bởi "" chim cánh cụt ngựa vằn """,Kiwi rắn hổ mang ngựa vằn chim cánh cụt + dâu tây * -
"Quy tắc: * Z Z Y - | Thay thế: Y bằng "" ngựa "" , Z bằng "" đại bàng """,* Ngựa đại bàng -
"Quy tắc: Z + Y - Z | Thay thế: Y bởi "" con dấu nho "", Z bởi "" cò chuột """,Cò chuột + Hải cẩu nho - Cò chuột
"Quy tắc: X Y + - | Thay thế: X bởi "" lion "" , Y bởi "" việt quất blackberry """,Sư tử việt quất BlackBerry + -
"Quy tắc: = X - X - | Thay thế: X bởi "" dưa hấu chuột """,= Dưa hấu chuột - Dưa hấu chuột -
"Quy tắc: - Z Y = | Thay thế: Y bởi "" rắn hổ mang "" , Z bởi "" trâu cá mập """,- Rắn hổ mang trâu cá mập =
"Quy tắc: - Z = X * Y | Thay thế: X bởi "" sư tử "" , Y bởi "" cá voi cá mập "" , Z bởi "" chuối dâu tây """,- Dâu chuối = sư tử * cá mập voi
"Quy tắc: X + Z Y * | Thay thế: X bởi "" đại bàng ngựa "" , Y bởi "" kiwi "" , Z bởi "" việt quất dưa hấu """,Đại bàng ngựa + Kiwi việt quất dưa hấu *
"Quy tắc: Y Y + + + | Thay thế: Y bởi "" táo nho """,nho táo nho táo + + +
"Quy tắc: + X X X - | Thay thế: X bằng "" lê """,+ Lê lê -
"Quy tắc: Z - Y X + | Thay thế: X bởi "" ngựa vằn lê "" , Y bởi "" cò táo "" , Z bởi "" rắn hổ mang ""","rắn hổ mang - cò táo, lê, ngựa vằn +"
"Quy tắc: X Y Y + * | Thay thế: X bởi "" chim cánh cụt "" , Y bởi "" quả việt quất lê """,chim cánh cụt lê việt quất lê việt quất + *
