question,target
"Nếu một con gấu có màu tím, thì con gấu là tốt.
Nếu một con gấu buồn hoặc mềm mại, thì con gấu sạch sẽ.
Nếu một con gấu có màu xanh lá cây, thì con gấu thật nhàm chán.
Nếu một con gấu tròn và nhanh, thì con gấu thật đáng sợ.
Nếu một con gấu đẹp, thì con gấu chậm.
Điều:
Con gấu trẻ và mềm mại.
Những điều sau đây có thể được xác định về con gấu:",Con gấu sạch sẽ.
"Nếu một cây anh túc nhỏ hoặc lớn, thì cây anh túc nóng.
Nếu một cây anh túc tròn hoặc hạnh phúc, thì cây anh túc chậm.
Nếu một cây anh túc già và nhàm chán, thì cây anh túc rất buồn.
Nếu một cây anh túc đáng sợ hoặc xấu, thì cây anh túc mềm.
Nếu một cây anh túc trẻ và đẹp, thì cây anh túc là tốt.
Điều:
Cây anh túc nhanh và nhỏ.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc nóng.
"Nếu Carol nóng bỏng, thì Carol còn trẻ.
Nếu Carol yếu và nhanh, thì Carol có màu tím.
Nếu Carol già hoặc chậm, thì Carol có màu đỏ.
Nếu Carol mềm mại, thì Carol có màu xanh.
Nếu Carol tròn trịa hoặc xinh đẹp, thì Carol rất thông minh.
Điều:
Carol có màu xanh và già.
Những điều sau đây có thể được xác định về Carol:",Carol có màu đỏ.
"Nếu Carol mạnh mẽ và buồn bã, thì Carol thật nhàm chán.
Nếu Carol xinh đẹp hoặc sạch sẽ, thì Carol thật đáng sợ.
Nếu Carol nhỏ hoặc tròn, thì Carol mềm.
Nếu Carol vui vẻ hay nhanh nhẹn, thì Carol yếu đuối.
Nếu Carol to lớn và thông minh, thì Carol đã già.
Điều:
Carol buồn và tròn trịa.
Những điều sau đây có thể được xác định về Carol:",Carol mềm mại.
"Nếu Bob xanh và tốt, thì Bob mạnh mẽ.
Nếu Bob hạnh phúc, thì Bob đã già.
Nếu Bob chậm, thì Bob tròn.
Nếu Bob nhanh, thì Bob thật nhàm chán.
Nếu Bob mềm mại hoặc xinh đẹp, thì Bob lớn.
Điều:
Bob chậm chạp và xinh đẹp.
Những điều sau đây có thể được xác định về Bob:",Bob tròn và to.
"Nếu Dan hạnh phúc hay già đi, thì Dan là tốt.
Nếu Dan buồn và trẻ, thì Dan mềm mại.
Nếu Dan yếu đuối hoặc nhàm chán, thì Dan mạnh mẽ.
Nếu Dan thông minh, thì Dan chậm.
Nếu Dan sạch sẽ, thì Dan tròn.
Điều:
Dan nhỏ và già.
Những điều sau đây có thể được xác định về Dan:",Dan là tốt.
"Nếu Alice nhanh hoặc nhàm chán, thì Alice nhỏ.
Nếu Alice tốt hay buồn, thì Alice rất đẹp.
Nếu Alice to lớn và yếu đuối, thì Alice nóng bỏng.
Nếu Alice xấu, thì Alice có màu đỏ.
Nếu Alice thông minh và đáng sợ, thì Alice lạnh lùng.
Điều:
Alice xấu và già.
Những điều sau đây có thể được xác định về Alice:",Alice có màu đỏ.
"Nếu Alice nhỏ, thì Alice xinh đẹp.
Nếu Alice đỏ và nhàm chán, thì Alice mạnh mẽ.
Nếu Alice giỏi, thì Alice thông minh.
Nếu Alice mềm và xanh, thì Alice chậm.
Nếu Alice tròn hoặc buồn, thì Alice nóng bỏng.
Điều:
Alice nhỏ bé và chậm chạp.
Những điều sau đây có thể được xác định về Alice:",Alice thật xinh đẹp.
"Nếu Bob hạnh phúc, thì Bob chậm.
Nếu Bob nhỏ và tròn, thì Bob tốt.
Nếu Bob xấu, thì Bob thông minh.
Nếu Bob có màu đỏ, thì Bob thật đáng sợ.
Nếu Bob nhàm chán hoặc mạnh mẽ, thì Bob rất nhanh.
Điều:
Bob nhàm chán và già nua.
Những điều sau đây có thể được xác định về Bob:",Bob rất nhanh.
"Nếu Erin xinh đẹp hay thông minh, thì Erin đang hạnh phúc.
Nếu Erin nóng bỏng hoặc đáng sợ, thì Erin có màu xanh lá cây.
Nếu Erin tròn, thì Erin lạnh.
Nếu Erin xấu hoặc tím, thì Erin đã già.
Nếu Erin mạnh mẽ hoặc đỏ, thì Erin thật nhàm chán.
Điều:
Erin chậm và đỏ.
Những điều sau đây có thể được xác định về Erin:",Erin thật nhàm chán.
"Nếu Carol nhanh, thì Carol rất đẹp.
Nếu Carol chậm chạp, thì Carol rất thông minh.
Nếu Carol tím tái và lạnh lùng, thì Carol buồn.
Nếu Carol mạnh mẽ và yếu đuối, thì Carol hạnh phúc.
Nếu Carol sạch sẽ, thì Carol rất lớn.
Điều:
Carol có màu tím và sạch sẽ.
Những điều sau đây có thể được xác định về Carol:",Carol rất lớn.
"Nếu chuột có màu tím hoặc mềm, thì chuột nóng.
Nếu một con chuột thông minh, thì con chuột đã cũ.
Nếu một con chuột đáng sợ và đỏ, thì con chuột rất mạnh.
Nếu chuột chậm và sạch, thì chuột tròn.
Nếu một con chuột lớn hoặc màu xanh lá cây, thì con chuột rất đẹp.
Điều:
Chuột mềm và lạnh.
Những điều sau đây có thể được xác định về chuột:",Chuột nóng.
"Nếu một con mèo nhanh, thì con mèo yếu.
Nếu một con mèo sạch sẽ, thì con mèo xấu.
Nếu một con mèo đáng sợ và hạnh phúc, thì con mèo rất mạnh mẽ.
Nếu một con mèo có màu đỏ, thì con mèo tròn.
Nếu một con mèo nóng, thì con mèo mềm.
Điều:
Con mèo yếu và đỏ.
Những điều sau đây có thể được xác định về con mèo:",Con mèo tròn.
"Nếu một con gấu trúc có màu xanh và đẹp, thì gấu trúc đã già.
Nếu một con gấu trúc nhàm chán, thì gấu trúc thật đáng sợ.
Nếu một con gấu trúc có màu đỏ hoặc tím, thì gấu trúc rất thông minh.
Nếu một con gấu trúc tròn và nóng, thì gấu trúc rất vui.
Nếu một con gấu trúc mềm hoặc buồn, thì gấu trúc rất khỏe.
Điều:
Gấu trúc hạnh phúc và tròn.
Những điều sau đây có thể được xác định về gấu trúc:",Sự không có.
"Nếu một cây anh túc còn nhỏ, thì cây anh túc sạch.
Nếu một cây anh túc nhàm chán, thì cây anh túc có màu tím.
Nếu một cây anh túc có màu đỏ, thì cây anh túc là xấu.
Nếu một cây anh túc thông minh và yếu đuối, thì cây anh túc đã già.
Nếu một cây anh túc nhanh và nóng, thì cây anh túc nhỏ.
Điều:
Cây anh túc rất đẹp và đáng sợ.
Những điều sau đây có thể được xác định về cây anh túc:",Sự không có.
"Nếu một cây khỏe và già, thì cây có màu đỏ.
Nếu một cái cây nóng hoặc đẹp, thì cây đó thông minh.
Nếu một cái cây nhỏ và chậm, thì cây thật nhàm chán.
Nếu một cây tốt và mềm, thì cây hạnh phúc.
Nếu một cây có màu tím hoặc tròn, thì cây còn non.
Điều:
Cây sạch đẹp.
Những điều sau đây có thể được xác định về cây:",Cây thông minh.
"Nếu một cây già và sạch sẽ, thì cây đó thật nhàm chán.
Nếu một cái cây đẹp, thì cây có màu xanh.
Nếu một cây xấu, thì cây lạnh.
Nếu một cây tốt, thì cây có màu tím.
Nếu một cây yếu, thì cây to.
Điều:
Cây tốt và yếu.
Những điều sau đây có thể được xác định về cây:",Cây có màu tím và to.
"Nếu Carol còn trẻ và lạnh, thì Carol nóng.
Nếu Carol buồn hoặc sạch sẽ, thì Carol có màu tím.
Nếu Carol chậm chạp hoặc thông minh, thì Carol thật đáng sợ.
Nếu Carol nhỏ bé và hạnh phúc, thì Carol thật tệ.
Nếu Carol xinh đẹp và tròn trịa, thì Carol mềm mại.
Điều:
Carol buồn và xanh.
Những điều sau đây có thể được xác định về Carol:",Carol có màu tím.
"Nếu Erin buồn và đỏ, thì Erin còn trẻ.
Nếu Erin thông minh và sạch sẽ, thì Erin chậm.
Nếu Erin nhanh và yếu, thì Erin nhỏ.
Nếu Erin nhàm chán và tím tái, thì Erin nóng bỏng.
Nếu Erin có màu xanh lá cây, thì Erin lớn.
Điều:
Erin là màu xanh lá cây và tốt.
Những điều sau đây có thể được xác định về Erin:",Erin to lớn.
"Nếu một con voi đáng sợ hoặc hạnh phúc, thì con voi có màu tím.
Nếu một con voi nhàm chán và trẻ trung, thì con voi có màu xanh.
Nếu một con voi già, thì con voi xấu.
Nếu một con voi có màu đỏ, thì con voi rất đẹp.
Nếu một con voi lớn, thì con voi có màu xanh lá cây.
Điều:
Con voi đáng sợ và trẻ trung.
Những điều sau đây có thể được xác định về con voi:",Con voi có màu tím.
"Nếu Bob lạnh, thì Bob mạnh mẽ.
Nếu Bob có màu xanh, thì Bob yếu.
Nếu Bob đáng sợ và nhanh nhẹn, thì Bob là tốt.
Nếu Bob nhỏ và màu xanh lá cây, thì Bob lớn.
Nếu Bob nóng, thì Bob có màu tím.
Điều:
Bob nóng và buồn.
Những điều sau đây có thể được xác định về Bob:",Bob có màu tím.
"Nếu một con sư tử còn nhỏ, thì sư tử rất đẹp.
Nếu một con sư tử tròn, thì sư tử có màu xanh.
Nếu một con sư tử già hoặc tím, thì sư tử thật nhàm chán.
Nếu một con sư tử mạnh mẽ và to lớn, thì sư tử chậm.
Nếu một con sư tử buồn và mềm mại, thì sư tử là tốt.
Điều:
Con sư tử to và xanh.
Những điều sau đây có thể được xác định về sư tử:",Sự không có.
"Nếu một con mèo tròn, thì con mèo lạnh.
Nếu một con mèo có màu xanh, thì con mèo nhỏ.
Nếu một con mèo thông minh và xinh đẹp, thì con mèo còn nhỏ.
Nếu một con mèo hạnh phúc hoặc sạch sẽ, thì con mèo nóng.
Nếu một con mèo đáng sợ hoặc tốt, thì con mèo lớn.
Điều:
Con mèo có màu xanh và tròn.
Những điều sau đây có thể được xác định về con mèo:",Con mèo lạnh và nhỏ.
"Nếu một cây anh túc lạnh hoặc trẻ, thì cây anh túc có màu xanh lá cây.
Nếu một cây anh túc có màu tím và yếu, thì cây anh túc rất thông minh.
Nếu một cây anh túc sạch, thì cây anh túc rất mạnh.
Nếu một cây anh túc mềm và nóng, thì cây anh túc chậm.
Nếu một cây anh túc nhàm chán hoặc hạnh phúc, thì cây anh túc có màu xanh.
Điều:
Cây anh túc lạnh và buồn.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc có màu xanh lá cây.
"Nếu một bông hoa hướng dương nhỏ và tròn, thì hoa hướng dương đã già.
Nếu một bông hoa hướng dương đáng sợ, thì hoa hướng dương là xấu.
Nếu một bông hoa hướng dương có màu tím và nhanh, thì hoa hướng dương là thông minh.
Nếu một bông hoa hướng dương còn non hoặc sạch, thì hoa hướng dương có màu xanh lá cây.
Nếu một bông hoa hướng dương lớn hoặc đẹp, thì hoa hướng dương có màu xanh.
Điều:
Hoa hướng dương thông minh và yếu.
Những điều sau đây có thể được xác định về hướng dương:",Sự không có.
"Nếu một con hà mã lạnh, thì hà mã là tốt.
Nếu một con hà mã có màu đỏ, thì hà mã có màu xanh.
Nếu một con hà mã tròn, thì hà mã yếu.
Nếu một con hà mã còn trẻ và hạnh phúc, thì hà mã sạch sẽ.
Nếu một con hà mã nhanh và mềm, thì hà mã rất thông minh.
Điều:
Hà mã lạnh và mềm.
Những điều sau đây có thể được xác định về hà mã:",Con hà mã là tốt.
"Nếu bồ công anh lạnh, thì bồ công anh thật đáng sợ.
Nếu một cây bồ công anh già và nóng, thì bồ công anh sạch.
Nếu một cây bồ công anh chậm, thì bồ công anh là tốt.
Nếu một cây bồ công anh mềm, thì bồ công anh là hạnh phúc.
Nếu một cây bồ công anh có màu đỏ, thì bồ công anh lớn.
Điều:
Bồ công anh nóng và chậm.
Những điều sau đây có thể được xác định về bồ công anh:",Bồ công anh là tốt.
"Nếu Erin lớn và nhỏ, thì Erin xấu.
Nếu Erin sạch sẽ hay buồn, thì Erin có màu xanh lá cây.
Nếu Erin thông minh, thì Erin tốt.
Nếu Erin đáng sợ, thì Erin có màu xanh.
Nếu Erin chậm, thì Erin nóng.
Điều:
Erin thông minh và mềm mại.
Những điều sau đây có thể được xác định về Erin:",Erin là tốt.
"Nếu một con hổ tròn hoặc màu xanh lá cây, thì con hổ còn nhỏ.
Nếu một con hổ buồn và sạch sẽ, thì con hổ thật đáng sợ.
Nếu một con hổ xấu và nhanh, thì con hổ rất mạnh.
Nếu một con hổ vui vẻ và chậm chạp, thì con hổ lạnh.
Nếu một con hổ nóng hoặc tốt, thì con hổ có màu xanh.
Điều:
Con hổ rất đẹp và xanh.
Những điều sau đây có thể được xác định về hổ:",Con hổ còn nhỏ.
"Nếu một bông hồng là đáng sợ, thì hoa hồng yếu.
Nếu một bông hồng thông minh hoặc lạnh, thì hoa hồng có hình tròn.
Nếu một bông hồng già và khỏe, thì hoa hồng là xấu.
Nếu một bông hồng có màu xanh lá cây, thì hoa hồng có màu tím.
Nếu một bông hồng sạch hoặc tốt, thì hoa hồng lớn.
Điều:
Hoa hồng nhanh và nhỏ.
Những điều sau đây có thể được xác định về hoa hồng:",Sự không có.
"Nếu Dan yếu hoặc trẻ, thì Dan mạnh mẽ.
Nếu Dan lạnh, thì Dan tròn.
Nếu Dan nóng và xấu, thì Dan rất đẹp.
Nếu Dan tốt, thì Dan hạnh phúc.
Nếu Dan sạch, thì Dan có màu xanh.
Điều:
Dan tím và trẻ.
Những điều sau đây có thể được xác định về Dan:",Dan rất mạnh mẽ.
"Nếu một con hươu cao cổ nhỏ, thì hươu cao cổ tròn.
Nếu một con hươu cao cổ còn nhỏ, thì hươu cao cổ là tốt.
Nếu một con hươu cao cổ hạnh phúc, thì hươu cao cổ có màu xanh lá cây.
Nếu một con hươu cao cổ đáng sợ, thì hươu cao cổ sạch sẽ.
Nếu một con hươu cao cổ đẹp và nóng bỏng, thì hươu cao cổ rất nhanh.
Điều:
Hươu cao cổ còn trẻ và buồn.
Những điều sau đây có thể được xác định về hươu cao cổ:",Hươu cao cổ là tốt.
"Nếu một cây bồ công anh đẹp và buồn, thì bồ công anh hạnh phúc.
Nếu một cây bồ công anh xấu và nhỏ, thì bồ công anh chậm.
Nếu bồ công anh nóng hoặc mềm, thì bồ công anh có màu xanh lá cây.
Nếu bồ công anh lạnh hoặc thông minh, thì bồ công anh là tốt.
Nếu một cây bồ công anh có màu đỏ, thì bồ công anh thật đáng sợ.
Điều:
Bồ công anh mềm và to.
Những điều sau đây có thể được xác định về bồ công anh:",Bồ công anh có màu xanh lá cây.
"Nếu Bob hạnh phúc hoặc nhanh chóng, thì Bob có màu đỏ.
Nếu Bob đẹp, thì Bob có màu xanh.
Nếu Bob buồn và lạnh lùng, thì Bob xấu.
Nếu Bob đáng sợ hoặc già, thì Bob nhỏ.
Nếu Bob chậm chạp hoặc mềm mại, thì Bob còn trẻ.
Điều:
Bob mềm mại và đỏ.
Những điều sau đây có thể được xác định về Bob:",Bob còn trẻ.
"Nếu một mềm, thì là tốt.
Nếu một tròn hoặc non, thì sạch sẽ.
Nếu một nhanh, thì chậm.
Nếu một có màu tím hoặc hạnh phúc, thì rất đẹp.
Nếu một khỏe, thì có màu xanh.
Điều:
yếu đuối và hạnh phúc.
Những điều sau đây có thể được xác định về:",rất đẹp.
"Nếu một bông hoa hướng dương yếu và màu xanh, thì hoa hướng dương buồn.
Nếu một bông hoa hướng dương mềm và màu xanh lá cây, thì hoa hướng dương nhỏ.
Nếu một bông hoa hướng dương nóng, thì hoa hướng dương có màu đỏ.
Nếu một bông hoa hướng dương sạch, thì hướng dương chậm.
Nếu một bông hoa hướng dương nhàm chán, thì hoa hướng dương tròn.
Điều:
Hoa hướng dương có màu xanh và nhàm chán.
Những điều sau đây có thể được xác định về hướng dương:",Hoa hướng dương tròn.
"Nếu một cây bồ công anh đẹp và hạnh phúc, thì bồ công anh còn trẻ.
Nếu một cây bồ công anh là xấu hoặc lớn, thì bồ công anh là buồn.
Nếu bồ công anh mềm hoặc đáng sợ, thì bồ công anh sạch.
Nếu bồ công anh lạnh hoặc mạnh, thì bồ công anh có màu xanh.
Nếu bồ công anh yếu, thì bồ công anh nhỏ.
Điều:
Bồ công anh có màu đỏ và đẹp.
Những điều sau đây có thể được xác định về bồ công anh:",Sự không có.
"Nếu một cây anh túc xấu hoặc hạnh phúc, thì cây anh túc sạch.
Nếu một cây anh túc mạnh mẽ và màu xanh, thì cây anh túc lạnh.
Nếu một cây anh túc nóng, thì cây anh túc còn non.
Nếu một cây anh túc là tốt, thì cây anh túc là đáng sợ.
Nếu một cây anh túc có màu đỏ hoặc tròn, thì cây anh túc rất to.
Điều:
Cây anh túc mềm và tròn.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc to.
"Nếu một cây bồ công anh thông minh và nhỏ, thì bồ công anh là tốt.
Nếu một cây bồ công anh sạch, thì bồ công anh lớn.
Nếu một cây bồ công anh là đáng sợ, thì bồ công anh là buồn.
Nếu một cây bồ công anh nhàm chán và mạnh mẽ, thì bồ công anh tròn.
Nếu bồ công anh nhanh, thì bồ công anh còn non.
Điều:
Bồ công anh nhanh và đỏ.
Những điều sau đây có thể được xác định về bồ công anh:",Bồ công anh còn trẻ.
"Nếu Dan có màu xanh lam hoặc xanh lá cây, thì Dan thông minh.
Nếu Dan nhàm chán, thì Dan mềm mại.
Nếu Dan buồn và yếu đuối, thì Dan đã lớn.
Nếu Dan già hay đẹp, thì Dan xấu.
Nếu Dan tròn, thì Dan nhanh.
Điều:
Dan yếu đuối và xinh đẹp.
Những điều sau đây có thể được xác định về Dan:",Dan là xấu.
"Nếu một cây bồ công anh thông minh và nóng, thì bồ công anh đã già.
Nếu một cây bồ công anh có màu xanh và lạnh, thì bồ công anh rất vui.
Nếu một cây bồ công anh có màu đỏ và tím, thì bồ công anh thật đáng sợ.
Nếu một cây bồ công anh tốt hay nhỏ, thì bồ công anh còn non.
Nếu một cây bồ công anh mềm, thì bồ công anh lớn.
Điều:
Bồ công anh trẻ trung và hạnh phúc.
Những điều sau đây có thể được xác định về bồ công anh:",Sự không có.
"Nếu một con voi yếu và nhanh, thì con voi chậm.
Nếu một con voi còn nhỏ, thì con voi rất khỏe.
Nếu một con voi đáng sợ, thì con voi nhỏ.
Nếu một con voi sạch sẽ, thì con voi có màu xanh lá cây.
Nếu một con voi nhàm chán hoặc thông minh, thì con voi đang hạnh phúc.
Điều:
Con voi đáng sợ và yếu đuối.
Những điều sau đây có thể được xác định về con voi:",Con voi nhỏ.
"Nếu một cây anh túc còn non và khỏe, thì cây anh túc yếu.
Nếu một cây anh túc nhanh, thì cây anh túc có màu xanh.
Nếu một cây anh túc nhàm chán và buồn, thì cây anh túc chậm.
Nếu một cây anh túc là tốt hoặc nóng, thì cây anh túc là lớn.
Nếu một cây anh túc đẹp hoặc đáng sợ, thì cây anh túc có màu tím.
Điều:
Cây anh túc thông minh và tốt.
Những điều sau đây có thể được xác định về cây anh túc:",Cây anh túc to.
"Nếu một con mèo tròn hoặc tốt, thì con mèo có màu tím.
Nếu một con mèo đẹp hoặc màu xanh lá cây, thì con mèo rất nhanh.
Nếu một con mèo yếu hoặc khỏe, thì con mèo lớn.
Nếu một con mèo có màu xanh hoặc trẻ, thì con mèo lạnh.
Nếu một con mèo nóng hoặc đáng sợ, thì con mèo sạch sẽ.
Điều:
Con mèo thật đáng sợ và hạnh phúc.
Những điều sau đây có thể được xác định về con mèo:",Con mèo sạch sẽ.
"Nếu Carol chậm chạp và già nua, thì Carol rất tệ.
Nếu Carol tròn và xanh lá cây, thì Carol có màu đỏ.
Nếu Carol yếu, thì Carol nhanh.
Nếu Carol xinh đẹp, thì Carol có màu tím.
Nếu Carol thông minh, thì Carol thật nhàm chán.
Điều:
Carol nhanh chóng và sạch sẽ.
Những điều sau đây có thể được xác định về Carol:",Sự không có.
"Nếu một bông hồng thông minh, thì hoa hồng buồn.
Nếu một bông hồng sạch, thì hoa hồng hạnh phúc.
Nếu một bông hồng đáng sợ hoặc nóng, thì hoa hồng lớn.
Nếu một bông hồng mạnh mẽ và tốt, thì hoa hồng có màu đỏ.
Nếu một bông hồng lạnh hoặc tròn, thì hoa hồng nhỏ.
Điều:
Hoa hồng xấu và nóng.
Những điều sau đây có thể được xác định về hoa hồng:",Hoa hồng to.
"Nếu một con nhím xấu và đẹp, thì con nhím nóng.
Nếu một con nhím có màu xanh và đỏ, thì con nhím yếu.
Nếu một con nhím hạnh phúc, thì con nhím buồn.
Nếu một con nhím còn nhỏ hoặc lớn, thì con nhím chậm.
Nếu một con nhím lạnh, thì con nhím tròn.
Điều:
Con nhím nhàm chán và hạnh phúc.
Những điều sau đây có thể được xác định về con nhím:",Con nhím buồn.
"Nếu Dan hạnh phúc, thì Dan có màu xanh lá cây.
Nếu Dan nhàm chán, thì Dan rất đẹp.
Nếu Dan lạnh, thì Dan đã già.
Nếu Dan mềm mại, thì Dan lớn.
Nếu Dan thông minh hoặc tím, thì Dan nóng.
Điều:
Dan tròn và nhỏ.
Những điều sau đây có thể được xác định về Dan:",Sự không có.
"Nếu một con sóc nóng hoặc xấu, thì con sóc có màu đỏ.
Nếu một con sóc sạch hoặc nhỏ, thì con sóc lớn.
Nếu một con sóc hạnh phúc, thì con sóc rất nhanh.
Nếu một con sóc mềm, thì con sóc có màu tím.
Nếu một con sóc có màu xanh lá cây hoặc lạnh, thì con sóc yếu.
Điều:
Con sóc sạch sẽ và hạnh phúc.
Những điều sau đây có thể được xác định về con sóc:",Con sóc to và nhanh.
"Nếu một con mèo xấu và nhỏ, thì con mèo rất đẹp.
Nếu một con mèo nhàm chán hoặc mềm mại, thì con mèo rất khỏe.
Nếu một con mèo sạch sẽ hoặc đáng sợ, thì con mèo nóng.
Nếu một con mèo tròn và buồn, thì con mèo hạnh phúc.
Nếu một con mèo có màu tím, thì con mèo có màu xanh.
Điều:
Con mèo sạch sẽ và nhỏ.
Những điều sau đây có thể được xác định về con mèo:",Con mèo nóng.
"Nếu một con hươu cao cổ đáng sợ hoặc nhanh nhẹn, thì hươu cao cổ lạnh.
Nếu một con hươu cao cổ xinh đẹp và hạnh phúc, thì hươu cao cổ sạch sẽ.
Nếu một con hươu cao cổ thông minh, thì hươu cao cổ là tốt.
Nếu một con hươu cao cổ mềm và to, thì hươu cao cổ là xấu.
Nếu một con hươu cao cổ nóng, thì hươu cao cổ chậm.
Điều:
Hươu cao cổ buồn và đáng sợ.
Những điều sau đây có thể được xác định về hươu cao cổ:",Hươu cao cổ lạnh.
"Nếu một con sư tử mạnh mẽ hoặc to lớn, thì sư tử đang buồn.
Nếu một con sư tử có màu xanh và hạnh phúc, thì sư tử sạch sẽ.
Nếu một con sư tử nhỏ và yếu, thì sư tử nóng.
Nếu một con sư tử có màu đỏ, thì sư tử là xấu.
Nếu một con sư tử nhanh và trẻ, thì sư tử lạnh.
Điều:
Con sư tử có màu đỏ và trẻ.
Những điều sau đây có thể được xác định về sư tử:",Con sư tử là xấu.
"Nếu một con hươu cao cổ chậm và to, thì hươu cao cổ có màu tím.
Nếu một con hươu cao cổ tròn, thì hươu cao cổ rất vui.
Nếu một con hươu cao cổ còn nhỏ, thì hươu cao cổ có màu xanh.
Nếu một con hươu cao cổ có màu đỏ và nhàm chán, thì hươu cao cổ yếu.
Nếu một con hươu cao cổ nhỏ, thì hươu cao cổ sạch sẽ.
Điều:
Hươu cao cổ mạnh mẽ và trẻ trung.
Những điều sau đây có thể được xác định về hươu cao cổ:",Hươu cao cổ có màu xanh.
