source,target
Quy tắc: X * + Y | X * + Y | * Y X + | + * Y X | Kết quả: + * chuối ngựa,+ * Y X
Quy tắc: Z Y Z + + | + Z Y + | Z + Y + | Y + + Z | Kết quả: sư tử táo đào sư tử + +,Z Y Z + +
Quy tắc: Z - X * | - * Z X | * Z - X | * Z X - | Kết quả: - * Nho ngựa vằn,- * Z X
Quy tắc: * X - + | X - + * | - * X X + | + * - X | Kết quả: - * lê +,- * X X +
Quy tắc: Y + = Z - | Y - Z = + | = Z + Z Y - | + Y - = Z | Kết quả: = dưa hấu + dưa hấu -,= Z + Z Y -
Quy tắc: Y X = - * | = X * Y - | = - X Y * | - = * x x y | Kết quả: - = * eagle nho eagle nho dâu tây,- = * X X Y
Quy tắc: * Y * X + | * + * Y X | + * * Y X | + * Y X * | Kết quả: * cá mập * sư tử việt quất +,* Y * X +
Quy tắc: = Y X + + | X X + + = Y | X Y = + + | = X + + Y | Kết quả: blackberry blackberry + + = rắn hổ mang đào,X X + + = Y
Quy tắc: Y + * Z | Y Z * + | Y * + Z | + Z Y * | Kết quả: táo nho +* đại bàng chim cánh cụt,Y + * Z
Quy tắc: = Y - * | = * - Y | = * Y Y - | Y * = - | Kết quả: = * ngựa vằn -,= * Y Y -
Quy tắc: + Z = | Z Z = + | + Z = | Z + = | Kết quả: ngựa dâu tây = +,Z Z = +
Quy tắc: + = Y Z | = + Y Z | Y Z = + | Y + = Z | Kết quả: = + dâu tây ngựa vằn lê chim cánh cụt,= + Y Z
Quy tắc: - Y * + Y | - + * Y | * Y + - | Y - * + | Kết quả: - dâu hổ mang * + dâu hổ mang,- Y * + Y
Quy tắc: + * Y = | = Y * + | = * + Y Y | + = * Y | Kết quả: = * + cá voi,= * + Y Y
Quy tắc: = X - Y + | Y X + - = | X = Y - + | - + X Y X = | Kết quả: - + dưa hấu nho =,- + X Y X =
Quy tắc: * X = Y | * = Y X | X Y = * | = X Y * | Kết quả: * = cá mập ngựa vằn,* = Y X
Quy tắc: = X X + - Z | - = + X Z | - Z X = + | - X Z + = | Kết quả: = cá mập cá mập + - đại bàng ngựa,= X X + - Z
Quy tắc: * Z - Y | * - Y Z | * Y - Z | Y Z * - | Kết quả: * - ngựa vằn dâu đen,* - Y Z
Quy tắc: + + = X X | = X + + | + X = + | = + + X | Kết quả: + + = sư tử ngựa sư tử,+ + = X X
Quy tắc: Y + X * | Y X + * | Y * + X X | + Y * X | Kết quả: nho * + quả việt quất nho việt quất nho,Y * + X X
Quy tắc: + Y + Z | Z + Y Y + | + Z Y + | Z + + Y | Kết quả: dưa hấu + đào đào +,Z + Y Y +
Quy tắc: * + Y * | + Y Y * * | * * Y + | + Y * * | Kết quả: + cá voi * *,+ Y Y * *
Quy tắc: = Z = Y | Z = Y = | = Z = Y | Y = = Z | Kết quả: = dâu đen = dâu tây chim cánh cụt,= Z = Y
Quy tắc: + Y * | Y Y * + | * + Y | Y + * | Kết quả: rắn hổ mang * +,Y Y * +
Quy tắc: + - Y = | Y + - Y = | - = Y + | - + Y = | Kết quả: kiwi nho + - kiwi nho =,Y + - Y =
Quy tắc: * X - Y | Y - Y X * | Y * X - | - X * Y | Kết quả: hải cẩu sư tử - hải cẩu sư tử việt quất đại bàng *,Y - Y X *
Quy tắc: + - X | X - + | X - + X X | - + X | Kết quả: rắn hổ mang đào - + rắn hổ mang đào đào,X - + X X
Quy tắc: * X Z = | Z X = * | Z * = Z X | * X = Z | Kết quả: chim cánh cụt ngựa vằn * = cá mập dâu đen chim cánh cụt ngựa vằn,Z * = Z X
Quy tắc: X + + | + + X | X + + | + X X + | Kết quả: + cò +,+ X X +
Quy tắc: + Z X - | Z + - X Z | - + X Z | Z - + X | Kết quả: nho việt quất + - chuối lê việt quất nho,Z + - X Z
Quy tắc: - - + Z X | X + Z Z - - | - X - + Z | - Z X - + | Kết quả: kiwi cá voi + kiwi kiwi - -,X + Z Z - -
Quy tắc: Y Z * = * | * * Z Y = | * Y * = Z | Z * Z = * Y | Kết quả: chuối * chuối = * kiwi,Z * Z = * Y
Quy tắc: = Y + X | X = Y + | Y X = + | X = Y + | Kết quả: dâu trâu ngựa vằn = +,Y X = +
Quy tắc: X Z + = | Z + X = | = + X Z | X Z + = | Kết quả: sư tử cá mập + =,X Z + =
Quy tắc: - + Y | + Y - | - Y + | + - Y Y | Kết quả: + - cò sư tử cò sư tử sư tử,+ - Y Y
Quy tắc: - - Z Y | Z Y - - | - Y - Z | Z - Y - | Kết quả: - - Cò dưa hấu táo,- - Z Y
Quy tắc: * + + X Z Y | Y + * + X Z | + X Y Z + * | Y + X + Z * | Kết quả: Sư tử kiwi +**+ Chuối cá mập,Y + * + X Z
Quy tắc: X X = - | = X - | X - = | - X = | Kết quả: cá mập trâu trâu = -,X X = -
Quy tắc: Y Z - + - | - - + Y Z | Z + Z Y - - | + Y Z - - | Kết quả: nho + đào nho - -,Z + Z Y - -
Quy tắc: Z X - + - Y | - - Y + Z X | + X - Z Y - | Y - + Z X - | Kết quả: + Kiwi - Dưa hấu đào chuột -,+ X - Z Y -
Quy tắc: - * = X Z | - * Z X = | * X = Z - | Z * - X = | Kết quả: * nho = quả việt quất chuột -,* X = Z -
Quy tắc: Z = Z + - Y | + Z = - Y | + Y = Z - | = - + Z Y | Kết quả: cò = cò + - dâu kiwi,Z = Z + - Y
Quy tắc: + Z X - - | + - X - Z | - - + Z X X | - - + Z X | Kết quả: - - + con dấu sư tử blackberry ngựa hải cẩu sư tử,- - + Z X X
Quy tắc: Y - = X | - X Y = | Y - X = | - = X Y | Kết quả: kiwi dưa hấu - = đào trâu,Y - = X
Quy tắc: Y * * | Y * * | Y * Y * Y | Y * * | Kết quả: hải cò * hải cò * hải cò,Y * Y * Y
Quy tắc: = Y - Z | Y Z = - | Z - = Y | - Z = Y | Kết quả: sư tử kiwi - = lê,Z - = Y
Quy tắc: - X * Y | * X Y - | * Y - X | * X - Y | Kết quả: * Kiwi nho - chuột dâu tây,* Y - X
Quy tắc: * + X Z Y + | + + * Z X Y | + Z * + X Y | Y Z + * + X | Kết quả: + sư tử * + cá mập hổ mang đào chuột,+ Z * + X Y
Quy tắc: Z - - Y + | - Z Y - + | Y Y - + Z - | Z Y - - + | Kết quả: chuột ngựa chuột ngựa - + dâu đen -,Y Y - + Z -
Quy tắc: + X - Z + | - + + X Z | + + Z X - | + Z + - X | Kết quả: + + cá mập nho -,+ + Z X -
Quy tắc: = + - Y Z | Y + = - Z | - + Y = Z | Y + - = Z | Kết quả: ngựa vằn việt quất + - = cá voi,Y + - = Z
Quy tắc: Z = + + X | + X Z + = | + Z X + = | Z + = X + | Kết quả: + Hải cẩu cá mập kiwi rắn hổ mang + =,+ Z X + =
Quy tắc: Z + Y + * | + Y Z * + Y | Z + + * Y | + Y * Z + | Kết quả: + quất trâu đen * + trâu đen,+ Y Z * + Y
Quy tắc: X + - Y | + X Y - Y | Y X - + | X Y + - | Kết quả: + Cá mập chuột Cá mập chuối - Cá mập chuối,+ X Y - Y
Quy tắc: + * X = Z | + Z = X * | X = Z + * | Z X + = * | Kết quả: táo hổ mang lê + = *,Z X + = *
Quy tắc: - Z * + Z Z | Z + - * | - Z + * | * - + Z | Kết quả: - Chim cánh cụt dâu * + Chim cánh cụt dâu tây,- Z * + Z Z
Quy tắc: - X Y = | = - Y X | - = Y X | = X Y - | Kết quả: = - chuối cá voi cá mập,= - Y X
Quy tắc: + X Y * = | Y + X Z - | X Z - Y + | Y X + Z - | Kết quả: hải cẩu đào ngựa + rắn hổ mang -,Y X + Z -
Quy tắc: X + Z = | = + x x z | = + Z X | X = + Z | Kết quả: = + táo nho nho cobra shark,= + X X Z
Quy tắc: Y Z - = | Z - Y = | = Z - Y | = - Y Z | Kết quả: dưa hấu - cá mập chim cánh cụt =,Z - Y =
Quy tắc: = - Y X | = - Y X | X - Y = X | Y = - X | Kết quả: việt quất - sư tử chuột = việt quất,X - Y = X
Quy tắc: Z - Y * Y | Y * Z - | Y - * Z | Y * - Z | Kết quả: chuột dưa hấu - dâu tây * dâu tây,Z - Y * Y
Quy tắc: - * * Z X | * - X Z * | Z X * - * | X * - * Z | Kết quả: rắn hổ mang blackberry * - * chim cánh cụt,X * - * Z
Quy tắc: Z X - = + | Z - + X = | X + X Z - = | + = Z - X | Kết quả: lê lê + lê lê - =,X + X Z - =
Quy tắc: = X * Z | * = Z X | X = Z X * | X = * Z | Kết quả: dâu cá mập = dâu cá mập cò *,X = Z X *
Quy tắc: Z * + Y = | Y = * + Z | Z Y = * + | = Z * + Y | Kết quả: = kiwi * + việt quất táo,= Z * + Y
Quy tắc: X - - + | + - X - | - - + X | - + X X - | Kết quả: - + nho -,- + X X -
Quy tắc: Z = Y - * | Z = - Y * | Z * Y - = | - Y = * Z | Kết quả: - táo = * cá mập,- Y = * Z
Quy tắc: * * Y * Z | * Z * Y * | Z Y * * * Z | * * Z * Y | Kết quả: cá mập voi blackberry * * * cá voi blackberry,Z Y * * * Z
Quy tắc: * X - Y | - X * Y | - X Y * | - Y * X | Kết quả: - cá voi chuột * táo blackberry,- X * Y
Quy tắc: = + Y X - | X Y - + = | = + X Y Y - | X - = Y + | Kết quả: = + cò trâu nho trâu nho -,= + X Y Y -
Quy tắc: * - X X * Z | - Z X * * | * - X * Z | X * Z - * | Kết quả: * - ngựa vằn * cò dâu đen,* - X X * Z
Quy tắc: Z * - Y | - Z * Y | - Y * Z | Z Y - * | Kết quả: blackberry rat * - chim cánh cụt blackberry,Z * - Y
Quy tắc: Y Z + Y - + | Y - + + Z | + Y - + Z | Z Y + + - | Kết quả: trâu táo + dâu táo - +,Y Z + Y - +
Quy tắc: = X Y + * Y | Y X = + * | + Y * X = | Y X + = * | Kết quả: = nho dâu tây ngựa vằn + * nho dâu tây,= X Y + * Y
Quy tắc: + Y X * | Y * X + | * Y + Y X | X * Y + | Kết quả: * táo + sư tử táo,* Y + Y X
Quy tắc: X - * Y * | - * * X Y | Y X * - * | * * - X Y Y | Kết quả: * * - hải cẩu blackberry rat strawberry rat strawberry,* * - X Y Y
Quy tắc: + Y Z Y + | + + Z Y | + Z Y + | + Y + Z | Kết quả: + sư tử dưa hấu +,+ Y Z Y +
Quy tắc: X + * * Y | * * Y + X | + X * * Y | Y + * * X | Kết quả: ngựa vằn + * * chim cánh cụt việt quất,X + * * Y
Quy tắc: X - + Y + | Y X - + + | + X + Y Y - | Y - + + X | Kết quả: + lê chuối + trâu -,+ X + Y Y -
Quy tắc: Y = - X * Z | Z - X * Y = | * Y Z = X - | Y x Z = * - | Kết quả: * ngựa vằn chuột cò = rắn hổ mang nho -,* Y Z = X -
Quy tắc: Y * - = | = - Y * | Y Y - = * Y | - Y * = | Kết quả: cá voi voi - = * cá voi,Y Y - = * Y
Quy tắc: Y Z X = + | Z = X Y + | Y + X = Z | X Z + Y = | Kết quả: cò = cá mập sư tử rắn hổ mang táo +,Z = X Y +
Quy tắc: Y = X * X = | = Y X = * | = Y * = X | = = X * Y | Kết quả: dâu tây = việt quất ngựa vằn * việt quất ngựa vằn =,Y = X * X =
Quy tắc: Z = + = Z | = = + Z | + Z = = | + = Z = | Kết quả: chim cánh cụt cò = + = chim cánh cụt cò,Z = + = Z
Quy tắc: X * - Z | - * X Z | X - Z * | Z * X - | Kết quả: - * Sư tử đào rắn hổ mang,- * X Z
Quy tắc: - Y Z * X | * - Z Y X | * Y - X Z | Z - * X Y | Kết quả: sư tử việt quất - * hải cẩu lê dâu tây,Z - * X Y
Quy tắc: = * Y | Y * = | Y Y * = | Y = * | Kết quả: nho nho * =,Y Y * =
Quy tắc: Z + X X + | Z + X + | Z + X + | + + X Z | Kết quả: dưa hấu + ngựa vằn cá voi vằn cá voi +,Z + X X +
Quy tắc: - = = Z | - = Z = | = Z - = | - Z = Z = | Kết quả: - rắn hổ mang = rắn hổ mang = rắn hổ mang =,- Z = Z =
Quy tắc: Y + + Z | Y + + Z | + + Z Y | + Z Y + | Kết quả: cò đào + + dâu táo,Y + + Z
Quy tắc: - Y - Y | - Y - | - - Y | - Y - | Kết quả: - nho - nho,- Y - Y
Quy tắc: * + Y Z | Y * + Z | + * Y Z | Z + * Y | Kết quả: * + Cá voi lê chuột,* + Y Z
Quy tắc: Y + X * | Y * X + | Y + X * | * X Y + | Kết quả: chim cánh cụt + ngựa vằn chim cánh cụt *,Y + X *
Quy tắc: + * Y | Y * + Y | + Y * | Y * + | Kết quả: blackberry * + blackberry,Y * + Y
Quy tắc: X = Y - | - Y = X | Y - Y = X | Y = X - | Kết quả: việt quất cá mập - việt quất cá mập = dưa hấu,Y - Y = X
Quy tắc: = * Y + Z Z | * Y + Z = | + Y = Z * | + Z Y = * | Kết quả: = * trâu ngựa vằn + trâu trâu cá mập,= * Y + Z Z
Quy tắc: * Y = Y | = Y * | Y = * | Y * = | Kết quả: * cò = cò,* Y = Y
Quy tắc: X + - Y Z | Z + Y - X | Z Y - X + | Y Z - X + | Kết quả: đại bàng + - sư tử cò cá mập,X + - Y Z
Quy tắc: = + Z Z - | - Z = + | Z - = + | - + = Z | Kết quả: = + chuột việt quất chuột việt quất -,= + Z Z -
Quy tắc: X - X = Z | Z X = - | X - = Z | - X = Z | Kết quả: trâu - trâu = cá voi,X - X = Z
Quy tắc: Y = X + Z | + = Z X Y | Z Y + = X | = X + Y Z | Kết quả: lê chuối + = sư tử chuột,Z Y + = X
Quy tắc: X + Z = * | + X Z * = | Z * = X + | * X = + Z | Kết quả: lê cá voi * = ngựa vằn +,Z * = X +
Quy tắc: - Z - + Y X | X Y - + Z - | + - Y Z - X | + Y - X - Z | Kết quả: + Ngựa vằn - trâu trâu - ngựa vằn cá mập,+ Y - X - Z
Quy tắc: - X Y * X | - X * Y | X Y - * | X - Y * | Kết quả: - Rắn hổ mang chuối đại bàng * Chuối đại bàng,- X Y * X
Quy tắc: X + - Z | X + Z - | X + - Z | X + - Z | Kết quả: việt quất + - blackberry,X + - Z
Quy tắc: Z X - Z = | = - X Z | X = - Z | Z - = X | Kết quả: rắn hổ mang kiwi ngựa - ngựa =,Z X - Z =
Quy tắc: Y + X + = | Y = + X X + | = X + + Y | = Y X + + | Kết quả: rắn hổ mang = + con dấu + con dấu +,Y = + X X +
Quy tắc: + + Z Y | Y + + Z Z | Y Z + + | + + Z Y | Kết quả: ngựa chuột + + chim cánh cụt,Y + + Z Z
Quy tắc: + Y = | Y = + | Y Y = + | = + Y | Kết quả: kiwi kiwi = +,Y Y = +
Quy tắc: X + X Z - | + - Z X | Z + X - | - + X Z | Kết quả: chuột chuột + chuột cá voi -,X + X Z -
Quy tắc: - + X Y X - | X - + - Y | + Y - - X | + - Y - X | Kết quả: - + sư tử chuột sư tử -,- + X Y X -
Quy tắc: Z Y + - | Z Y - Z + | Y Z - + | + Z - Y | Kết quả: trâu chuột dâu tây - chuột +,Z Y - Z +
Quy tắc: + = * X Z Y | Z + * X Y = | + Z = Y * X | + Y Z * X = | Kết quả: + hải cẩu cá voi = chim cánh cụt chuột * dưa hấu,+ Z = Y * X
Quy tắc: + Z + | + Z + | Z + + | Z Z + Z + | Kết quả: dưa hấu dưa hấu + dưa hấu +,Z Z + Z +
Quy tắc: Y * * Y X - | Y * X - * | * Y * X - | * - Y X * | Kết quả: kiwi đào * * kiwi đào sư tử blackberry -,Y * * Y X -
Quy tắc: Z * = + Y | Y = + * Z | Y + = Z * | + * Y Z Z = | Kết quả: + * sư tử kiwi sư tử kiwi sư tử =,+ * Y Z Z =
Quy tắc: Z * Z = | = * Z | Z = * | = Z * | Kết quả: blackberry * blackberry =,Z * Z =
Quy tắc: + Y * Z + | Z + Y + Z * | + Z Y + * | Z * Y + + | Kết quả: lê rắn hổ mang + hải cẩu chim cánh cụt + lê rắn hổ mang *,Z + Y + Z *
Quy tắc: = Z + X - | = - + Z X | - = + Z X | X Z = + - | Kết quả: = - + đại bàng dâu tây ngựa,= - + Z X
Quy tắc: = Y Z * | * Z Y = Z | Y Z * = | * Y Z = | Kết quả: * Kiwi dưa hấu chim cánh cụt đại bàng = kiwi dưa hấu,* Z Y = Z
Quy tắc: = * + Z | + * = Z Z | * Z + = | = * Z + | Kết quả: + * = rắn hổ mang,+ * = Z Z
Quy tắc: - X - + | - X + - | - + - X X | X + - - | Kết quả: - + - việt quất dâu tây việt quất,- + - X X
Quy tắc: = Y + | = Y + | + Y Y = Y | = + Y | Kết quả: + chuối dưa hấu chuối dưa hấu = chuối dưa hấu,+ Y Y = Y
Quy tắc: Z - + Y | Z - + Y | + Z - Y | + - Z Y Y | Kết quả: + - chuối dâu nho nho,+ - Z Y Y
Quy tắc: + * Z * | * * + Z | + * * Z | * * Z + Z | Kết quả: * * nho + nho,* * Z + Z
Quy tắc: * - X | X * - | - X X * | * X - | Kết quả: - ngựa ngựa *,- X X *
Quy tắc: + X Y = | X Y = + | X = Y + | + = X Y | Kết quả: chuối = táo cá voi +,X = Y +
Quy tắc: - Z = Y | - = Z Y | - = Y Z | Z Y = - | Kết quả: ngựa vằn nho dâu tây chuối = -,Z Y = -
Quy tắc: Z X * Y + - | Z X - + * Y | + Z - X Y * | * Z Y + - X | Kết quả: lê trâu dưa hấu * đào + -,Z X * Y + -
Quy tắc: Z * X = | * X = Z | X = X * Z | X * = Z | Kết quả: cò = cò * đại bàng rắn hổ mang,X = X * Z
Quy tắc: - * Y X | - * X Y Y | * Y - X | X Y * - | Kết quả: - * Chim cánh cụt sư tử chuối,- * X Y Y
Quy tắc: + Y = | + = Y | Y Y + = Y | Y = + | Kết quả: nho + = nho,Y Y + = Y
Quy tắc: - - * Y X | - Y * - X Y | Y X - * - | Y - - X * | Kết quả: - chim cánh cụt * - chim cánh cụt dưa hấu,- Y * - X Y
Quy tắc: - + Z X | - X + Z | Z + Z - X | Z X + - | Kết quả: ngựa vằn + ngựa vằn - kiwi,Z + Z - X
Quy tắc: - Y * Z - | * Y - - Z | Y * - Z - | - Y * Z - | Kết quả: * trâu - - ngựa vằn,* Y - - Z
Quy tắc: Z + Y + = | + + = Z Y | Y + Z + = | + Z = Y + | Kết quả: ngựa vằn dưa hấu + cò + =,Y + Z + =
Quy tắc: * X Z + - | * Z - X + | Z - * + X | * + - Z X | Kết quả: * Chim cánh cụt cá mập - đào táo +,* Z - X +
Quy tắc: Z - * + X | - Z + * X | X * - Z + | * - + Z X | Kết quả: đào dâu tây - * + táo,Z - * + X
Quy tắc: - = Z * Y Y | Y = - Z * | = * - Z Y | = * Z - Y | Kết quả: - = lê blackberry * dưa hấu dưa hấu,- = Z * Y Y
Quy tắc: * + Y = X | = + * X Y | X * + = Y | Y + = X * | Kết quả: nho * + = táo,X * + = Y
Quy tắc: + - Z Y = | Y = - Z + | Z + = - Y | Y Z + = - | Kết quả: blackberry = - lê hải cẩu +,Y = - Z +
Quy tắc: Y = + * | * + Y = | Y Y Y + = * | = + Y * | Kết quả: kiwi kiwi kiwi + = *,Y Y Y + = *
Quy tắc: Z = * = Z Y | Y = * Z = | = * Y = Z | * = = Z Y | Kết quả: con dấu nho = * = ngựa hải cẩu nho,Z = * = Z Y
Quy tắc: Z + X Z * = | = + * X Z | X + * = Z | Z = * X + | Kết quả: chim cánh cụt + chim cánh cụt cò * =,Z + X Z * =
Quy tắc: X - Y = * | * = X - Y | X Y * = - | * Y - = X Y | Kết quả: * sư tử - = sư tử dưa hấu,* Y - = X Y
Quy tắc: + X = + Y | + Y X = + | X = X Y + + | X = Y + + | Kết quả: đào = sư tử chuối đào + +,X = X Y + +
Quy tắc: X + * Z * | X + Z * * | * + * X Z | Z X + * * | Kết quả: cò táo + * *,Z X + * *
Quy tắc: - X Z + | Z - X + | Z + X - | + X - Z | Kết quả: - rắn hổ mang lê +,- X Z +
Quy tắc: X - * Y | Y * X - | * Y X - | * - Y X Y | Kết quả: * - ngựa việt quất blackberry ngựa việt quất,* - Y X Y
Quy tắc: X Z = - - | X - = - Z | - = - X Z | = - - X Z X | Kết quả: = - - chuột dâu tây blackberry chuột,= - - X Z X
Quy tắc: Y X Z - - * | X Y - * Z - | X - * Y Z - | * Z Y - X - | Kết quả: lê hải cẩu - * đại bàng cá mập -,X Y - * Z -
"Quy tắc: Z = = Y - | Z Y Y = - = | Y = Z = - | = = Z Y - | Kết quả: cá voi voi chuột, cá voi = - =",Z Y Y = - =
Quy tắc: * * * Y Z | * * Z * Y | * * Z * Y | * Z * Y * | Kết quả: * Cò đào * Đại bàng sư tử *,* Z * Y *
Quy tắc: * + Z | Z Z + * Z | + Z * | * Z + | Kết quả: kiwi việt quất kiwi +* kiwi việt quất,Z Z + * Z
Quy tắc: = Z - | Z = Z - | - = Z | Z - = | Kết quả: nho = nho -,Z = Z -
Quy tắc: X - * Z * | X - X Z * * | * * - Z X | Z * X - * | Kết quả: cò táo - cò táo hổ mang chuối * *,X - X Z * *
Quy tắc: Y + X * | Y * X + | * + X Y | + * Y X | Kết quả: + * táo trâu đen,+ * Y X
Quy tắc: = = * X Z | * = = X Z | Z X = = * | * = = Z Z X | Kết quả: * = = rắn hổ mang chuối,* = = Z Z X
Quy tắc: * Y * X + | * Y * X + | * * X Y + | + Y * * X | Kết quả: * * Hải cẩu ngựa vằn dâu đen +,* * X Y +
Quy tắc: + + Z | Z + + | Z + + | + Z Z + | Kết quả: + việt quất +,+ Z Z +
Quy tắc: * Z + + Z | + * Z + | Z + + * | Z + + * | Kết quả: * sư tử nho + + sư tử nho,* Z + + Z
Quy tắc: X * X Y = | X = Y * | * X = Y | X Y * = | Kết quả: đào cò * cò đào ngựa vằn đại bàng =,X * X Y =
Quy tắc: Z - Y = | Y = - Z | Z = - Y | Z - = Y | Kết quả: đại bàng cá voi - = dâu tây,Z - = Y
Quy tắc: = Z * = Y | Y = * = Z | * = Y Z = | Y * = Z = Z | Kết quả: việt quất dâu tây * = dâu tây = dâu tây,Y * = Z = Z
Quy tắc: = * Z - Y X | - = Z * X Y | X Y = - * Z | * Y Z X = - | Kết quả: = * cá mập - cá voi ngựa,= * Z - Y X
Quy tắc: - = - X | - X - = X | = - X - | = - - X | Kết quả: - dưa hấu - = dưa hấu,- X - = X
Quy tắc: X Z - * + | - X Z * X + | * X Z - + | Z + * X - | Kết quả: - nho nho chuối * nho +,- X Z * X +
Quy tắc: X X * + - Z | X Z + * - | Z X * + - | Z + X - * | Kết quả: kiwi kiwi kiwi kiwi * + - đào nho,X X * + - Z
Quy tắc: = * + Z | Z * + = | Z = * + | = + Z Z * | Kết quả: = + cá mập đào cá mập đào *,= + Z Z *
Quy tắc: * Z Y = * | * = Y * Z | * Y * = Z | * Y Z = * | Kết quả: * chuột trâu * = trâu,* Y * = Z
Quy tắc: - Y * - X Z | - Y * - X Z | - Y - X Z * | - - X Y Z * | Kết quả: - ngựa ngựa * - chim cánh cụt cò chuối,- Y * - X Z
Quy tắc: - X * | * X - | X * - X | X * - | Kết quả: dâu tây * - dâu tây,X * - X
Quy tắc: Z - X * | * Z X - | * - Z X | X - * Z | Kết quả: việt quất - ngựa *,Z - X *
Quy tắc: Y X * + Z | Z Y * + X | Y + * X Z | Z Y X * + | Kết quả: dưa hấu chuối ngựa * + táo chuột,Y X * + Z
Quy tắc: + - Y Z X * | Z * Y X + - | Z X * - Y + | - Z X Y + * | Kết quả: + - cò cá mập đào chim cánh cụt *,+ - Y Z X *
Quy tắc: Y Y = - | - = Y | = Y - | Y - = | Kết quả: trâu trâu = -,Y Y = -
Quy tắc: + - Z Y | Z - Y + | Y - + Z | Z - + Y | Kết quả: + - đại bàng táo,+ - Z Y
Quy tắc: Z Y = Y = + | Z = + = Y | = + Z Y = | Y = = + Z | Kết quả: ngựa việt quất = ngựa = +,Z Y = Y = +
Quy tắc: * * - Z X | * - X Z * | * * - Z X | * * Z - X | Kết quả: * * - dâu tây sư tử rắn hổ mang blackberry,* * - Z X
Quy tắc: Y = + = Y X | X = + Y = | Y = = X + | = = + Y X | Kết quả: ngựa vằn rắn hổ mang = + = trâu dâu tây ngựa vằn rắn hổ mang,Y = + = Y X
Quy tắc: - Y = + | - = Y + | + Y = - | Y Y Y + = - | Kết quả: táo táo táo + = -,Y Y Y + = -
Quy tắc: Y - - Z | - - Y Z | Y Z - - | Z - Y - | Kết quả: trâu - đào -,Z - Y -
Quy tắc: * X * Z | Z * X * | Z * * X | * X * Z | Kết quả: * táo cá voi * dâu tây,* X * Z
Quy tắc: - = Z | - = Z Z Z | Z - = | - = Z | Kết quả: - = cò dâu tây cò dâu tây cò dâu tây dâu tây,- = Z Z Z
Quy tắc: Z X = * | = Z X X * | = Z X * | Z * X = | Kết quả: = lê dâu đen trâu trâu *,= Z X X *
